"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716221","Asia","AVC Asian Men's Club Championship","29.08.2016 - 07:30","Toyoda Gosei Trefuerza","Myanmar",
"Statistics","Toyoda Gosei Trefuerza","Type","Myanmar",
,"3","Score","0",
,"75","Points","48",
,"3","Sets","0",
,"8","Aces","3",
,"9","Service errors","10",
,"43","Kills","32",
,"9","Blocks","1",
,"1","Errors","4",
,"2","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"06:56:36","00:00","Game conditions changed","Game conditions changed",
,"06:56:37","00:00","Players warming up","Players warming up",
,"07:09:14","00:00","Coin flipping","Coin flipping",
,"07:09:17","00:00","Players lined up","Players lined up",
,"07:09:20","00:00","Shake hands","Shake hands",
,"07:15:33","00:00","Jersey colours updated","Jersey colours updated",
,"07:15:33","00:00","Jersey colours updated","Jersey colours updated",
,"07:25:43","00:00","Warm up at the net","Warm up at the net",
,"07:36:57","00:00","Jersey colours updated","Jersey colours updated",
,"07:36:58","00:00","Jersey colours updated","Jersey colours updated",
,"07:37:19","00:00","Players intro","Players intro",
,"07:38:19","00:00","Game about to start","Game about to start",
,"07:39:36","00:00","Start SRV","Start SRV   Myanmar",
,"07:40:08","00:00","Start 1st Set","Start 1st Set",
,"07:40:09","00:01","SRV","SRV   Myanmar",
,"07:40:16","00:07","RS","RS   Myanmar",
,"07:40:19","00:11","K","K   Toyoda Gosei Trefuerza",
,"07:40:19","00:11","P","[1 : 0]   P   Toyoda Gosei Trefuerza",
,"07:40:34","00:26","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"07:40:35","00:26","SRV","SRV   Toyoda Gosei Trefuerza",
,"07:40:56","00:48","Point under investigation","Point under investigation",
,"07:41:01","00:52","A","A   Toyoda Gosei Trefuerza",
,"07:41:01","00:52","P","[2 : 0]   P   Toyoda Gosei Trefuerza",
,"07:41:30","01:22","Scout offline","Scout offline",
,"07:41:34","01:25","Updating score","Updating score",
,"07:41:35","01:26","K","K   Myanmar",
