"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716223","Asia","AVC Asian Men's Club Championship","29.08.2016 - 07:30","Wing 46 Phitsanulok","Ghaz Aj Junoob",
"Statistics","Wing 46 Phitsanulok","Type","Ghaz Aj Junoob",
,"1","Score","3",
,"91","Points","103",
,"1","Sets","3",
,"5","Aces","4",
,"11","Service errors","15",
,"51","Kills","58",
,"4","Blocks","13",
,"5","Errors","9",
,"12","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"06:55:56","00:00","Game conditions changed","Game conditions changed",
,"06:55:56","00:00","Players warming up","Players warming up",
,"06:56:43","00:00","Jersey colours updated","Jersey colours updated",
,"06:56:44","00:00","Jersey colours updated","Jersey colours updated",
,"06:57:21","00:00","Jersey colours updated","Jersey colours updated",
,"07:05:17","00:00","Coin flipping","Coin flipping",
,"07:05:19","00:00","Players lined up","Players lined up",
,"07:05:21","00:00","Shake hands","Shake hands",
,"07:15:28","00:00","Warm up at the net","Warm up at the net",
,"07:26:37","00:00","Players intro","Players intro",
,"07:28:17","00:00","Game about to start","Game about to start",
,"07:28:19","00:00","Start SRV","Start SRV   Wing 46 Phitsanulok",
,"07:28:27","00:00","Start 1st Set","Start 1st Set",
,"07:28:28","00:00","SRV","SRV   Wing 46 Phitsanulok",
,"07:28:28","00:01","RS","RS   Wing 46 Phitsanulok",
,"07:28:34","00:07","ERR","ERR   Ghaz Aj Junoob",
,"07:28:34","00:07","P","[1 : 0]   P   Wing 46 Phitsanulok",
,"07:28:45","00:18","Pt Conf","Pt Conf   Wing 46 Phitsanulok",
,"07:28:46","00:19","SRV","SRV   Wing 46 Phitsanulok",
,"07:28:48","00:21","RS","RS   Wing 46 Phitsanulok",
,"07:28:51","00:24","K","K   Ghaz Aj Junoob",
,"07:28:51","00:24","P","[1 : 1]   P   Ghaz Aj Junoob",
,"07:28:59","00:31","Pt Conf","Pt Conf   Ghaz Aj Junoob",
,"07:29:07","00:39","SRV","SRV   Ghaz Aj Junoob",
,"07:29:09","00:42","RS","RS   Ghaz Aj Junoob",
,"07:29:19","00:51","ERR","ERR   Ghaz Aj Junoob",
,"07:29:19","00:51","P","[2 : 1]   P   Wing 46 Phitsanulok",
,"07:29:28","01:01","Pt Conf","Pt Conf   Wing 46 Phitsanulok",
,"07:29:36","01:08","SRV","SRV   Wing 46 Phitsanulok",
,"07:29:37","01:09","RS","RS   Wing 46 Phitsanulok",
,"07:29:43","01:15","K","K   Ghaz Aj Junoob",
,"07:29:43","01:15","P","[2 : 2]   P   Ghaz Aj Junoob",
,"07:29:56","01:29","Pt Conf","Pt Conf   Ghaz Aj Junoob",
,"07:30:00","01:33","SRV","SRV   Ghaz Aj Junoob",
,"07:30:02","01:34","RS","RS   Ghaz Aj Junoob",
,"07:30:06","01:38","K","K   Wing 46 Phitsanulok",
,"07:30:06","01:38","P","[3 : 2]   P   Wing 46 Phitsanulok",
,"07:30:21","01:53","Pt Conf","Pt Conf   Wing 46 Phitsanulok",
,"07:30:23","01:56","SRV","SRV   Wing 46 Phitsanulok",
,"07:30:24","01:57","RS","RS   Wing 46 Phitsanulok",
,"07:30:33","02:06","K","K   Wing 46 Phitsanulok",
,"07:30:33","02:06","P","[4 : 2]   P   Wing 46 Phitsanulok",
,"07:30:47","02:19","Pt Conf","Pt Conf   Wing 46 Phitsanulok",
,"07:30:50","02:22","SRV","SRV   Wing 46 Phitsanulok",
,"07:30:51","02:24","RS","RS   Wing 46 Phitsanulok",
,"07:31:12","02:44","K","K   Ghaz Aj Junoob",
,"07:31:12","02:44","P","[4 : 3]   P   Ghaz Aj Junoob",
,"07:31:27","03:00","Pt Conf","Pt Conf   Ghaz Aj Junoob",
,"07:31:30","03:03","SRV","SRV   Ghaz Aj Junoob",
,"07:31:34","03:07","RS","RS   Ghaz Aj Junoob",
,"07:31:37","03:10","OUT","OUT   Wing 46 Phitsanulok",
,"07:31:37","03:10","P","[4 : 4]   P   Ghaz Aj Junoob",
,"07:31:50","03:22","Pt Conf","Pt Conf   Ghaz Aj Junoob",
,"07:31:53","03:26","SRV","SRV   Ghaz Aj Junoob",
,"07:31:55","03:28","RS","RS   Ghaz Aj Junoob",
,"07:31:58","03:31","K","K   Wing 46 Phitsanulok",
,"07:31:58","03:31","P","[5 : 4]   P   Wing 46 Phitsanulok",
,"07:32:13","03:46","Pt Conf","Pt Conf   Wing 46 Phitsanulok",
,"07:32:16","03:49","SRV","SRV   Wing 46 Phitsanulok",
,"07:32:19","03:52","S ERR","S ERR   Wing 46 Phitsanulok",
,"07:32:19","03:52","P","[5 : 5]   P   Ghaz Aj Junoob",
,"07:32:29","04:01","Pt Conf","Pt Conf   Ghaz Aj Junoob",
,"07:32:33","04:06","SRV","SRV   Ghaz Aj Junoob",
,"07:32:35","04:07","RS","RS   Ghaz Aj Junoob",
,"07:32:40","04:12","K","K   Wing 46 Phitsanulok",
,"07:32:40","04:12","P","[6 : 5]   P   Wing 46 Phitsanulok",
