"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716225","Asia","AVC Asian Men's Club Championship","29.08.2016 - 10:00","Shanghai Golden Age","VC Altay",
"Statistics","Shanghai Golden Age","Type","VC Altay",
,"3","Score","1",
,"113","Points","109",
,"3","Sets","1",
,"9","Aces","4",
,"19","Service errors","18",
,"64","Kills","68",
,"11","Blocks","6",
,"8","Errors","6",
,"4","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:55:53","00:00","Game conditions changed","Game conditions changed",
,"09:03:43","00:00","Players warming up","Players warming up",
,"09:42:29","00:00","Coin flipping","Coin flipping",
,"09:45:08","00:00","Players lined up","Players lined up",
,"09:45:17","00:00","Shake hands","Shake hands",
,"09:46:00","00:00","Jersey colours updated","Jersey colours updated",
,"09:46:00","00:00","Jersey colours updated","Jersey colours updated",
,"09:56:17","00:00","Warm up at the net","Warm up at the net",
,"10:08:03","00:00","Players intro","Players intro",
,"10:09:10","00:00","Game about to start","Game about to start",
,"10:09:35","00:00","Start SRV","Start SRV   VC Altay",
,"10:10:05","00:00","Start 1st Set","Start 1st Set",
,"10:10:05","00:00","SRV","SRV   VC Altay",
,"10:10:08","00:03","RS","RS   VC Altay",
,"10:10:18","00:13","K","K   Shanghai Golden Age",
,"10:10:18","00:13","P","[1 : 0]   P   Shanghai Golden Age",
,"10:10:31","00:26","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:10:32","00:27","SRV","SRV   Shanghai Golden Age",
,"10:10:38","00:33","RS","RS   Shanghai Golden Age",
,"10:10:43","00:37","K","K   VC Altay",
,"10:10:43","00:37","P","[1 : 1]   P   VC Altay",
,"10:10:55","00:50","Pt Conf","Pt Conf   VC Altay",
,"10:10:56","00:51","SRV","SRV   VC Altay",
,"10:11:03","00:58","RS","RS   VC Altay",
,"10:11:09","01:04","K","K   Shanghai Golden Age",
,"10:11:09","01:04","P","[2 : 1]   P   Shanghai Golden Age",
,"10:11:22","01:17","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:11:23","01:17","SRV","SRV   Shanghai Golden Age",
,"10:11:31","01:25","RS","RS   Shanghai Golden Age",
,"10:11:39","01:34","B","B   Shanghai Golden Age",
,"10:11:39","01:34","P","[3 : 1]   P   Shanghai Golden Age",
,"10:11:50","01:45","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:11:51","01:46","SRV","SRV   Shanghai Golden Age",
,"10:11:57","01:52","RS","RS   Shanghai Golden Age",
,"10:12:16","02:11","ERR","ERR   Shanghai Golden Age",
,"10:12:16","02:11","P","[3 : 2]   P   VC Altay",
,"10:12:35","02:30","Pt Conf","Pt Conf   VC Altay",
,"10:12:35","02:30","SRV","SRV   VC Altay",
,"10:12:35","02:30","RS","RS   VC Altay",
,"10:12:45","02:39","K","K   Shanghai Golden Age",
,"10:12:45","02:39","P","[4 : 2]   P   Shanghai Golden Age",
,"10:12:59","02:53","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:13:00","02:55","SRV","SRV   Shanghai Golden Age",
,"10:13:03","02:58","RS","RS   Shanghai Golden Age",
,"10:13:07","03:01","K","K   VC Altay",
,"10:13:07","03:01","P","[4 : 3]   P   VC Altay",
,"10:13:25","03:20","Pt Conf","Pt Conf   VC Altay",
,"10:13:26","03:21","SRV","SRV   VC Altay",
,"10:13:26","03:21","RS","RS   VC Altay",
,"10:13:31","03:25","K","K   Shanghai Golden Age",
,"10:13:31","03:25","P","[5 : 3]   P   Shanghai Golden Age",
,"10:13:50","03:45","Pt Conf","Pt Conf   Shanghai Golden Age",
