"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"715531","Europe","CEV U19 European Championship (women)","29.08.2016 - 13:30","Serbia Women U19","Germany Women U19",
"Statistics","Serbia Women U19","Type","Germany Women U19",
,"3","Score","2",
,"114","Points","92",
,"3","Sets","2",
,"11","Aces","11",
,"9","Service errors","9",
,"70","Kills","52",
,"10","Blocks","5",
,"6","Errors","5",
,"9","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:52:09","00:00","Game conditions changed","Game conditions changed",
,"12:52:10","00:00","Players warming up","Players warming up",
,"12:53:48","00:00","Jersey colours updated","Jersey colours updated",
,"12:53:48","00:00","Jersey colours updated","Jersey colours updated",
,"13:11:46","00:00","Coin flipping","Coin flipping",
,"13:12:27","00:00","Warm up at the net","Warm up at the net",
,"13:24:25","00:00","Players lined up","Players lined up",
,"13:25:00","00:00","National anthem singing","National anthem singing",
,"13:28:07","00:00","Shake hands","Shake hands",
,"13:30:42","00:00","Players intro","Players intro",
,"13:31:53","00:00","Game about to start","Game about to start",
,"13:32:23","00:00","Start SRV","Start SRV   Germany Women U19",
,"13:32:43","00:00","Start 1st Set","Start 1st Set",
,"13:32:43","00:00","SRV","SRV   Germany Women U19",
,"13:32:51","00:08","RS","RS   Germany Women U19",
,"13:32:58","00:15","B","B   Serbia Women U19",
,"13:32:58","00:15","P","[1 : 0]   P   Serbia Women U19",
,"13:33:10","00:27","Pt Conf","Pt Conf   Serbia Women U19",
,"13:33:31","00:48","Danger","Danger",
,"13:33:31","00:48","Scout offline","Scout offline",
,"13:34:23","01:40","Updating score","Updating score",
,"13:35:29","02:46","OUT","OUT   Serbia Women U19",
,"13:35:29","02:46","P","[1 : 1]   P   Germany Women U19",
,"13:35:29","02:46","K","K   Germany Women U19",
,"13:35:29","02:46","P","[1 : 2]   P   Germany Women U19",
,"13:35:29","02:46","K","K   Serbia Women U19",
,"13:35:29","02:46","P","[2 : 2]   P   Serbia Women U19",
,"13:35:29","02:46","K","K   Serbia Women U19",
,"13:35:29","02:46","P","[3 : 2]   P   Serbia Women U19",
,"13:35:30","02:46","Score updated","Score updated",
,"13:35:35","02:52","B","B   Serbia Women U19",
,"13:35:35","02:52","P","[4 : 2]   P   Serbia Women U19",
,"13:35:39","02:56","Pt Conf","Pt Conf   Serbia Women U19",
,"13:35:53","03:10","SRV","SRV   Serbia Women U19",
,"13:35:54","03:11","S ERR","S ERR   Serbia Women U19",
,"13:35:54","03:11","P","[4 : 3]   P   Germany Women U19",
,"13:35:56","03:13","Pt Conf","Pt Conf   Germany Women U19",
,"13:36:06","03:23","SRV","SRV   Germany Women U19",
,"13:36:09","03:25","RS","RS   Germany Women U19",
,"13:36:18","03:35","B","B   Germany Women U19",
,"13:36:18","03:35","P","[4 : 4]   P   Germany Women U19",
,"13:36:20","03:37","Pt Conf","Pt Conf   Germany Women U19",
,"13:36:34","03:51","SRV","SRV   Germany Women U19",
,"13:36:35","03:52","RS","RS   Germany Women U19",
,"13:36:38","03:55","K","K   Serbia Women U19",
,"13:36:38","03:55","P","[5 : 4]   P   Serbia Women U19",
,"13:36:41","03:58","Pt Conf","Pt Conf   Serbia Women U19",
,"13:36:59","04:16","SRV","SRV   Serbia Women U19",
,"13:37:00","04:17","RS","RS   Serbia Women U19",
,"13:37:03","04:20","ERR","ERR   Germany Women U19",
,"13:37:03","04:20","P","[6 : 4]   P   Serbia Women U19",
,"13:37:24","04:41","Pt Conf","Pt Conf   Serbia Women U19",
,"13:37:24","04:41","SRV","SRV   Serbia Women U19",
,"13:37:26","04:43","A","A   Serbia Women U19",
,"13:37:26","04:43","P","[7 : 4]   P   Serbia Women U19",
,"13:37:31","04:48","Pt Conf","Pt Conf   Serbia Women U19",
,"13:37:44","05:01","SRV","SRV   Serbia Women U19",
,"13:37:47","05:04","RS","RS   Serbia Women U19",
,"13:37:51","05:08","K","K   Germany Women U19",
,"13:37:51","05:08","P","[7 : 5]   P   Germany Women U19",
,"13:38:15","05:31","Pt Conf","Pt Conf   Germany Women U19",
,"13:38:15","05:32","SRV","SRV   Germany Women U19",
,"13:38:16","05:33","RS","RS   Germany Women U19",
,"13:38:20","05:37","K","K   Serbia Women U19",
,"13:38:20","05:37","P","[8 : 5]   P   Serbia Women U19",
,"13:38:26","05:43","Pt Conf","Pt Conf   Serbia Women U19",
,"13:38:27","05:44","TIME","TIME",
,"13:38:28","05:45","TTO","TTO",
,"13:39:44","07:01","SRV","SRV   Serbia Women U19",
,"13:39:46","07:03","A","A   Serbia Women U19",
,"13:39:46","07:03","P","[9 : 5]   P   Serbia Women U19",
,"13:40:03","07:20","Pt Conf","Pt Conf   Serbia Women U19",
,"13:40:04","07:21","SRV","SRV   Serbia Women U19",
,"13:40:05","07:22","RS","RS   Serbia Women U19",
,"13:40:08","07:25","K","K   Germany Women U19",
,"13:40:08","07:25","P","[9 : 6]   P   Germany Women U19",
,"13:40:25","07:42","Pt Conf","Pt Conf   Germany Women U19",
,"13:40:26","07:42","SRV","SRV   Germany Women U19",
,"13:40:27","07:44","RS","RS   Germany Women U19",
,"13:40:37","07:54","K","K   Germany Women U19",
,"13:40:37","07:54","P","[9 : 7]   P   Germany Women U19",
,"13:40:54","08:11","Pt Conf","Pt Conf   Germany Women U19",
,"13:40:55","08:12","SRV","SRV   Germany Women U19",
,"13:40:57","08:14","S ERR","S ERR   Germany Women U19",
,"13:40:57","08:14","P","[10 : 7]   P   Serbia Women U19",
,"13:41:09","08:26","Pt Conf","Pt Conf   Serbia Women U19",
,"13:41:10","08:26","SRV","SRV   Serbia Women U19",
,"13:41:12","08:29","RS","RS   Serbia Women U19",
,"13:41:15","08:32","B","B   Serbia Women U19",
,"13:41:15","08:32","P","[11 : 7]   P   Serbia Women U19",
,"13:41:32","08:48","Pt Conf","Pt Conf   Serbia Women U19",
,"13:41:32","08:49","SRV","SRV   Serbia Women U19",
,"13:41:34","08:51","RS","RS   Serbia Women U19",
,"13:41:37","08:54","K","K   Germany Women U19",
,"13:41:37","08:54","P","[11 : 8]   P   Germany Women U19",
,"13:41:52","09:09","Pt Conf","Pt Conf   Germany Women U19",
,"13:41:57","09:14","SRV","SRV   Germany Women U19",
,"13:41:58","09:15","RS","RS   Germany Women U19",
,"13:42:03","09:20","K","K   Serbia Women U19",
