"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"715533","Europe","CEV U19 European Championship (women)","29.08.2016 - 18:30","Russia Women U19","Italy Women U19",
"Statistics","Russia Women U19","Type","Italy Women U19",
,"3","Score","1",
,"95","Points","87",
,"3","Sets","1",
,"7","Aces","7",
,"6","Service errors","5",
,"53","Kills","46",
,"16","Blocks","14",
,"6","Errors","6",
,"6","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","2",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:45:29","00:00","Game conditions changed","Game conditions changed",
,"18:45:30","00:00","Players warming up","Players warming up",
,"18:51:49","00:00","Jersey colours updated","Jersey colours updated",
,"18:51:49","00:00","Jersey colours updated","Jersey colours updated",
,"19:07:08","00:00","Coin flipping","Coin flipping",
,"19:07:45","00:00","Warm up at the net","Warm up at the net",
,"19:19:09","00:00","Players lined up","Players lined up",
,"19:19:40","00:00","National anthem singing","National anthem singing",
,"19:23:05","00:00","Shake hands","Shake hands",
,"19:24:47","00:00","Players intro","Players intro",
,"19:26:07","00:00","Game about to start","Game about to start",
,"19:26:10","00:00","Start SRV","Start SRV   Russia Women U19",
,"19:26:38","00:00","Start 1st Set","Start 1st Set",
,"19:26:41","00:03","SRV","SRV   Russia Women U19",
,"19:26:44","00:06","RS","RS   Russia Women U19",
,"19:26:49","00:11","B","B   Russia Women U19",
,"19:26:49","00:11","P","[1 : 0]   P   Russia Women U19",
,"19:26:57","00:19","Pt Conf","Pt Conf   Russia Women U19",
,"19:27:05","00:27","SRV","SRV   Russia Women U19",
,"19:27:07","00:29","RS","RS   Russia Women U19",
,"19:27:10","00:32","OUT","OUT   Italy Women U19",
,"19:27:10","00:32","P","[2 : 0]   P   Russia Women U19",
,"19:27:18","00:40","Pt Conf","Pt Conf   Russia Women U19",
,"19:27:29","00:51","SRV","SRV   Russia Women U19",
,"19:27:31","00:53","S ERR","S ERR   Russia Women U19",
,"19:27:31","00:53","P","[2 : 1]   P   Italy Women U19",
,"19:27:47","01:09","Pt Conf","Pt Conf   Italy Women U19",
,"19:27:49","01:11","SRV","SRV   Italy Women U19",
,"19:27:50","01:12","RS","RS   Italy Women U19",
,"19:28:06","01:28","K","K   Italy Women U19",
,"19:28:06","01:28","P","[2 : 2]   P   Italy Women U19",
,"19:28:22","01:44","Pt Conf","Pt Conf   Italy Women U19",
,"19:28:23","01:45","SRV","SRV   Italy Women U19",
,"19:28:24","01:45","RS","RS   Italy Women U19",
,"19:28:33","01:55","ERR","ERR   Russia Women U19",
,"19:28:33","01:55","P","[2 : 3]   P   Italy Women U19",
,"19:28:52","02:14","Pt Conf","Pt Conf   Italy Women U19",
,"19:28:53","02:15","SRV","SRV   Italy Women U19",
,"19:28:54","02:16","RS","RS   Italy Women U19",
,"19:29:07","02:29","K","K   Russia Women U19",
,"19:29:07","02:29","P","[3 : 3]   P   Russia Women U19",
,"19:29:27","02:49","Pt Conf","Pt Conf   Russia Women U19",
,"19:29:27","02:49","SRV","SRV   Russia Women U19",
,"19:29:29","02:51","RS","RS   Russia Women U19",
,"19:29:34","02:56","K","K   Italy Women U19",
,"19:29:34","02:56","P","[3 : 4]   P   Italy Women U19",
,"19:29:54","03:15","Pt Conf","Pt Conf   Italy Women U19",
,"19:29:54","03:16","SRV","SRV   Italy Women U19",
,"19:29:55","03:17","RS","RS   Italy Women U19",
,"19:30:02","03:24","K","K   Italy Women U19",
,"19:30:02","03:24","P","[3 : 5]   P   Italy Women U19",
,"19:30:25","03:47","Pt Conf","Pt Conf   Italy Women U19",
,"19:30:26","03:48","SRV","SRV   Italy Women U19",
