"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716148","Philippines","Spikers Turf Collegiate Conference","29.08.2016 - 02:00","Philippine Merchant Marine School (students)","St. Benilde Blazers (students)",
"Statistics","Philippine Merchant Marine School (students)","Type","St. Benilde Blazers (students)",
,"0","Score","3",
,"74","Points","86",
,"0","Sets","3",
,"1","Aces","3",
,"6","Service errors","7",
,"46","Kills","52",
,"5","Blocks","9",
,"8","Errors","8",
,"8","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"01:16:26","00:00","Game conditions changed","Game conditions changed",
,"01:16:27","00:00","Players warming up","Players warming up",
,"01:16:48","00:00","Jersey colours updated","Jersey colours updated",
,"01:16:49","00:00","Jersey colours updated","Jersey colours updated",
,"01:47:01","00:00","Warm up at the net","Warm up at the net",
,"01:58:06","00:00","Players intro","Players intro",
,"02:00:00","00:00","Game about to start","Game about to start",
,"02:00:09","00:00","Start SRV","Start SRV   Philippine Merchant Marine School (students)",
,"02:00:16","00:00","Start 1st Set","Start 1st Set",
,"02:00:17","00:00","SRV","SRV   Philippine Merchant Marine School (students)",
,"02:00:20","00:03","RS","RS   Philippine Merchant Marine School (students)",
,"02:00:31","00:15","K","K   Philippine Merchant Marine School (students)",
,"02:00:31","00:15","P","[1 : 0]   P   Philippine Merchant Marine School (students)",
,"02:00:38","00:21","Pt Conf","Pt Conf   Philippine Merchant Marine School (students)",
,"02:00:40","00:24","SRV","SRV   Philippine Merchant Marine School (students)",
,"02:00:43","00:27","RS","RS   Philippine Merchant Marine School (students)",
,"02:00:51","00:34","K","K   Philippine Merchant Marine School (students)",
,"02:00:51","00:34","P","[2 : 0]   P   Philippine Merchant Marine School (students)",
,"02:00:58","00:41","Pt Conf","Pt Conf   Philippine Merchant Marine School (students)",
,"02:01:05","00:49","SRV","SRV   Philippine Merchant Marine School (students)",
,"02:01:09","00:52","RS","RS   Philippine Merchant Marine School (students)",
,"02:01:12","00:55","OUT","OUT   St. Benilde Blazers (students)",
,"02:01:12","00:55","P","[3 : 0]   P   Philippine Merchant Marine School (students)",
,"02:01:19","01:03","Pt Conf","Pt Conf   Philippine Merchant Marine School (students)",
,"02:01:27","01:10","SRV","SRV   Philippine Merchant Marine School (students)",
,"02:01:30","01:13","RS","RS   Philippine Merchant Marine School (students)",
,"02:01:33","01:16","K","K   St. Benilde Blazers (students)",
,"02:01:33","01:16","P","[3 : 1]   P   St. Benilde Blazers (students)",
,"02:01:42","01:26","Pt Conf","Pt Conf   St. Benilde Blazers (students)",
,"02:01:49","01:32","SRV","SRV   St. Benilde Blazers (students)",
,"02:01:52","01:35","RS","RS   St. Benilde Blazers (students)",
,"02:01:58","01:42","K","K   St. Benilde Blazers (students)",
,"02:01:58","01:42","P","[3 : 2]   P   St. Benilde Blazers (students)",
,"02:02:06","01:49","Pt Conf","Pt Conf   St. Benilde Blazers (students)",
,"02:02:15","01:58","SRV","SRV   St. Benilde Blazers (students)",
,"02:02:18","02:02","RS","RS   St. Benilde Blazers (students)",
,"02:02:29","02:13","K","K   St. Benilde Blazers (students)",
,"02:02:29","02:13","P","[3 : 3]   P   St. Benilde Blazers (students)",
,"02:02:40","02:24","Pt Conf","Pt Conf   St. Benilde Blazers (students)",
,"02:02:51","02:35","SRV","SRV   St. Benilde Blazers (students)",
,"02:02:55","02:38","RS","RS   St. Benilde Blazers (students)",
,"02:02:56","02:40","K","K   Philippine Merchant Marine School (students)",
,"02:02:56","02:40","P","[4 : 3]   P   Philippine Merchant Marine School (students)",
,"02:03:03","02:47","Pt Conf","Pt Conf   Philippine Merchant Marine School (students)",
,"02:03:13","02:56","SRV","SRV   Philippine Merchant Marine School (students)",
