"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716154","Philippines","V-League Collegiate Conference (women)","29.08.2016 - 08:00","UP Lady Maroons (women/students)","NU Lady Bulldogs (women/students)",
"Statistics","UP Lady Maroons (women/students)","Type","NU Lady Bulldogs (women/students)",
,"1","Score","3",
,"87","Points","99",
,"1","Sets","3",
,"4","Aces","10",
,"5","Service errors","9",
,"47","Kills","56",
,"2","Blocks","9",
,"8","Errors","13",
,"7","Outs","10",
,"0","Penalty Points","0",
,"2","Points (unknown method)","4",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"07:45:41","00:00","Game conditions changed","Game conditions changed",
,"07:45:43","00:00","Players warming up","Players warming up",
,"08:09:37","00:00","Players lined up","Players lined up",
,"08:10:01","00:00","Jersey colours updated","Jersey colours updated",
,"08:10:01","00:00","Jersey colours updated","Jersey colours updated",
,"08:12:26","00:00","Warm up at the net","Warm up at the net",
,"08:24:38","00:00","Players intro","Players intro",
,"08:25:47","00:00","Game about to start","Game about to start",
,"08:26:23","00:00","Start SRV","Start SRV   UP Lady Maroons (women/students)",
,"08:26:26","00:00","Start 1st Set","Start 1st Set",
,"08:26:26","00:00","SRV","SRV   UP Lady Maroons (women/students)",
,"08:26:30","00:04","RS","RS   UP Lady Maroons (women/students)",
,"08:26:33","00:07","K","K   NU Lady Bulldogs (women/students)",
,"08:26:33","00:07","P","[0 : 1]   P   NU Lady Bulldogs (women/students)",
,"08:26:42","00:16","Pt Conf","Pt Conf   NU Lady Bulldogs (women/students)",
,"08:26:47","00:21","SRV","SRV   NU Lady Bulldogs (women/students)",
,"08:26:50","00:24","RS","RS   NU Lady Bulldogs (women/students)",
,"08:27:01","00:35","OUT","OUT   UP Lady Maroons (women/students)",
,"08:27:01","00:35","P","[0 : 2]   P   NU Lady Bulldogs (women/students)",
,"08:27:09","00:43","Pt Conf","Pt Conf   NU Lady Bulldogs (women/students)",
,"08:27:12","00:46","SRV","SRV   NU Lady Bulldogs (women/students)",
,"08:27:15","00:49","A","A   NU Lady Bulldogs (women/students)",
,"08:27:15","00:49","P","[0 : 3]   P   NU Lady Bulldogs (women/students)",
,"08:27:21","00:55","Pt Conf","Pt Conf   NU Lady Bulldogs (women/students)",
,"08:27:29","01:03","SRV","SRV   NU Lady Bulldogs (women/students)",
,"08:27:31","01:05","RS","RS   NU Lady Bulldogs (women/students)",
,"08:27:43","01:17","K","K   NU Lady Bulldogs (women/students)",
,"08:27:43","01:17","P","[0 : 4]   P   NU Lady Bulldogs (women/students)",
,"08:27:59","01:33","Pt Conf","Pt Conf   NU Lady Bulldogs (women/students)",
,"08:28:03","01:37","SRV","SRV   NU Lady Bulldogs (women/students)",
,"08:28:12","01:46","A","A   NU Lady Bulldogs (women/students)",
,"08:28:12","01:46","P","[0 : 5]   P   NU Lady Bulldogs (women/students)",
,"08:28:15","01:49","Pt Conf","Pt Conf   NU Lady Bulldogs (women/students)",
,"08:28:16","01:50","SRV","SRV   NU Lady Bulldogs (women/students)",
,"08:28:18","01:52","S ERR","S ERR   NU Lady Bulldogs (women/students)",
,"08:28:18","01:52","P","[1 : 5]   P   UP Lady Maroons (women/students)",
,"08:28:23","01:57","Pt Conf","Pt Conf   UP Lady Maroons (women/students)",
,"08:28:32","02:06","SRV","SRV   UP Lady Maroons (women/students)",
,"08:28:36","02:10","RS","RS   UP Lady Maroons (women/students)",
,"08:28:52","02:26","K","K   NU Lady Bulldogs (women/students)",
,"08:28:52","02:26","P","[1 : 6]   P   NU Lady Bulldogs (women/students)",
,"08:29:01","02:35","Pt Conf","Pt Conf   NU Lady Bulldogs (women/students)",
,"08:29:10","02:44","SRV","SRV   NU Lady Bulldogs (women/students)",
