"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716155","Philippines","V-League Collegiate Conference (women)","29.08.2016 - 10:00","UST Tigresses (women/students)","Ateneo Lady Eagles (women/students)",
"Statistics","UST Tigresses (women/students)","Type","Ateneo Lady Eagles (women/students)",
,"0","Score","3",
,"60","Points","75",
,"0","Sets","3",
,"0","Aces","12",
,"9","Service errors","6",
,"29","Kills","34",
,"4","Blocks","5",
,"6","Errors","11",
,"9","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:07:16","00:00","Game conditions changed","Game conditions changed",
,"10:08:19","00:00","Players warming up","Players warming up",
,"10:25:11","00:00","Coin flipping","Coin flipping",
,"10:25:46","00:00","Jersey colours updated","Jersey colours updated",
,"10:25:46","00:00","Jersey colours updated","Jersey colours updated",
,"10:28:10","00:00","Warm up at the net","Warm up at the net",
,"10:39:43","00:00","Players intro","Players intro",
,"10:41:10","00:00","Game about to start","Game about to start",
,"10:41:54","00:00","Start SRV","Start SRV   UST Tigresses (women/students)",
,"10:41:55","00:00","Start 1st Set","Start 1st Set",
,"10:41:56","00:00","SRV","SRV   UST Tigresses (women/students)",
,"10:41:58","00:03","RS","RS   UST Tigresses (women/students)",
,"10:42:02","00:07","OUT","OUT   Ateneo Lady Eagles (women/students)",
,"10:42:02","00:07","P","[1 : 0]   P   UST Tigresses (women/students)",
,"10:42:14","00:18","Pt Conf","Pt Conf   UST Tigresses (women/students)",
,"10:42:15","00:20","SRV","SRV   UST Tigresses (women/students)",
,"10:42:20","00:25","RS","RS   UST Tigresses (women/students)",
,"10:42:23","00:28","OUT","OUT   Ateneo Lady Eagles (women/students)",
,"10:42:23","00:28","P","[2 : 0]   P   UST Tigresses (women/students)",
,"10:42:30","00:34","Pt Conf","Pt Conf   UST Tigresses (women/students)",
,"10:42:39","00:43","SRV","SRV   UST Tigresses (women/students)",
,"10:42:41","00:45","S ERR","S ERR   UST Tigresses (women/students)",
,"10:42:41","00:45","P","[2 : 1]   P   Ateneo Lady Eagles (women/students)",
,"10:42:48","00:53","Pt Conf","Pt Conf   Ateneo Lady Eagles (women/students)",
,"10:42:55","00:59","SRV","SRV   Ateneo Lady Eagles (women/students)",
,"10:43:02","01:06","A","A   Ateneo Lady Eagles (women/students)",
,"10:43:02","01:06","P","[2 : 2]   P   Ateneo Lady Eagles (women/students)",
,"10:43:07","01:12","Pt Conf","Pt Conf   Ateneo Lady Eagles (women/students)",
,"10:43:15","01:20","SRV","SRV   Ateneo Lady Eagles (women/students)",
,"10:43:19","01:24","RS","RS   Ateneo Lady Eagles (women/students)",
,"10:43:23","01:28","K","K   UST Tigresses (women/students)",
,"10:43:23","01:28","P","[3 : 2]   P   UST Tigresses (women/students)",
,"10:43:30","01:35","Pt Conf","Pt Conf   UST Tigresses (women/students)",
,"10:43:41","01:46","SRV","SRV   UST Tigresses (women/students)",
,"10:43:44","01:49","S ERR","S ERR   UST Tigresses (women/students)",
,"10:43:44","01:49","P","[3 : 3]   P   Ateneo Lady Eagles (women/students)",
,"10:43:47","01:52","Pt Conf","Pt Conf   Ateneo Lady Eagles (women/students)",
,"10:44:01","02:06","SRV","SRV   Ateneo Lady Eagles (women/students)",
,"10:44:07","02:11","A","A   Ateneo Lady Eagles (women/students)",
,"10:44:07","02:11","P","[3 : 4]   P   Ateneo Lady Eagles (women/students)",
,"10:44:15","02:19","Pt Conf","Pt Conf   Ateneo Lady Eagles (women/students)",
,"10:44:21","02:26","SRV","SRV   Ateneo Lady Eagles (women/students)",
,"10:44:28","02:33","A","A   Ateneo Lady Eagles (women/students)",
,"10:44:28","02:33","P","[3 : 5]   P   Ateneo Lady Eagles (women/students)",
,"10:44:34","02:39","Pt Conf","Pt Conf   Ateneo Lady Eagles (women/students)",
,"10:44:45","02:49","SRV","SRV   Ateneo Lady Eagles (women/students)",
,"10:44:49","02:53","RS","RS   Ateneo Lady Eagles (women/students)",
,"10:44:52","02:57","K","K   UST Tigresses (women/students)",
,"10:44:52","02:57","P","[4 : 5]   P   UST Tigresses (women/students)",
,"10:45:00","03:05","Pt Conf","Pt Conf   UST Tigresses (women/students)",
,"10:45:09","03:14","SRV","SRV   UST Tigresses (women/students)",
,"10:45:12","03:16","RS","RS   UST Tigresses (women/students)",
,"10:45:23","03:28","K","K   UST Tigresses (women/students)",
,"10:45:23","03:28","P","[5 : 5]   P   UST Tigresses (women/students)",
,"10:45:30","03:35","Pt Conf","Pt Conf   UST Tigresses (women/students)",
,"10:45:38","03:42","SRV","SRV   UST Tigresses (women/students)",
,"10:45:42","03:47","RS","RS   UST Tigresses (women/students)",
,"10:45:51","03:56","B","B   Ateneo Lady Eagles (women/students)",
,"10:45:51","03:56","P","[5 : 6]   P   Ateneo Lady Eagles (women/students)",
,"10:46:02","04:07","Pt Conf","Pt Conf   Ateneo Lady Eagles (women/students)",
