"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"717419","Brazil","Campeonato Paulista (women)","30.08.2016 - 22:30","Sao Cristovao Saude/Sao Caetano (women)","Sao Bernardo Volei (women)",
"Statistics","Sao Cristovao Saude/Sao Caetano (women)","Type","Sao Bernardo Volei (women)",
,"3","Score","0",
,"75","Points","57",
,"3","Sets","0",
,"3","Aces","2",
,"5","Service errors","5",
,"47","Kills","30",
,"8","Blocks","9",
,"3","Errors","10",
,"8","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:51:29","00:00","Game conditions changed","Game conditions changed",
,"21:51:34","00:00","Players warming up","Players warming up",
,"21:51:57","00:00","Jersey colours updated","Jersey colours updated",
,"21:51:58","00:00","Jersey colours updated","Jersey colours updated",
,"22:13:08","00:00","Players lined up","Players lined up",
,"22:14:00","00:00","National anthem singing","National anthem singing",
,"22:15:32","00:00","Shake hands","Shake hands",
,"22:16:31","00:00","Warm up at the net","Warm up at the net",
,"22:28:40","00:00","Players intro","Players intro",
,"22:29:33","00:00","Game about to start","Game about to start",
,"22:29:54","00:00","Start SRV","Start SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:30:28","00:00","Start 1st Set","Start 1st Set",
,"22:30:33","00:05","SRV","SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:30:35","00:06","Danger","Danger",
,"22:30:35","00:06","Scout offline","Scout offline",
,"22:30:54","00:25","Updating score","Updating score",
,"22:30:56","00:27","K","K   Sao Cristovao Saude/Sao Caetano (women)",
,"22:30:56","00:27","P","[1 : 0]   P   Sao Cristovao Saude/Sao Caetano (women)",
,"22:30:59","00:30","Score updated","Score updated",
,"22:31:01","00:32","SRV","SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:04","00:35","RS","RS   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:17","00:48","K","K   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:17","00:48","P","[2 : 0]   P   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:19","00:50","Pt Conf","Pt Conf   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:39","01:10","SRV","SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:43","01:14","RS","RS   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:52","01:24","K","K   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:52","01:24","P","[3 : 0]   P   Sao Cristovao Saude/Sao Caetano (women)",
,"22:31:55","01:26","Pt Conf","Pt Conf   Sao Cristovao Saude/Sao Caetano (women)",
,"22:32:12","01:44","SRV","SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:32:15","01:47","RS","RS   Sao Cristovao Saude/Sao Caetano (women)",
,"22:32:37","02:09","K","K   Sao Cristovao Saude/Sao Caetano (women)",
,"22:32:37","02:09","P","[4 : 0]   P   Sao Cristovao Saude/Sao Caetano (women)",
,"22:32:39","02:10","Pt Conf","Pt Conf   Sao Cristovao Saude/Sao Caetano (women)",
,"22:32:45","02:17","TIME","TIME",
,"22:32:46","02:18","TIME","TIME   Sao Bernardo Volei (women)",
,"22:33:42","03:13","SRV","SRV   Sao Cristovao Saude/Sao Caetano (women)",
,"22:33:45","03:17","RS","RS   Sao Cristovao Saude/Sao Caetano (women)",
,"22:33:53","03:25","K","K   Sao Cristovao Saude/Sao Caetano (women)",
,"22:33:53","03:25","P","[5 : 0]   P   Sao Cristovao Saude/Sao Caetano (women)",
