"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"715063","Russia","Siberia and Far East Cup","30.08.2016 - 09:30","Yugra-Samotlor","VC Yenisey Krasnoyarsk",
"Statistics","Yugra-Samotlor","Type","VC Yenisey Krasnoyarsk",
,"3","Score","2",
,"103","Points","99",
,"3","Sets","2",
,"3","Aces","9",
,"21","Service errors","20",
,"57","Kills","47",
,"10","Blocks","10",
,"4","Errors","6",
,"8","Outs","6",
,"1","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","1",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:01:34","00:00","Game conditions changed","Game conditions changed",
,"09:01:36","00:00","Players warming up","Players warming up",
,"09:02:21","00:00","Jersey colours updated","Jersey colours updated",
,"09:02:21","00:00","Jersey colours updated","Jersey colours updated",
,"09:12:54","00:00","Coin flipping","Coin flipping",
,"09:13:27","00:00","Warm up at the net","Warm up at the net",
,"09:26:29","00:00","Players lined up","Players lined up",
,"09:27:23","00:00","Shake hands","Shake hands",
,"09:29:09","00:00","Players intro","Players intro",
,"09:31:46","00:00","Game about to start","Game about to start",
,"09:31:48","00:00","Start SRV","Start SRV   Yugra-Samotlor",
,"09:31:54","00:00","Start 1st Set","Start 1st Set",
,"09:31:54","00:00","SRV","SRV   Yugra-Samotlor",
,"09:32:03","00:08","RS","RS   Yugra-Samotlor",
,"09:32:07","00:13","K","K   VC Yenisey Krasnoyarsk",
,"09:32:07","00:13","P","[0 : 1]   P   VC Yenisey Krasnoyarsk",
,"09:32:23","00:29","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"09:32:28","00:34","SRV","SRV   VC Yenisey Krasnoyarsk",
,"09:32:35","00:41","A","A   VC Yenisey Krasnoyarsk",
,"09:32:35","00:41","P","[0 : 2]   P   VC Yenisey Krasnoyarsk",
,"09:32:49","00:55","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"09:32:53","00:58","SRV","SRV   VC Yenisey Krasnoyarsk",
,"09:32:58","01:04","RS","RS   VC Yenisey Krasnoyarsk",
,"09:33:02","01:08","K","K   Yugra-Samotlor",
,"09:33:02","01:08","P","[1 : 2]   P   Yugra-Samotlor",
,"09:33:18","01:24","Pt Conf","Pt Conf   Yugra-Samotlor",
,"09:33:21","01:27","SRV","SRV   Yugra-Samotlor",
,"09:33:27","01:32","RS","RS   Yugra-Samotlor",
,"09:33:39","01:44","K","K   VC Yenisey Krasnoyarsk",
,"09:33:39","01:44","P","[1 : 3]   P   VC Yenisey Krasnoyarsk",
,"09:33:58","02:04","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"09:34:02","02:08","SRV","SRV   VC Yenisey Krasnoyarsk",
,"09:34:12","02:18","A","A   VC Yenisey Krasnoyarsk",
,"09:34:12","02:18","P","[1 : 4]   P   VC Yenisey Krasnoyarsk",
,"09:34:27","02:33","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"09:34:31","02:37","SRV","SRV   VC Yenisey Krasnoyarsk",
,"09:34:41","02:47","A","A   VC Yenisey Krasnoyarsk",
,"09:34:41","02:47","P","[1 : 5]   P   VC Yenisey Krasnoyarsk",
,"09:34:57","03:03","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"09:35:01","03:06","SRV","SRV   VC Yenisey Krasnoyarsk",
,"09:35:12","03:18","A","A   VC Yenisey Krasnoyarsk",
,"09:35:12","03:18","P","[1 : 6]   P   VC Yenisey Krasnoyarsk",
,"09:35:25","03:30","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"09:35:29","03:35","SRV","SRV   VC Yenisey Krasnoyarsk",
,"09:35:38","03:44","S ERR","S ERR   VC Yenisey Krasnoyarsk",
,"09:35:38","03:44","P","[2 : 6]   P   Yugra-Samotlor",
,"09:35:52","03:58","Pt Conf","Pt Conf   Yugra-Samotlor",
,"09:35:56","04:02","SRV","SRV   Yugra-Samotlor",
,"09:36:00","04:06","RS","RS   Yugra-Samotlor",
,"09:36:04","04:10","K","K   VC Yenisey Krasnoyarsk",
