"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"715064","Russia","Siberia and Far East Cup","30.08.2016 - 12:00","Lokomotiv Novosibirsk","Kuzbass Kemerovo",
"Statistics","Lokomotiv Novosibirsk","Type","Kuzbass Kemerovo",
,"3","Score","1",
,"98","Points","82",
,"3","Sets","1",
,"4","Aces","5",
,"15","Service errors","23",
,"47","Kills","51",
,"9","Blocks","4",
,"2","Errors","8",
,"5","Outs","6",
,"1","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","1",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:04:52","00:00","Game conditions changed","Game conditions changed",
,"11:59:05","00:00","Game conditions changed","Game conditions changed",
,"12:00:30","00:00","Jersey colours updated","Jersey colours updated",
,"12:00:31","00:00","Jersey colours updated","Jersey colours updated",
,"12:00:49","00:00","Players warming up","Players warming up",
,"12:13:18","00:00","Coin flipping","Coin flipping",
,"12:13:51","00:00","Warm up at the net","Warm up at the net",
,"12:25:13","00:00","Players lined up","Players lined up",
,"12:25:51","00:00","National anthem singing","National anthem singing",
,"12:27:17","00:00","Shake hands","Shake hands",
,"12:28:48","00:00","Players intro","Players intro",
,"12:30:58","00:00","Game about to start","Game about to start",
,"12:30:58","00:00","Start SRV","Start SRV   Kuzbass Kemerovo",
,"12:31:02","00:00","Start 1st Set","Start 1st Set",
,"12:31:03","00:00","SRV","SRV   Kuzbass Kemerovo",
,"12:31:06","00:04","S ERR","S ERR   Kuzbass Kemerovo",
,"12:31:06","00:04","P","[1 : 0]   P   Lokomotiv Novosibirsk",
,"12:31:20","00:17","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:31:22","00:19","SRV","SRV   Lokomotiv Novosibirsk",
,"12:31:26","00:23","A","A   Lokomotiv Novosibirsk",
,"12:31:26","00:23","P","[2 : 0]   P   Lokomotiv Novosibirsk",
,"12:31:40","00:38","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:31:42","00:39","SRV","SRV   Lokomotiv Novosibirsk",
,"12:31:46","00:43","RS","RS   Lokomotiv Novosibirsk",
,"12:31:52","00:49","K","K   Kuzbass Kemerovo",
,"12:31:52","00:49","P","[2 : 1]   P   Kuzbass Kemerovo",
,"12:32:03","01:00","Pt Conf","Pt Conf   Kuzbass Kemerovo",
,"12:32:08","01:05","SRV","SRV   Kuzbass Kemerovo",
,"12:32:13","01:10","S ERR","S ERR   Kuzbass Kemerovo",
,"12:32:13","01:10","P","[3 : 1]   P   Lokomotiv Novosibirsk",
,"12:32:26","01:23","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:32:27","01:25","SRV","SRV   Lokomotiv Novosibirsk",
,"12:32:34","01:31","RS","RS   Lokomotiv Novosibirsk",
,"12:32:39","01:36","ERR","ERR   Kuzbass Kemerovo",
,"12:32:39","01:36","P","[4 : 1]   P   Lokomotiv Novosibirsk",
,"12:33:13","02:10","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:33:19","02:17","SRV","SRV   Lokomotiv Novosibirsk",
,"12:33:27","02:25","RS","RS   Lokomotiv Novosibirsk",
,"12:33:32","02:29","OUT","OUT   Kuzbass Kemerovo",
,"12:33:32","02:29","P","[5 : 1]   P   Lokomotiv Novosibirsk",
,"12:33:56","02:54","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:33:57","02:54","TIME","TIME",
,"12:33:59","02:56","TIME","TIME   Kuzbass Kemerovo",
,"12:34:35","03:32","SRV","SRV   Lokomotiv Novosibirsk",
,"12:34:38","03:35","RS","RS   Lokomotiv Novosibirsk",
,"12:34:50","03:48","K","K   Lokomotiv Novosibirsk",
,"12:34:50","03:48","P","[6 : 1]   P   Lokomotiv Novosibirsk",
,"12:35:08","04:05","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:35:12","04:09","SRV","SRV   Lokomotiv Novosibirsk",
,"12:35:17","04:14","S ERR","S ERR   Lokomotiv Novosibirsk",
,"12:35:17","04:14","P","[6 : 2]   P   Kuzbass Kemerovo",
,"12:35:27","04:24","Pt Conf","Pt Conf   Kuzbass Kemerovo",
,"12:35:33","04:30","SRV","SRV   Kuzbass Kemerovo",
,"12:35:40","04:37","A","A   Kuzbass Kemerovo",
,"12:35:40","04:37","P","[6 : 3]   P   Kuzbass Kemerovo",
,"12:35:49","04:46","Pt Conf","Pt Conf   Kuzbass Kemerovo",
,"12:35:53","04:51","SRV","SRV   Kuzbass Kemerovo",
,"12:36:02","04:59","RS","RS   Kuzbass Kemerovo",
,"12:36:24","05:22","ERR","ERR   Kuzbass Kemerovo",
,"12:36:24","05:22","P","[7 : 3]   P   Lokomotiv Novosibirsk",
,"12:36:41","05:38","Pt Conf","Pt Conf   Lokomotiv Novosibirsk",
,"12:36:45","05:42","SRV","SRV   Lokomotiv Novosibirsk",
,"12:36:54","05:52","RS","RS   Lokomotiv Novosibirsk",
,"12:36:59","05:57","K","K   Kuzbass Kemerovo",
,"12:36:59","05:57","P","[7 : 4]   P   Kuzbass Kemerovo",
,"12:37:08","06:05","Pt Conf","Pt Conf   Kuzbass Kemerovo",
