"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716250","Asia","AVC Asian Men's Club Championship","31.08.2016 - 07:30","TP Ho Chi Minh","Myanmar",
"Statistics","TP Ho Chi Minh","Type","Myanmar",
,"3","Score","1",
,"97","Points","98",
,"3","Sets","1",
,"2","Aces","5",
,"6","Service errors","10",
,"63","Kills","70",
,"12","Blocks","4",
,"5","Errors","6",
,"8","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"06:48:12","00:00","Game conditions changed","Game conditions changed",
,"06:48:13","00:00","Players warming up","Players warming up",
,"07:14:55","00:00","Coin flipping","Coin flipping",
,"07:14:57","00:00","Players lined up","Players lined up",
,"07:15:14","00:00","Jersey colours updated","Jersey colours updated",
,"07:15:16","00:00","Jersey colours updated","Jersey colours updated",
,"07:15:16","00:00","Shake hands","Shake hands",
,"07:31:47","00:00","Warm up at the net","Warm up at the net",
,"07:37:29","00:00","Players intro","Players intro",
,"07:38:55","00:00","Game about to start","Game about to start",
,"07:39:16","00:00","Start SRV","Start SRV   TP Ho Chi Minh",
,"07:40:05","00:00","Start 1st Set","Start 1st Set",
,"07:40:06","00:00","SRV","SRV   TP Ho Chi Minh",
,"07:40:11","00:05","RS","RS   TP Ho Chi Minh",
,"07:40:27","00:21","ERR","ERR   TP Ho Chi Minh",
,"07:40:27","00:21","P","[0 : 1]   P   Myanmar",
,"07:40:42","00:37","Pt Conf","Pt Conf   Myanmar",
,"07:40:45","00:39","SRV","SRV   Myanmar",
,"07:40:48","00:42","RS","RS   Myanmar",
,"07:40:51","00:45","K","K   TP Ho Chi Minh",
,"07:40:51","00:45","P","[1 : 1]   P   TP Ho Chi Minh",
,"07:41:06","01:00","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:41:08","01:02","SRV","SRV   TP Ho Chi Minh",
,"07:41:11","01:05","RS","RS   TP Ho Chi Minh",
,"07:41:15","01:09","K","K   Myanmar",
,"07:41:15","01:09","P","[1 : 2]   P   Myanmar",
,"07:41:34","01:28","Pt Conf","Pt Conf   Myanmar",
,"07:41:36","01:30","SRV","SRV   Myanmar",
,"07:41:39","01:33","RS","RS   Myanmar",
,"07:41:42","01:36","K","K   TP Ho Chi Minh",
,"07:41:42","01:36","P","[2 : 2]   P   TP Ho Chi Minh",
,"07:41:55","01:49","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:41:59","01:53","SRV","SRV   TP Ho Chi Minh",
,"07:42:00","01:55","RS","RS   TP Ho Chi Minh",
,"07:42:05","01:59","K","K   Myanmar",
,"07:42:05","01:59","P","[2 : 3]   P   Myanmar",
,"07:42:16","02:11","Pt Conf","Pt Conf   Myanmar",
,"07:42:20","02:14","SRV","SRV   Myanmar",
,"07:42:23","02:17","RS","RS   Myanmar",
,"07:42:31","02:25","K","K   TP Ho Chi Minh",
,"07:42:31","02:25","P","[3 : 3]   P   TP Ho Chi Minh",
,"07:42:47","02:41","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:42:49","02:43","SRV","SRV   TP Ho Chi Minh",
,"07:42:50","02:44","S ERR","S ERR   TP Ho Chi Minh",
,"07:42:50","02:44","P","[3 : 4]   P   Myanmar",
,"07:43:04","02:58","Pt Conf","Pt Conf   Myanmar",
,"07:43:06","03:00","SRV","SRV   Myanmar",
,"07:43:08","03:02","RS","RS   Myanmar",
,"07:43:12","03:06","K","K   TP Ho Chi Minh",
,"07:43:12","03:06","P","[4 : 4]   P   TP Ho Chi Minh",
,"07:43:29","03:23","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:43:31","03:25","SRV","SRV   TP Ho Chi Minh",
,"07:43:32","03:26","RS","RS   TP Ho Chi Minh",
,"07:43:36","03:30","K","K   Myanmar",
,"07:43:36","03:30","P","[4 : 5]   P   Myanmar",
,"07:43:51","03:45","Pt Conf","Pt Conf   Myanmar",
,"07:43:58","03:52","SRV","SRV   Myanmar",
,"07:44:00","03:54","S ERR","S ERR   Myanmar",
,"07:44:00","03:54","P","[5 : 5]   P   TP Ho Chi Minh",
,"07:44:18","04:12","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:44:19","04:13","SRV","SRV   TP Ho Chi Minh",
,"07:44:22","04:17","S ERR","S ERR   TP Ho Chi Minh",
,"07:44:22","04:17","P","[5 : 6]   P   Myanmar",
,"07:44:34","04:28","Pt Conf","Pt Conf   Myanmar",
,"07:44:38","04:32","SRV","SRV   Myanmar",
,"07:44:40","04:34","RS","RS   Myanmar",
,"07:45:02","04:56","K","K   Myanmar",
,"07:45:02","04:56","P","[5 : 7]   P   Myanmar",
,"07:45:16","05:10","Pt Conf","Pt Conf   Myanmar",
,"07:45:18","05:12","SRV","SRV   Myanmar",
,"07:45:19","05:13","RS","RS   Myanmar",
,"07:45:24","05:18","K","K   TP Ho Chi Minh",
,"07:45:24","05:18","P","[6 : 7]   P   TP Ho Chi Minh",
,"07:45:37","05:31","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:45:39","05:33","SRV","SRV   TP Ho Chi Minh",
,"07:45:41","05:35","RS","RS   TP Ho Chi Minh",
,"07:45:44","05:38","K","K   Myanmar",
,"07:45:44","05:38","P","[6 : 8]   P   Myanmar",
,"07:45:51","05:46","Pt Conf","Pt Conf   Myanmar",
,"07:45:54","05:48","TIME","TIME",
,"07:45:56","05:51","TTO","TTO",
,"07:46:53","06:48","SRV","SRV   Myanmar",
,"07:46:56","06:50","S ERR","S ERR   Myanmar",
,"07:46:56","06:50","P","[7 : 8]   P   TP Ho Chi Minh",
,"07:47:04","06:58","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"07:47:15","07:09","SRV","SRV   TP Ho Chi Minh",
,"07:47:18","07:12","RS","RS   TP Ho Chi Minh",
,"07:47:22","07:16","B","B   TP Ho Chi Minh",
,"07:47:22","07:16","P","[8 : 8]   P   TP Ho Chi Minh",
,"07:47:38","07:32","Pt Conf","Pt Conf   TP Ho Chi Minh",
