"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716253","Asia","AVC Asian Men's Club Championship","31.08.2016 - 10:00","Shanghai Golden Age","Toyoda Gosei Trefuerza",
"Statistics","Shanghai Golden Age","Type","Toyoda Gosei Trefuerza",
,"2","Score","3",
,"103","Points","105",
,"2","Sets","3",
,"7","Aces","8",
,"19","Service errors","25",
,"51","Kills","64",
,"11","Blocks","2",
,"7","Errors","2",
,"5","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:33:34","00:00","Game conditions changed","Game conditions changed",
,"09:33:36","00:00","Players warming up","Players warming up",
,"09:46:30","00:00","Coin flipping","Coin flipping",
,"09:46:41","00:00","Players lined up","Players lined up",
,"09:46:43","00:00","Shake hands","Shake hands",
,"09:47:30","00:00","Jersey colours updated","Jersey colours updated",
,"09:47:33","00:00","Jersey colours updated","Jersey colours updated",
,"09:59:03","00:00","Warm up at the net","Warm up at the net",
,"10:06:34","00:00","Players intro","Players intro",
,"10:08:07","00:00","Game about to start","Game about to start",
,"10:08:25","00:00","Start SRV","Start SRV   Shanghai Golden Age",
,"10:10:08","00:00","Start 1st Set","Start 1st Set",
,"10:10:08","00:00","SRV","SRV   Shanghai Golden Age",
,"10:10:14","00:06","RS","RS   Shanghai Golden Age",
,"10:10:18","00:10","K","K   Toyoda Gosei Trefuerza",
,"10:10:18","00:10","P","[0 : 1]   P   Toyoda Gosei Trefuerza",
,"10:10:37","00:29","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"10:10:43","00:35","SRV","SRV   Toyoda Gosei Trefuerza",
,"10:10:47","00:39","RS","RS   Toyoda Gosei Trefuerza",
,"10:10:52","00:44","B","B   Toyoda Gosei Trefuerza",
,"10:10:52","00:44","P","[0 : 2]   P   Toyoda Gosei Trefuerza",
,"10:11:12","01:04","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"10:11:17","01:09","SRV","SRV   Toyoda Gosei Trefuerza",
,"10:11:19","01:11","RS","RS   Toyoda Gosei Trefuerza",
,"10:11:24","01:16","K","K   Shanghai Golden Age",
,"10:11:24","01:16","P","[1 : 2]   P   Shanghai Golden Age",
,"10:11:40","01:32","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:11:41","01:33","SRV","SRV   Shanghai Golden Age",
,"10:11:43","01:35","RS","RS   Shanghai Golden Age",
,"10:11:51","01:43","K","K   Shanghai Golden Age",
,"10:11:51","01:43","P","[2 : 2]   P   Shanghai Golden Age",
,"10:12:05","01:57","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:12:09","02:01","SRV","SRV   Shanghai Golden Age",
,"10:12:12","02:04","RS","RS   Shanghai Golden Age",
,"10:12:17","02:09","K","K   Toyoda Gosei Trefuerza",
,"10:12:17","02:09","P","[2 : 3]   P   Toyoda Gosei Trefuerza",
,"10:12:35","02:27","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"10:12:37","02:29","SRV","SRV   Toyoda Gosei Trefuerza",
,"10:12:39","02:31","S ERR","S ERR   Toyoda Gosei Trefuerza",
,"10:12:39","02:31","P","[3 : 3]   P   Shanghai Golden Age",
,"10:12:51","02:43","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:12:59","02:51","SRV","SRV   Shanghai Golden Age",
,"10:13:03","02:55","RS","RS   Shanghai Golden Age",
,"10:13:06","02:58","K","K   Toyoda Gosei Trefuerza",
,"10:13:06","02:58","P","[3 : 4]   P   Toyoda Gosei Trefuerza",
,"10:13:16","03:08","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"10:13:26","03:18","SRV","SRV   Toyoda Gosei Trefuerza",
,"10:13:27","03:19","RS","RS   Toyoda Gosei Trefuerza",
,"10:13:29","03:21","K","K   Toyoda Gosei Trefuerza",
,"10:13:29","03:21","P","[3 : 5]   P   Toyoda Gosei Trefuerza",
,"10:13:48","03:40","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"10:13:49","03:41","SRV","SRV   Toyoda Gosei Trefuerza",
,"10:13:50","03:42","RS","RS   Toyoda Gosei Trefuerza",
,"10:14:07","03:59","K","K   Toyoda Gosei Trefuerza",
,"10:14:07","03:59","P","[3 : 6]   P   Toyoda Gosei Trefuerza",
,"10:14:17","04:09","Pt Conf","Pt Conf   Toyoda Gosei Trefuerza",
,"10:14:27","04:19","SRV","SRV   Toyoda Gosei Trefuerza",
,"10:14:32","04:24","S ERR","S ERR   Toyoda Gosei Trefuerza",
,"10:14:32","04:24","P","[4 : 6]   P   Shanghai Golden Age",
,"10:14:39","04:31","Pt Conf","Pt Conf   Shanghai Golden Age",
,"10:14:45","04:37","SRV","SRV   Shanghai Golden Age",
,"10:14:49","04:41","RS","RS   Shanghai Golden Age",
,"10:14:54","04:46","K","K   Toyoda Gosei Trefuerza",
