"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716254","Asia","AVC Asian Men's Club Championship","31.08.2016 - 12:30","Sarmayeh Tehran VC","Al Arabi Doha",
"Statistics","Sarmayeh Tehran VC","Type","Al Arabi Doha",
,"3","Score","1",
,"99","Points","79",
,"3","Sets","1",
,"3","Aces","6",
,"12","Service errors","16",
,"52","Kills","44",
,"17","Blocks","7",
,"2","Errors","3",
,"8","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:21:43","00:00","Game conditions changed","Game conditions changed",
,"12:21:44","00:00","Players warming up","Players warming up",
,"12:22:25","00:00","Jersey colours updated","Jersey colours updated",
,"12:22:26","00:00","Jersey colours updated","Jersey colours updated",
,"12:35:53","00:00","Coin flipping","Coin flipping",
,"12:35:56","00:00","Players lined up","Players lined up",
,"12:36:14","00:00","Shake hands","Shake hands",
,"12:46:18","00:00","Warm up at the net","Warm up at the net",
,"12:57:57","00:00","Players intro","Players intro",
,"12:58:58","00:00","Unknown Team to start Service","Unknown Team to start Service",
,"12:59:28","00:00","Game about to start","Game about to start",
,"13:00:08","00:00","Start SRV","Start SRV   Sarmayeh Tehran VC",
,"13:00:19","00:00","Start 1st Set","Start 1st Set",
,"13:00:20","00:00","SRV","SRV   Sarmayeh Tehran VC",
,"13:00:22","00:03","RS","RS   Sarmayeh Tehran VC",
,"13:00:37","00:17","K","K   Al Arabi Doha",
,"13:00:37","00:17","P","[0 : 1]   P   Al Arabi Doha",
,"13:00:54","00:35","Pt Conf","Pt Conf   Al Arabi Doha",
,"13:00:55","00:36","SRV","SRV   Al Arabi Doha",
,"13:00:57","00:37","S ERR","S ERR   Al Arabi Doha",
,"13:00:57","00:37","P","[1 : 1]   P   Sarmayeh Tehran VC",
,"13:01:09","00:50","Pt Conf","Pt Conf   Sarmayeh Tehran VC",
,"13:01:11","00:52","SRV","SRV   Sarmayeh Tehran VC",
,"13:01:13","00:54","RS","RS   Sarmayeh Tehran VC",
,"13:01:19","00:59","K","K   Sarmayeh Tehran VC",
,"13:01:19","00:59","P","[2 : 1]   P   Sarmayeh Tehran VC",
,"13:01:35","01:15","Pt Conf","Pt Conf   Sarmayeh Tehran VC",
,"13:01:36","01:17","SRV","SRV   Sarmayeh Tehran VC",
,"13:01:38","01:19","RS","RS   Sarmayeh Tehran VC",
,"13:01:42","01:22","OUT","OUT   Al Arabi Doha",
,"13:01:42","01:22","P","[3 : 1]   P   Sarmayeh Tehran VC",
,"13:01:55","01:35","Pt Conf","Pt Conf   Sarmayeh Tehran VC",
,"13:02:03","01:44","SRV","SRV   Sarmayeh Tehran VC",
,"13:02:04","01:44","A","A   Sarmayeh Tehran VC",
,"13:02:04","01:44","P","[4 : 1]   P   Sarmayeh Tehran VC",
,"13:02:21","02:02","Pt Conf","Pt Conf   Sarmayeh Tehran VC",
,"13:02:27","02:08","SRV","SRV   Sarmayeh Tehran VC",
,"13:02:29","02:10","RS","RS   Sarmayeh Tehran VC",
,"13:02:30","02:11","ERR","ERR   Sarmayeh Tehran VC",
,"13:02:30","02:11","P","[4 : 2]   P   Al Arabi Doha",
,"13:02:42","02:22","Pt Conf","Pt Conf   Al Arabi Doha",
,"13:02:44","02:25","SRV","SRV   Al Arabi Doha",
,"13:02:47","02:27","RS","RS   Al Arabi Doha",
,"13:02:50","02:30","K","K   Sarmayeh Tehran VC",
,"13:02:50","02:30","P","[5 : 2]   P   Sarmayeh Tehran VC",
,"13:03:02","02:43","Pt Conf","Pt Conf   Sarmayeh Tehran VC",
