"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"717473","Brazil","Campeonato Paulista (men)","31.08.2016 - 22:00","Sao Bernardo Volei","Funvic/Taubate",
"Statistics","Sao Bernardo Volei","Type","Funvic/Taubate",
,"0","Score","3",
,"53","Points","75",
,"0","Sets","3",
,"1","Aces","4",
,"9","Service errors","8",
,"27","Kills","41",
,"7","Blocks","7",
,"5","Errors","3",
,"9","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:50:04","00:00","Game conditions changed","Game conditions changed",
,"21:50:11","00:00","Warm up at the net","Warm up at the net",
,"21:52:20","00:00","Jersey colours updated","Jersey colours updated",
,"21:52:20","00:00","Jersey colours updated","Jersey colours updated",
,"22:00:10","00:00","Players intro","Players intro",
,"22:02:22","00:00","Game about to start","Game about to start",
,"22:02:25","00:00","Start SRV","Start SRV   Funvic/Taubate",
,"22:02:51","00:00","Start 1st Set","Start 1st Set",
,"22:02:52","00:00","SRV","SRV   Funvic/Taubate",
,"22:02:53","00:01","RS","RS   Funvic/Taubate",
,"22:03:01","00:09","K","K   Funvic/Taubate",
,"22:03:01","00:09","P","[0 : 1]   P   Funvic/Taubate",
,"22:03:16","00:24","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:03:22","00:30","SRV","SRV   Funvic/Taubate",
,"22:03:24","00:32","RS","RS   Funvic/Taubate",
,"22:03:26","00:34","B","B   Funvic/Taubate",
,"22:03:26","00:34","P","[0 : 2]   P   Funvic/Taubate",
,"22:03:41","00:49","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:03:45","00:53","SRV","SRV   Funvic/Taubate",
,"22:03:48","00:56","RS","RS   Funvic/Taubate",
,"22:03:51","00:59","K","K   Sao Bernardo Volei",
,"22:03:51","00:59","P","[1 : 2]   P   Sao Bernardo Volei",
,"22:04:06","01:14","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:04:10","01:18","SRV","SRV   Sao Bernardo Volei",
,"22:04:13","01:21","RS","RS   Sao Bernardo Volei",
,"22:04:21","01:29","ERR","ERR   Sao Bernardo Volei",
,"22:04:21","01:29","P","[1 : 3]   P   Funvic/Taubate",
,"22:04:36","01:44","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:04:42","01:50","SRV","SRV   Funvic/Taubate",
,"22:04:43","01:51","S ERR","S ERR   Funvic/Taubate",
,"22:04:43","01:51","P","[2 : 3]   P   Sao Bernardo Volei",
,"22:04:55","02:03","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:05:01","02:09","SRV","SRV   Sao Bernardo Volei",
,"22:05:02","02:10","RS","RS   Sao Bernardo Volei",
,"22:05:05","02:13","K","K   Funvic/Taubate",
,"22:05:05","02:13","P","[2 : 4]   P   Funvic/Taubate",
,"22:05:20","02:29","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:05:23","02:31","SRV","SRV   Funvic/Taubate",
,"22:05:25","02:33","RS","RS   Funvic/Taubate",
,"22:05:27","02:35","K","K   Sao Bernardo Volei",
,"22:05:27","02:35","P","[3 : 4]   P   Sao Bernardo Volei",
,"22:05:42","02:50","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:05:48","02:56","SRV","SRV   Sao Bernardo Volei",
,"22:05:50","02:58","RS","RS   Sao Bernardo Volei",
,"22:05:58","03:06","K","K   Sao Bernardo Volei",
,"22:05:58","03:06","P","[4 : 4]   P   Sao Bernardo Volei",
,"22:06:13","03:21","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:06:21","03:29","SRV","SRV   Sao Bernardo Volei",
,"22:06:25","03:33","RS","RS   Sao Bernardo Volei",
,"22:06:26","03:34","K","K   Funvic/Taubate",
,"22:06:26","03:34","P","[4 : 5]   P   Funvic/Taubate",
,"22:06:41","03:49","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:06:45","03:53","SRV","SRV   Funvic/Taubate",
,"22:06:46","03:54","S ERR","S ERR   Funvic/Taubate",
,"22:06:46","03:54","P","[5 : 5]   P   Sao Bernardo Volei",
,"22:06:59","04:07","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:07:05","04:13","SRV","SRV   Sao Bernardo Volei",
,"22:07:09","04:17","S ERR","S ERR   Sao Bernardo Volei",
,"22:07:09","04:17","P","[5 : 6]   P   Funvic/Taubate",
,"22:07:23","04:31","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:07:27","04:35","SRV","SRV   Funvic/Taubate",
,"22:07:29","04:37","S ERR","S ERR   Funvic/Taubate",
,"22:07:29","04:37","P","[6 : 6]   P   Sao Bernardo Volei",
,"22:07:42","04:50","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:07:48","04:56","SRV","SRV   Sao Bernardo Volei",
,"22:07:50","04:58","RS","RS   Sao Bernardo Volei",
,"22:07:54","05:02","K","K   Funvic/Taubate",
,"22:07:54","05:02","P","[6 : 7]   P   Funvic/Taubate",
,"22:08:24","05:32","Pt Conf","Pt Conf   Funvic/Taubate",
,"22:08:25","05:33","SRV","SRV   Funvic/Taubate",
,"22:08:25","05:33","RS","RS   Funvic/Taubate",
,"22:08:27","05:36","K","K   Sao Bernardo Volei",
,"22:08:27","05:36","P","[7 : 7]   P   Sao Bernardo Volei",
,"22:08:42","05:50","Pt Conf","Pt Conf   Sao Bernardo Volei",
,"22:08:47","05:56","SRV","SRV   Sao Bernardo Volei",
,"22:08:49","05:57","RS","RS   Sao Bernardo Volei",
