"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"716405","Europe","CEV U19 European Championship (women)","31.08.2016 - 13:00","France Women U19","Croatia Women U19",
"Statistics","France Women U19","Type","Croatia Women U19",
,"3","Score","0",
,"75","Points","55",
,"3","Sets","0",
,"11","Aces","7",
,"15","Service errors","7",
,"30","Kills","19",
,"11","Blocks","9",
,"4","Errors","5",
,"1","Outs","10",
,"0","Penalty Points","0",
,"1","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:29:04","00:00","Game conditions changed","Game conditions changed",
,"12:29:05","00:00","Players warming up","Players warming up",
,"12:29:39","00:00","Jersey colours updated","Jersey colours updated",
,"12:29:39","00:00","Jersey colours updated","Jersey colours updated",
,"12:45:45","00:00","Warm up at the net","Warm up at the net",
,"12:46:07","00:00","Prize giving ceremony","Prize giving ceremony",
,"12:46:08","00:00","National anthem singing","National anthem singing",
,"12:47:33","00:00","Players intro","Players intro",
,"12:59:30","00:00","Shake hands","Shake hands",
,"13:01:25","00:00","Game about to start","Game about to start",
,"13:03:00","00:00","Start SRV","Start SRV   France Women U19",
,"13:03:05","00:00","Start 1st Set","Start 1st Set",
,"13:03:06","00:00","SRV","SRV   France Women U19",
,"13:03:11","00:05","RS","RS   France Women U19",
,"13:03:18","00:12","B","B   Croatia Women U19",
,"13:03:18","00:12","P","[0 : 1]   P   Croatia Women U19",
,"13:03:35","00:29","Pt Conf","Pt Conf   Croatia Women U19",
,"13:03:39","00:33","SRV","SRV   Croatia Women U19",
,"13:03:42","00:37","RS","RS   Croatia Women U19",
,"13:03:55","00:50","B","B   France Women U19",
,"13:03:55","00:50","P","[1 : 1]   P   France Women U19",
,"13:04:04","00:58","Pt Conf","Pt Conf   France Women U19",
,"13:04:11","01:05","SRV","SRV   France Women U19",
,"13:04:18","01:13","RS","RS   France Women U19",
,"13:04:31","01:26","K","K   Croatia Women U19",
,"13:04:31","01:26","P","[1 : 2]   P   Croatia Women U19",
,"13:04:40","01:35","Pt Conf","Pt Conf   Croatia Women U19",
,"13:04:46","01:40","SRV","SRV   Croatia Women U19",
,"13:04:54","01:49","RS","RS   Croatia Women U19",
,"13:05:07","02:01","OUT","OUT   Croatia Women U19",
,"13:05:07","02:01","P","[2 : 2]   P   France Women U19",
,"13:05:17","02:11","Pt Conf","Pt Conf   France Women U19",
,"13:05:23","02:17","SRV","SRV   France Women U19",
,"13:05:27","02:21","RS","RS   France Women U19",
,"13:05:28","02:22","K","K   Croatia Women U19",
,"13:05:28","02:22","P","[2 : 3]   P   Croatia Women U19",
,"13:05:33","02:27","Pt Conf","Pt Conf   Croatia Women U19",
,"13:05:43","02:37","SRV","SRV   Croatia Women U19",
,"13:05:49","02:43","RS","RS   Croatia Women U19",
,"13:05:59","02:53","OUT","OUT   Croatia Women U19",
,"13:05:59","02:53","P","[3 : 3]   P   France Women U19",
,"13:06:05","02:59","Pt Conf","Pt Conf   France Women U19",
,"13:06:17","03:11","SRV","SRV   France Women U19",
,"13:06:21","03:16","RS","RS   France Women U19",
,"13:06:36","03:30","K","K   France Women U19",
,"13:06:36","03:30","P","[4 : 3]   P   France Women U19",
,"13:06:46","03:40","Pt Conf","Pt Conf   France Women U19",
,"13:06:56","03:50","SRV","SRV   France Women U19",
,"13:07:00","03:54","RS","RS   France Women U19",
,"13:07:03","03:58","B","B   France Women U19",
,"13:07:03","03:58","P","[5 : 3]   P   France Women U19",
,"13:07:12","04:06","Pt Conf","Pt Conf   France Women U19",
,"13:07:21","04:15","SRV","SRV   France Women U19",
,"13:07:26","04:20","RS","RS   France Women U19",
,"13:07:34","04:28","ERR","ERR   France Women U19",
,"13:07:34","04:28","P","[5 : 4]   P   Croatia Women U19",
,"13:07:37","04:32","Pt Conf","Pt Conf   Croatia Women U19",
,"13:07:55","04:49","SRV","SRV   Croatia Women U19",
,"13:07:59","04:53","S ERR","S ERR   Croatia Women U19",
,"13:07:59","04:53","P","[6 : 4]   P   France Women U19",
,"13:08:08","05:02","Pt Conf","Pt Conf   France Women U19",
,"13:08:14","05:08","SRV","SRV   France Women U19",
,"13:08:20","05:14","RS","RS   France Women U19",
,"13:08:35","05:30","K","K   France Women U19",
,"13:08:35","05:30","P","[7 : 4]   P   France Women U19",
,"13:08:44","05:38","Pt Conf","Pt Conf   France Women U19",
,"13:08:51","05:45","SRV","SRV   France Women U19",
,"13:08:58","05:53","RS","RS   France Women U19",
,"13:09:05","05:59","B","B   France Women U19",
,"13:09:05","05:59","P","[8 : 4]   P   France Women U19",
,"13:09:14","06:09","Pt Conf","Pt Conf   France Women U19",
,"13:09:16","06:10","TIME","TIME",
,"13:09:16","06:11","TTO","TTO",
,"13:10:19","07:13","SRV","SRV   France Women U19",
,"13:10:25","07:20","RS","RS   France Women U19",
,"13:10:41","07:36","K","K   France Women U19",
,"13:10:41","07:36","P","[9 : 4]   P   France Women U19",
,"13:10:47","07:41","Pt Conf","Pt Conf   France Women U19",
,"13:11:11","08:05","SRV","SRV   France Women U19",
,"13:11:15","08:10","A","A   France Women U19",
,"13:11:15","08:10","P","[10 : 4]   P   France Women U19",
,"13:11:23","08:17","Pt Conf","Pt Conf   France Women U19",
,"13:11:27","08:21","TIME","TIME",
,"13:11:27","08:22","TIME","TIME   Croatia Women U19",
,"13:12:14","09:08","SRV","SRV   France Women U19",
,"13:12:22","09:16","RS","RS   France Women U19",
,"13:12:26","09:20","K","K   Croatia Women U19",
,"13:12:26","09:20","P","[10 : 5]   P   Croatia Women U19",
,"13:12:31","09:25","Pt Conf","Pt Conf   Croatia Women U19",
,"13:12:47","09:41","SRV","SRV   Croatia Women U19",
,"13:12:50","09:45","S ERR","S ERR   Croatia Women U19",
,"13:12:50","09:45","P","[11 : 5]   P   France Women U19",
,"13:12:57","09:52","Pt Conf","Pt Conf   France Women U19",
,"13:13:06","10:01","SRV","SRV   France Women U19",
,"13:13:11","10:06","A","A   France Women U19",
,"13:13:11","10:06","P","[12 : 5]   P   France Women U19",
,"13:13:23","10:18","Pt Conf","Pt Conf   France Women U19",
,"13:13:26","10:20","SRV","SRV   France Women U19",
,"13:13:30","10:24","RS","RS   France Women U19",
,"13:13:39","10:33","ERR","ERR   Croatia Women U19",
,"13:13:39","10:33","P","[13 : 5]   P   France Women U19",
,"13:13:44","10:39","Pt Conf","Pt Conf   France Women U19",
,"13:13:54","10:48","SRV","SRV   France Women U19",
,"13:13:58","10:53","RS","RS   France Women U19",
,"13:14:03","10:57","K","K   Croatia Women U19",
