"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"718008","Russia","Cup (men)","06.09.2016 - 12:00","VC Yenisey Krasnoyarsk","Universitet Barnaul",
"Statistics","VC Yenisey Krasnoyarsk","Type","Universitet Barnaul",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"10","Aces","6",
,"16","Service errors","10",
,"40","Kills","20",
,"6","Blocks","5",
,"4","Errors","4",
,"2","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:20:01","00:00","Game conditions changed","Game conditions changed",
,"11:47:37","00:00","Jersey colours updated","Jersey colours updated",
,"11:47:37","00:00","Jersey colours updated","Jersey colours updated",
,"11:47:48","00:00","Game conditions changed","Game conditions changed",
,"11:53:52","00:00","Players warming up","Players warming up",
,"12:02:41","00:00","Coin flipping","Coin flipping",
,"12:02:42","00:00","Warm up at the net","Warm up at the net",
,"12:14:37","00:00","Players lined up","Players lined up",
,"12:15:21","00:00","National anthem singing","National anthem singing",
,"12:16:59","00:00","Shake hands","Shake hands",
,"12:17:03","00:00","Players intro","Players intro",
,"12:17:05","00:00","Game conditions changed","Game conditions changed",
,"12:20:12","00:00","Game about to start","Game about to start",
,"12:20:15","00:00","Start SRV","Start SRV   Universitet Barnaul",
,"12:20:15","00:00","Start 1st Set","Start 1st Set",
,"12:20:18","00:03","SRV","SRV   Universitet Barnaul",
,"12:20:23","00:07","S ERR","S ERR   Universitet Barnaul",
,"12:20:23","00:07","P","[1 : 0]   P   VC Yenisey Krasnoyarsk",
,"12:20:30","00:14","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"12:20:30","00:15","SRV","SRV   VC Yenisey Krasnoyarsk",
,"12:20:38","00:22","RS","RS   VC Yenisey Krasnoyarsk",
,"12:20:44","00:29","B","B   VC Yenisey Krasnoyarsk",
,"12:20:44","00:29","P","[2 : 0]   P   VC Yenisey Krasnoyarsk",
,"12:21:02","00:47","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"12:21:03","00:47","SRV","SRV   VC Yenisey Krasnoyarsk",
,"12:21:05","00:50","S ERR","S ERR   VC Yenisey Krasnoyarsk",
,"12:21:05","00:50","P","[2 : 1]   P   Universitet Barnaul",
,"12:21:22","01:06","Pt Conf","Pt Conf   Universitet Barnaul",
,"12:21:22","01:07","SRV","SRV   Universitet Barnaul",
,"12:21:24","01:08","RS","RS   Universitet Barnaul",
,"12:21:27","01:12","K","K   VC Yenisey Krasnoyarsk",
,"12:21:27","01:12","P","[3 : 1]   P   VC Yenisey Krasnoyarsk",
,"12:21:43","01:27","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"12:21:43","01:28","SRV","SRV   VC Yenisey Krasnoyarsk",
,"12:21:51","01:35","RS","RS   VC Yenisey Krasnoyarsk",
,"12:22:00","01:45","K","K   VC Yenisey Krasnoyarsk",
,"12:22:00","01:45","P","[4 : 1]   P   VC Yenisey Krasnoyarsk",
,"12:22:30","02:15","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"12:22:31","02:16","SRV","SRV   VC Yenisey Krasnoyarsk",
,"12:22:37","02:21","RS","RS   VC Yenisey Krasnoyarsk",
,"12:22:54","02:38","K","K   VC Yenisey Krasnoyarsk",
,"12:22:54","02:38","P","[5 : 1]   P   VC Yenisey Krasnoyarsk",
,"12:23:10","02:55","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"12:23:11","02:56","SRV","SRV   VC Yenisey Krasnoyarsk",
