"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"718006","Russia","Cup (men)","06.09.2016 - 14:00","Yugra-Samotlor","VC Prikamye",
"Statistics","Yugra-Samotlor","Type","VC Prikamye",
,"3","Score","0",
,"75","Points","61",
,"3","Sets","0",
,"6","Aces","5",
,"13","Service errors","17",
,"33","Kills","33",
,"5","Blocks","2",
,"5","Errors","7",
,"3","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:08:27","00:00","Game conditions changed","Game conditions changed",
,"13:32:24","00:00","Jersey colours updated","Jersey colours updated",
,"13:32:25","00:00","Jersey colours updated","Jersey colours updated",
,"13:35:30","00:00","Prize giving ceremony","Prize giving ceremony",
,"13:48:58","00:00","National anthem singing","National anthem singing",
,"14:03:38","00:00","Players warming up","Players warming up",
,"14:04:11","00:00","Warm up at the net","Warm up at the net",
,"14:13:16","00:00","Coin flipping","Coin flipping",
,"14:23:37","00:00","Players lined up","Players lined up",
,"14:24:12","00:00","Shake hands","Shake hands",
,"14:25:46","00:00","Players intro","Players intro",
,"14:27:03","00:00","Game about to start","Game about to start",
,"14:28:27","00:00","Start SRV","Start SRV   VC Prikamye",
,"14:28:30","00:00","Start 1st Set","Start 1st Set",
,"14:28:32","00:01","SRV","SRV   VC Prikamye",
,"14:28:37","00:06","RS","RS   VC Prikamye",
,"14:28:49","00:18","K","K   Yugra-Samotlor",
,"14:28:49","00:18","P","[1 : 0]   P   Yugra-Samotlor",
,"14:29:05","00:34","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:29:06","00:35","SRV","SRV   Yugra-Samotlor",
,"14:29:17","00:46","RS","RS   Yugra-Samotlor",
,"14:29:22","00:51","K","K   VC Prikamye",
,"14:29:22","00:51","P","[1 : 1]   P   VC Prikamye",
,"14:29:35","01:04","Pt Conf","Pt Conf   VC Prikamye",
,"14:29:36","01:05","SRV","SRV   VC Prikamye",
,"14:29:44","01:13","S ERR","S ERR   VC Prikamye",
,"14:29:44","01:13","P","[2 : 1]   P   Yugra-Samotlor",
,"14:29:58","01:27","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:29:59","01:28","SRV","SRV   Yugra-Samotlor",
,"14:30:04","01:34","RS","RS   Yugra-Samotlor",
,"14:30:11","01:40","K","K   VC Prikamye",
,"14:30:11","01:40","P","[2 : 2]   P   VC Prikamye",
,"14:30:25","01:54","Pt Conf","Pt Conf   VC Prikamye",
,"14:30:26","01:55","SRV","SRV   VC Prikamye",
,"14:30:31","02:00","RS","RS   VC Prikamye",
,"14:30:42","02:11","OUT","OUT   VC Prikamye",
,"14:30:42","02:11","P","[3 : 2]   P   Yugra-Samotlor",
,"14:30:56","02:25","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:30:57","02:27","SRV","SRV   Yugra-Samotlor",
,"14:31:04","02:33","A","A   Yugra-Samotlor",
,"14:31:04","02:33","P","[4 : 2]   P   Yugra-Samotlor",
,"14:31:23","02:53","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:31:24","02:53","SRV","SRV   Yugra-Samotlor",
,"14:31:28","02:58","S ERR","S ERR   Yugra-Samotlor",
,"14:31:28","02:58","P","[4 : 3]   P   VC Prikamye",
,"14:31:43","03:12","Pt Conf","Pt Conf   VC Prikamye",
,"14:31:44","03:13","SRV","SRV   VC Prikamye",
,"14:31:51","03:20","S ERR","S ERR   VC Prikamye",
,"14:31:51","03:20","P","[5 : 3]   P   Yugra-Samotlor",
,"14:32:07","03:36","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:32:08","03:37","SRV","SRV   Yugra-Samotlor",
,"14:32:13","03:42","RS","RS   Yugra-Samotlor",
,"14:32:19","03:48","K","K   VC Prikamye",
,"14:32:19","03:48","P","[5 : 4]   P   VC Prikamye",
,"14:32:34","04:03","Pt Conf","Pt Conf   VC Prikamye",
,"14:32:35","04:04","SRV","SRV   VC Prikamye",
,"14:32:41","04:10","RS","RS   VC Prikamye",
,"14:32:48","04:17","OUT","OUT   Yugra-Samotlor",
,"14:32:48","04:17","P","[5 : 5]   P   VC Prikamye",
,"14:33:01","04:30","Pt Conf","Pt Conf   VC Prikamye",
,"14:33:02","04:31","SRV","SRV   VC Prikamye",
,"14:33:08","04:37","RS","RS   VC Prikamye",
,"14:33:22","04:51","K","K   Yugra-Samotlor",
,"14:33:22","04:51","P","[6 : 5]   P   Yugra-Samotlor",
,"14:33:37","05:06","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:33:38","05:07","SRV","SRV   Yugra-Samotlor",
,"14:33:41","05:10","RS","RS   Yugra-Samotlor",
,"14:33:47","05:16","K","K   VC Prikamye",
,"14:33:47","05:16","P","[6 : 6]   P   VC Prikamye",
,"14:33:59","05:28","Pt Conf","Pt Conf   VC Prikamye",
,"14:34:00","05:30","SRV","SRV   VC Prikamye",
,"14:34:02","05:32","RS","RS   VC Prikamye",
,"14:34:12","05:42","ERR","ERR   VC Prikamye",
,"14:34:12","05:42","P","[7 : 6]   P   Yugra-Samotlor",
,"14:34:26","05:56","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:34:28","05:57","SRV","SRV   Yugra-Samotlor",
,"14:34:30","05:59","RS","RS   Yugra-Samotlor",
,"14:34:36","06:05","K","K   VC Prikamye",
,"14:34:36","06:05","P","[7 : 7]   P   VC Prikamye",
,"14:34:49","06:18","Pt Conf","Pt Conf   VC Prikamye",
,"14:34:50","06:19","SRV","SRV   VC Prikamye",
,"14:34:58","06:27","RS","RS   VC Prikamye",
,"14:35:03","06:32","K","K   Yugra-Samotlor",
,"14:35:03","06:32","P","[8 : 7]   P   Yugra-Samotlor",
,"14:35:22","06:51","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:35:23","06:52","TIME","TIME",
,"14:35:24","06:53","TTO","TTO",
,"14:36:16","07:45","SRV","SRV   Yugra-Samotlor",
,"14:36:29","07:58","RS","RS   Yugra-Samotlor",
,"14:36:34","08:04","K","K   VC Prikamye",
,"14:36:34","08:04","P","[8 : 8]   P   VC Prikamye",
,"14:36:49","08:18","Pt Conf","Pt Conf   VC Prikamye",
,"14:36:50","08:19","SRV","SRV   VC Prikamye",
,"14:36:54","08:23","RS","RS   VC Prikamye",
,"14:37:07","08:36","K","K   Yugra-Samotlor",
,"14:37:07","08:36","P","[9 : 8]   P   Yugra-Samotlor",
,"14:37:24","08:53","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:37:25","08:54","SRV","SRV   Yugra-Samotlor",
,"14:37:28","08:58","RS","RS   Yugra-Samotlor",
,"14:37:33","09:02","K","K   VC Prikamye",
,"14:37:33","09:02","P","[9 : 9]   P   VC Prikamye",
,"14:37:52","09:21","Pt Conf","Pt Conf   VC Prikamye",
,"14:37:56","09:25","SRV","SRV   VC Prikamye",
,"14:38:02","09:31","RS","RS   VC Prikamye",
,"14:38:09","09:38","K","K   Yugra-Samotlor",
,"14:38:09","09:38","P","[10 : 9]   P   Yugra-Samotlor",
,"14:38:29","09:58","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:38:29","09:59","SRV","SRV   Yugra-Samotlor",
,"14:38:33","10:02","RS","RS   Yugra-Samotlor",
,"14:38:51","10:20","B","B   VC Prikamye",
,"14:38:51","10:20","P","[10 : 10]   P   VC Prikamye",
,"14:39:10","10:39","Pt Conf","Pt Conf   VC Prikamye",
,"14:39:11","10:40","SRV","SRV   VC Prikamye",
,"14:39:19","10:48","A","A   VC Prikamye",
,"14:39:19","10:48","P","[10 : 11]   P   VC Prikamye",
,"14:39:37","11:07","Pt Conf","Pt Conf   VC Prikamye",
,"14:39:38","11:07","SRV","SRV   VC Prikamye",
,"14:39:44","11:13","S ERR","S ERR   VC Prikamye",
,"14:39:44","11:13","P","[11 : 11]   P   Yugra-Samotlor",
,"14:40:01","11:30","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:40:03","11:32","SRV","SRV   Yugra-Samotlor",
,"14:40:06","11:35","RS","RS   Yugra-Samotlor",
,"14:40:12","11:41","K","K   VC Prikamye",
,"14:40:12","11:41","P","[11 : 12]   P   VC Prikamye",
,"14:40:29","11:58","Pt Conf","Pt Conf   VC Prikamye",
,"14:40:30","11:59","SRV","SRV   VC Prikamye",
,"14:40:34","12:03","RS","RS   VC Prikamye",
,"14:40:42","12:11","K","K   Yugra-Samotlor",
,"14:40:42","12:11","P","[12 : 12]   P   Yugra-Samotlor",
,"14:40:59","12:28","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:41:00","12:29","SRV","SRV   Yugra-Samotlor",
,"14:41:06","12:35","S ERR","S ERR   Yugra-Samotlor",
,"14:41:06","12:35","P","[12 : 13]   P   VC Prikamye",
,"14:41:20","12:49","Pt Conf","Pt Conf   VC Prikamye",
,"14:41:21","12:50","SRV","SRV   VC Prikamye",
,"14:41:25","12:54","RS","RS   VC Prikamye",
,"14:41:40","13:09","ERR","ERR   VC Prikamye",
,"14:41:40","13:09","P","[13 : 13]   P   Yugra-Samotlor",
,"14:41:54","13:23","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:41:55","13:24","SRV","SRV   Yugra-Samotlor",
,"14:42:00","13:29","RS","RS   Yugra-Samotlor",
,"14:42:08","13:37","ERR","ERR   Yugra-Samotlor",
,"14:42:08","13:37","P","[13 : 14]   P   VC Prikamye",
,"14:42:21","13:50","Pt Conf","Pt Conf   VC Prikamye",
,"14:42:23","13:52","SRV","SRV   VC Prikamye",
,"14:42:30","13:59","RS","RS   VC Prikamye",
,"14:42:38","14:07","K","K   VC Prikamye",
,"14:42:38","14:07","P","[13 : 15]   P   VC Prikamye",
,"14:42:54","14:23","Pt Conf","Pt Conf   VC Prikamye",
,"14:42:55","14:24","TIME","TIME",
,"14:42:56","14:25","TIME","TIME   Yugra-Samotlor",
,"14:43:38","15:07","SRV","SRV   VC Prikamye",
,"14:43:49","15:18","RS","RS   VC Prikamye",
,"14:43:59","15:28","OUT","OUT   VC Prikamye",
,"14:43:59","15:28","P","[14 : 15]   P   Yugra-Samotlor",
,"14:44:17","15:46","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:44:20","15:49","SRV","SRV   Yugra-Samotlor",
,"14:44:36","16:05","RS","RS   Yugra-Samotlor",
,"14:44:47","16:16","K","K   Yugra-Samotlor",
,"14:44:47","16:16","P","[15 : 15]   P   Yugra-Samotlor",
,"14:45:11","16:40","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:45:12","16:41","SRV","SRV   Yugra-Samotlor",
,"14:45:26","16:55","RS","RS   Yugra-Samotlor",
,"14:45:48","17:17","ERR","ERR   Yugra-Samotlor",
,"14:45:48","17:17","P","[15 : 16]   P   VC Prikamye",
,"14:45:54","17:23","Pt Conf","Pt Conf   VC Prikamye",
,"14:45:55","17:24","TIME","TIME",
,"14:45:56","17:25","TTO","TTO",
,"14:46:39","18:08","SRV","SRV   VC Prikamye",
,"14:46:52","18:21","RS","RS   VC Prikamye",
,"14:46:57","18:26","B","B   VC Prikamye",
,"14:46:57","18:26","P","[15 : 17]   P   VC Prikamye",
,"14:47:10","18:39","Pt Conf","Pt Conf   VC Prikamye",
,"14:47:11","18:41","SRV","SRV   VC Prikamye",
,"14:47:16","18:45","S ERR","S ERR   VC Prikamye",
,"14:47:16","18:45","P","[16 : 17]   P   Yugra-Samotlor",
,"14:47:33","19:02","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:47:34","19:04","SRV","SRV   Yugra-Samotlor",
,"14:47:36","19:06","RS","RS   Yugra-Samotlor",
,"14:47:40","19:09","K","K   Yugra-Samotlor",
,"14:47:40","19:09","P","[17 : 17]   P   Yugra-Samotlor",
,"14:47:53","19:22","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:47:54","19:23","SRV","SRV   Yugra-Samotlor",
,"14:47:58","19:27","S ERR","S ERR   Yugra-Samotlor",
,"14:47:58","19:27","P","[17 : 18]   P   VC Prikamye",
,"14:48:12","19:41","Pt Conf","Pt Conf   VC Prikamye",
,"14:48:14","19:43","SRV","SRV   VC Prikamye",
,"14:48:17","19:46","RS","RS   VC Prikamye",
,"14:48:46","20:15","K","K   Yugra-Samotlor",
,"14:48:46","20:15","P","[18 : 18]   P   Yugra-Samotlor",
,"14:49:22","20:51","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:49:26","20:55","SRV","SRV   Yugra-Samotlor",
,"14:49:36","21:05","RS","RS   Yugra-Samotlor",
,"14:49:49","21:18","OUT","OUT   VC Prikamye",
,"14:49:49","21:18","P","[19 : 18]   P   Yugra-Samotlor",
,"14:50:15","21:44","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:50:36","22:05","SRV","SRV   Yugra-Samotlor",
,"14:50:39","22:08","RS","RS   Yugra-Samotlor",
,"14:50:44","22:13","K","K   VC Prikamye",
,"14:50:44","22:13","P","[19 : 19]   P   VC Prikamye",
,"14:51:09","22:38","Pt Conf","Pt Conf   VC Prikamye",
,"14:51:10","22:39","SRV","SRV   VC Prikamye",
,"14:51:17","22:46","S ERR","S ERR   VC Prikamye",
,"14:51:17","22:46","P","[20 : 19]   P   Yugra-Samotlor",
,"14:51:37","23:06","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:51:38","23:07","SRV","SRV   Yugra-Samotlor",
,"14:51:39","23:08","RS","RS   Yugra-Samotlor",
,"14:51:46","23:15","K","K   VC Prikamye",
,"14:51:46","23:15","P","[20 : 20]   P   VC Prikamye",
,"14:52:05","23:34","Pt Conf","Pt Conf   VC Prikamye",
,"14:52:06","23:35","SRV","SRV   VC Prikamye",
,"14:52:11","23:40","S ERR","S ERR   VC Prikamye",
,"14:52:11","23:40","P","[21 : 20]   P   Yugra-Samotlor",
,"14:52:24","23:53","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:52:25","23:54","SRV","SRV   Yugra-Samotlor",
,"14:52:26","23:55","RS","RS   Yugra-Samotlor",
,"14:52:32","24:01","K","K   VC Prikamye",
,"14:52:32","24:01","P","[21 : 21]   P   VC Prikamye",
,"14:52:45","24:14","Pt Conf","Pt Conf   VC Prikamye",
,"14:52:46","24:15","SRV","SRV   VC Prikamye",
,"14:52:52","24:21","RS","RS   VC Prikamye",
,"14:52:56","24:25","K","K   Yugra-Samotlor",
,"14:52:56","24:25","P","[22 : 21]   P   Yugra-Samotlor",
,"14:53:14","24:43","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:53:15","24:44","SRV","SRV   Yugra-Samotlor",
,"14:53:17","24:46","RS","RS   Yugra-Samotlor",
,"14:53:23","24:52","ERR","ERR   VC Prikamye",
,"14:53:23","24:52","P","[23 : 21]   P   Yugra-Samotlor",
,"14:53:37","25:06","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:53:38","25:07","TIME","TIME",
,"14:53:40","25:09","TIME","TIME   VC Prikamye",
,"14:54:22","25:51","SRV","SRV   Yugra-Samotlor",
,"14:54:26","25:55","RS","RS   Yugra-Samotlor",
,"14:54:30","25:59","B","B   Yugra-Samotlor",
,"14:54:30","25:59","P","[24 : 21]   P   Yugra-Samotlor",
,"14:54:50","26:19","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:54:51","26:20","TIME","TIME",
,"14:54:52","26:21","TIME","TIME   VC Prikamye",
,"14:55:32","27:01","SRV","SRV   Yugra-Samotlor",
,"14:55:35","27:04","RS","RS   Yugra-Samotlor",
,"14:55:41","27:10","K","K   VC Prikamye",
,"14:55:41","27:10","P","[24 : 22]   P   VC Prikamye",
,"14:56:00","27:29","Pt Conf","Pt Conf   VC Prikamye",
,"14:56:02","27:31","SRV","SRV   VC Prikamye",
,"14:56:06","27:35","RS","RS   VC Prikamye",
,"14:56:12","27:41","OUT","OUT   Yugra-Samotlor",
,"14:56:12","27:41","P","[24 : 23]   P   VC Prikamye",
,"14:56:25","27:54","Pt Conf","Pt Conf   VC Prikamye",
,"14:56:26","27:55","TIME","TIME",
,"14:56:27","27:56","TIME","TIME   Yugra-Samotlor",
,"14:57:04","28:33","SRV","SRV   VC Prikamye",
,"14:57:16","28:45","RS","RS   VC Prikamye",
,"14:57:18","28:47","K","K   Yugra-Samotlor",
,"14:57:18","28:47","P","[25 : 23]   P   Yugra-Samotlor",
,"14:57:24","28:53","Pt Conf","Pt Conf   Yugra-Samotlor",
,"14:57:26","28:55","S","S   Yugra-Samotlor",
,"14:57:26","28:55","Stop Set","Stop Set",
,"14:57:32","29:01","Score of last period confirmed","Score of last period confirmed",
,"15:01:22","32:51","Game about to start","Game about to start",
,"15:01:30","32:59","Start SRV","Start SRV   Yugra-Samotlor",
,"15:01:42","33:12","Start 2nd Set","Start 2nd Set",
,"15:01:43","33:12","SRV","SRV   Yugra-Samotlor",
,"15:01:44","33:13","RS","RS   Yugra-Samotlor",
,"15:01:55","33:24","ERR","ERR   Yugra-Samotlor",
,"15:01:55","33:24","P","[0 : 1]   P   VC Prikamye",
,"15:02:16","33:45","Pt Conf","Pt Conf   VC Prikamye",
,"15:02:16","33:45","SRV","SRV   VC Prikamye",
,"15:02:19","33:48","RS","RS   VC Prikamye",
,"15:02:23","33:53","K","K   Yugra-Samotlor",
,"15:02:23","33:53","P","[1 : 1]   P   Yugra-Samotlor",
,"15:02:41","34:11","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:02:43","34:12","SRV","SRV   Yugra-Samotlor",
,"15:02:44","34:13","RS","RS   Yugra-Samotlor",
,"15:02:59","34:28","K","K   VC Prikamye",
,"15:02:59","34:28","P","[1 : 2]   P   VC Prikamye",
,"15:03:11","34:40","Pt Conf","Pt Conf   VC Prikamye",
,"15:03:12","34:41","SRV","SRV   VC Prikamye",
,"15:03:15","34:44","RS","RS   VC Prikamye",
,"15:03:19","34:48","K","K   Yugra-Samotlor",
,"15:03:19","34:48","P","[2 : 2]   P   Yugra-Samotlor",
,"15:03:35","35:05","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:03:36","35:06","SRV","SRV   Yugra-Samotlor",
,"15:03:41","35:10","S ERR","S ERR   Yugra-Samotlor",
,"15:03:41","35:10","P","[2 : 3]   P   VC Prikamye",
,"15:03:58","35:28","Pt Conf","Pt Conf   VC Prikamye",
,"15:04:00","35:29","SRV","SRV   VC Prikamye",
,"15:04:04","35:33","RS","RS   VC Prikamye",
,"15:04:08","35:37","K","K   Yugra-Samotlor",
,"15:04:08","35:37","P","[3 : 3]   P   Yugra-Samotlor",
,"15:04:25","35:54","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:04:26","35:55","SRV","SRV   Yugra-Samotlor",
,"15:04:27","35:56","RS","RS   Yugra-Samotlor",
,"15:04:35","36:04","B","B   Yugra-Samotlor",
,"15:04:35","36:04","P","[4 : 3]   P   Yugra-Samotlor",
,"15:04:50","36:19","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:04:51","36:20","SRV","SRV   Yugra-Samotlor",
,"15:04:55","36:25","RS","RS   Yugra-Samotlor",
,"15:05:00","36:29","K","K   VC Prikamye",
,"15:05:00","36:29","P","[4 : 4]   P   VC Prikamye",
,"15:05:17","36:46","Pt Conf","Pt Conf   VC Prikamye",
,"15:05:18","36:47","SRV","SRV   VC Prikamye",
,"15:05:22","36:51","RS","RS   VC Prikamye",
,"15:05:27","36:56","K","K   Yugra-Samotlor",
,"15:05:27","36:56","P","[5 : 4]   P   Yugra-Samotlor",
,"15:05:41","37:11","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:05:43","37:12","SRV","SRV   Yugra-Samotlor",
,"15:05:50","37:19","A","A   Yugra-Samotlor",
,"15:05:50","37:19","P","[6 : 4]   P   Yugra-Samotlor",
,"15:06:06","37:35","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:06:07","37:36","SRV","SRV   Yugra-Samotlor",
,"15:06:12","37:41","RS","RS   Yugra-Samotlor",
,"15:06:21","37:50","K","K   Yugra-Samotlor",
,"15:06:21","37:50","P","[7 : 4]   P   Yugra-Samotlor",
,"15:06:37","38:06","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:06:38","38:07","SRV","SRV   Yugra-Samotlor",
,"15:06:42","38:11","RS","RS   Yugra-Samotlor",
,"15:06:46","38:15","B","B   Yugra-Samotlor",
,"15:06:46","38:15","P","[8 : 4]   P   Yugra-Samotlor",
,"15:06:54","38:23","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:06:56","38:25","TIME","TIME",
,"15:06:57","38:26","TTO","TTO",
,"15:07:51","39:21","SRV","SRV   Yugra-Samotlor",
,"15:08:01","39:30","A","A   Yugra-Samotlor",
,"15:08:01","39:30","P","[9 : 4]   P   Yugra-Samotlor",
,"15:08:13","39:42","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:08:13","39:42","SRV","SRV   Yugra-Samotlor",
,"15:08:20","39:49","S ERR","S ERR   Yugra-Samotlor",
,"15:08:20","39:49","P","[9 : 5]   P   VC Prikamye",
,"15:08:39","40:08","Pt Conf","Pt Conf   VC Prikamye",
,"15:08:40","40:09","SRV","SRV   VC Prikamye",
,"15:08:44","40:14","RS","RS   VC Prikamye",
,"15:08:49","40:18","K","K   Yugra-Samotlor",
,"15:08:49","40:18","P","[10 : 5]   P   Yugra-Samotlor",
,"15:09:10","40:39","Pt Conf","Pt Conf   Yugra-Samotlor",
,"15:09:10","40:39","SRV","SRV   Yugra-Samotlor",
,"15:09:14","40:43","RS","RS   Yugra-Samotlor",
,"15:09:25","40:54","K","K   VC Prikamye",
,"15:09:25","40:54","P","[10 : 6]   P   VC Prikamye",
,"15:09:50","41:19","Pt Conf","Pt Conf   VC Prikamye",
