"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"721539","Europe","CEV U20 European Championship (men)","09.09.2016 - 11:30","Bulgaria U20","Turkey U20",
"Statistics","Bulgaria U20","Type","Turkey U20",
,"2","Score","3",
,"99","Points","104",
,"2","Sets","3",
,"2","Aces","7",
,"12","Service errors","26",
,"35","Kills","54",
,"14","Blocks","12",
,"9","Errors","13",
,"10","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:15:00","00:00","Game conditions changed","Game conditions changed",
,"11:15:02","00:00","Players warming up","Players warming up",
,"11:41:52","00:00","Coin flipping","Coin flipping",
,"11:42:17","00:00","Jersey colours updated","Jersey colours updated",
,"11:42:17","00:00","Jersey colours updated","Jersey colours updated",
,"11:42:18","00:00","Warm up at the net","Warm up at the net",
,"11:53:38","00:00","Players lined up","Players lined up",
,"11:56:49","00:00","National anthem singing","National anthem singing",
,"11:57:33","00:00","Shake hands","Shake hands",
,"11:57:59","00:00","Players intro","Players intro",
,"11:59:30","00:00","Game about to start","Game about to start",
,"12:01:10","00:00","Start SRV","Start SRV   Turkey U20",
,"12:01:17","00:00","Start 1st Set","Start 1st Set",
,"12:01:17","00:00","SRV","SRV   Turkey U20",
,"12:01:21","00:04","A","A   Turkey U20",
,"12:01:21","00:04","P","[0 : 1]   P   Turkey U20",
,"12:01:34","00:17","Pt Conf","Pt Conf   Turkey U20",
,"12:01:34","00:17","SRV","SRV   Turkey U20",
,"12:01:40","00:23","S ERR","S ERR   Turkey U20",
,"12:01:40","00:23","P","[1 : 1]   P   Bulgaria U20",
,"12:01:49","00:32","Pt Conf","Pt Conf   Bulgaria U20",
,"12:01:54","00:37","SRV","SRV   Bulgaria U20",
,"12:01:59","00:41","RS","RS   Bulgaria U20",
,"12:02:02","00:45","B","B   Bulgaria U20",
,"12:02:02","00:45","P","[2 : 1]   P   Bulgaria U20",
,"12:02:14","00:57","Pt Conf","Pt Conf   Bulgaria U20",
,"12:02:15","00:58","SRV","SRV   Bulgaria U20",
,"12:02:22","01:05","RS","RS   Bulgaria U20",
,"12:02:39","01:22","K","K   Turkey U20",
,"12:02:39","01:22","P","[2 : 2]   P   Turkey U20",
,"12:02:51","01:34","Pt Conf","Pt Conf   Turkey U20",
,"12:02:52","01:35","SRV","SRV   Turkey U20",
,"12:02:56","01:39","RS","RS   Turkey U20",
,"12:03:01","01:44","K","K   Bulgaria U20",
,"12:03:01","01:44","P","[3 : 2]   P   Bulgaria U20",
,"12:03:13","01:56","Pt Conf","Pt Conf   Bulgaria U20",
,"12:03:13","01:56","SRV","SRV   Bulgaria U20",
,"12:03:20","02:03","RS","RS   Bulgaria U20",
,"12:03:32","02:15","K","K   Bulgaria U20",
,"12:03:32","02:15","P","[4 : 2]   P   Bulgaria U20",
,"12:03:42","02:25","Pt Conf","Pt Conf   Bulgaria U20",
,"12:03:42","02:25","SRV","SRV   Bulgaria U20",
,"12:03:50","02:33","RS","RS   Bulgaria U20",
,"12:04:17","03:00","ERR","ERR   Turkey U20",
,"12:04:17","03:00","P","[5 : 2]   P   Bulgaria U20",
,"12:04:30","03:13","Pt Conf","Pt Conf   Bulgaria U20",
,"12:04:32","03:15","SRV","SRV   Bulgaria U20",
