"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"721544","Europe","CEV U20 European Championship (men)","09.09.2016 - 16:30","Italy U20","Ukraine U20",
"Statistics","Italy U20","Type","Ukraine U20",
,"2","Score","3",
,"100","Points","105",
,"2","Sets","3",
,"3","Aces","17",
,"17","Service errors","24",
,"43","Kills","50",
,"10","Blocks","4",
,"12","Errors","12",
,"5","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:39:30","00:00","Game conditions changed","Game conditions changed",
,"16:39:32","00:00","Players warming up","Players warming up",
,"17:03:20","00:00","Coin flipping","Coin flipping",
,"17:03:40","00:00","Jersey colours updated","Jersey colours updated",
,"17:03:40","00:00","Jersey colours updated","Jersey colours updated",
,"17:03:43","00:00","Warm up at the net","Warm up at the net",
,"17:14:30","00:00","Players lined up","Players lined up",
,"17:15:01","00:00","National anthem singing","National anthem singing",
,"17:17:58","00:00","Shake hands","Shake hands",
,"17:18:26","00:00","Players intro","Players intro",
,"17:19:46","00:00","Game about to start","Game about to start",
,"17:20:24","00:00","Start SRV","Start SRV   Italy U20",
,"17:20:51","00:00","Start 1st Set","Start 1st Set",
,"17:20:51","00:00","SRV","SRV   Italy U20",
,"17:20:58","00:06","RS","RS   Italy U20",
,"17:21:03","00:12","K","K   Ukraine U20",
,"17:21:03","00:12","P","[0 : 1]   P   Ukraine U20",
,"17:21:19","00:28","Pt Conf","Pt Conf   Ukraine U20",
,"17:21:23","00:31","SRV","SRV   Ukraine U20",
,"17:21:27","00:35","RS","RS   Ukraine U20",
,"17:21:42","00:50","K","K   Ukraine U20",
,"17:21:42","00:50","P","[0 : 2]   P   Ukraine U20",
,"17:21:55","01:03","Pt Conf","Pt Conf   Ukraine U20",
,"17:21:55","01:04","SRV","SRV   Ukraine U20",
,"17:22:02","01:10","RS","RS   Ukraine U20",
,"17:22:07","01:15","OUT","OUT   Italy U20",
,"17:22:07","01:15","P","[0 : 3]   P   Ukraine U20",
,"17:22:21","01:29","Pt Conf","Pt Conf   Ukraine U20",
,"17:22:24","01:33","SRV","SRV   Ukraine U20",
,"17:22:30","01:38","A","A   Ukraine U20",
,"17:22:30","01:38","P","[0 : 4]   P   Ukraine U20",
,"17:23:05","02:13","Point under investigation","Point under investigation",
,"17:23:28","02:37","Pt Conf","Pt Conf   Ukraine U20",
,"17:23:31","02:39","SRV","SRV   Ukraine U20",
,"17:23:34","02:43","S ERR","S ERR   Ukraine U20",
,"17:23:34","02:43","P","[1 : 4]   P   Italy U20",
,"17:23:45","02:53","Pt Conf","Pt Conf   Italy U20",
,"17:23:48","02:56","SRV","SRV   Italy U20",
,"17:23:53","03:01","RS","RS   Italy U20",
,"17:23:58","03:07","K","K   Ukraine U20",
,"17:23:58","03:07","P","[1 : 5]   P   Ukraine U20",
,"17:24:16","03:25","Pt Conf","Pt Conf   Ukraine U20",
,"17:24:17","03:25","SRV","SRV   Ukraine U20",
,"17:24:22","03:31","S ERR","S ERR   Ukraine U20",
,"17:24:22","03:31","P","[2 : 5]   P   Italy U20",
,"17:24:36","03:44","Pt Conf","Pt Conf   Italy U20",
,"17:24:36","03:45","SRV","SRV   Italy U20",
,"17:24:40","03:48","RS","RS   Italy U20",
,"17:24:48","03:57","K","K   Italy U20",
,"17:24:48","03:57","P","[3 : 5]   P   Italy U20",
,"17:25:02","04:11","Pt Conf","Pt Conf   Italy U20",
,"17:25:03","04:11","SRV","SRV   Italy U20",
,"17:25:07","04:16","S ERR","S ERR   Italy U20",
,"17:25:07","04:16","P","[3 : 6]   P   Ukraine U20",
,"17:25:18","04:27","Pt Conf","Pt Conf   Ukraine U20",
,"17:25:20","04:28","SRV","SRV   Ukraine U20",
,"17:25:28","04:36","A","A   Ukraine U20",
,"17:25:28","04:36","P","[3 : 7]   P   Ukraine U20",
,"17:25:43","04:52","Pt Conf","Pt Conf   Ukraine U20",
,"17:25:45","04:53","SRV","SRV   Ukraine U20",
,"17:25:51","04:59","RS","RS   Ukraine U20",
,"17:25:55","05:04","OUT","OUT   Italy U20",
,"17:25:55","05:04","P","[3 : 8]   P   Ukraine U20",
,"17:26:01","05:10","Pt Conf","Pt Conf   Ukraine U20",
,"17:26:02","05:11","TIME","TIME",
,"17:26:03","05:12","TTO","TTO",
,"17:27:11","06:20","SRV","SRV   Ukraine U20",
,"17:27:18","06:27","RS","RS   Ukraine U20",
,"17:27:23","06:32","K","K   Italy U20",
,"17:27:23","06:32","P","[4 : 8]   P   Italy U20",
