"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"726711","Asia","AVC Asian Cup","27.09.2016 - 09:30","Iran","Japan",
"Statistics","Iran","Type","Japan",
,"3","Score","2",
,"105","Points","102",
,"3","Sets","2",
,"3","Aces","4",
,"19","Service errors","19",
,"53","Kills","53",
,"12","Blocks","9",
,"10","Errors","9",
,"7","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:49:47","00:00","Game conditions changed","Game conditions changed",
,"08:49:50","00:00","Players warming up","Players warming up",
,"09:05:20","00:00","Coin flipping","Coin flipping",
,"09:05:26","00:00","Players lined up","Players lined up",
,"09:05:53","00:00","Jersey colours updated","Jersey colours updated",
,"09:05:53","00:00","Jersey colours updated","Jersey colours updated",
,"09:06:09","00:00","Shake hands","Shake hands",
,"09:16:19","00:00","Warm up at the net","Warm up at the net",
,"09:28:07","00:00","Players intro","Players intro",
,"09:29:12","00:00","Game about to start","Game about to start",
,"09:29:26","00:00","Start SRV","Start SRV   Japan",
,"09:30:10","00:00","Start 1st Set","Start 1st Set",
,"09:30:12","00:01","SRV","SRV   Japan",
,"09:30:13","00:02","S ERR","S ERR   Japan",
,"09:30:13","00:02","P","[1 : 0]   P   Iran",
,"09:30:20","00:09","Pt Conf","Pt Conf   Iran",
,"09:30:32","00:21","SRV","SRV   Iran",
,"09:30:36","00:25","S ERR","S ERR   Iran",
,"09:30:36","00:25","P","[1 : 1]   P   Japan",
,"09:30:41","00:30","Pt Conf","Pt Conf   Japan",
,"09:30:51","00:40","SRV","SRV   Japan",
,"09:30:53","00:42","RS","RS   Japan",
,"09:30:55","00:44","K","K   Iran",
,"09:30:55","00:44","P","[2 : 1]   P   Iran",
,"09:31:05","00:54","Pt Conf","Pt Conf   Iran",
,"09:31:12","01:01","SRV","SRV   Iran",
,"09:31:14","01:03","RS","RS   Iran",
,"09:31:18","01:07","K","K   Japan",
,"09:31:18","01:07","P","[2 : 2]   P   Japan",
,"09:31:26","01:15","Pt Conf","Pt Conf   Japan",
,"09:31:40","01:29","SRV","SRV   Japan",
,"09:31:42","01:31","S ERR","S ERR   Japan",
,"09:31:42","01:31","P","[3 : 2]   P   Iran",
,"09:31:48","01:37","Pt Conf","Pt Conf   Iran",
,"09:32:01","01:50","SRV","SRV   Iran",
,"09:32:02","01:51","RS","RS   Iran",
,"09:32:11","02:00","OUT","OUT   Japan",
,"09:32:11","02:00","P","[4 : 2]   P   Iran",
,"09:32:20","02:09","Pt Conf","Pt Conf   Iran",
