"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"726713","Asia","AVC Asian Cup","27.09.2016 - 12:00","China","Chinese Taipei",
"Statistics","China","Type","Chinese Taipei",
,"3","Score","0",
,"84","Points","77",
,"3","Sets","0",
,"6","Aces","2",
,"16","Service errors","7",
,"49","Kills","44",
,"9","Blocks","2",
,"7","Errors","5",
,"6","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:43:40","00:00","Game conditions changed","Game conditions changed",
,"11:50:00","00:00","Players warming up","Players warming up",
,"11:50:12","00:00","Coin flipping","Coin flipping",
,"11:50:34","00:00","Jersey colours updated","Jersey colours updated",
,"11:50:35","00:00","Jersey colours updated","Jersey colours updated",
,"11:50:39","00:00","Players lined up","Players lined up",
,"11:51:35","00:00","Shake hands","Shake hands",
,"12:01:09","00:00","Warm up at the net","Warm up at the net",
,"12:12:41","00:00","Players intro","Players intro",
,"12:14:24","00:00","Game about to start","Game about to start",
,"12:14:47","00:00","Start SRV","Start SRV   Chinese Taipei",
,"12:14:57","00:00","Start 1st Set","Start 1st Set",
,"12:14:57","00:00","SRV","SRV   Chinese Taipei",
,"12:14:58","00:01","RS","RS   Chinese Taipei",
,"12:15:03","00:06","K","K   China",
,"12:15:03","00:06","P","[1 : 0]   P   China",
,"12:15:12","00:14","Pt Conf","Pt Conf   China",
,"12:15:24","00:26","SRV","SRV   China",
,"12:15:26","00:29","RS","RS   China",
,"12:15:43","00:45","K","K   Chinese Taipei",
,"12:15:43","00:45","P","[1 : 1]   P   Chinese Taipei",
,"12:15:52","00:55","Pt Conf","Pt Conf   Chinese Taipei",
,"12:16:00","01:02","SRV","SRV   Chinese Taipei",
,"12:16:01","01:04","S ERR","S ERR   Chinese Taipei",
,"12:16:01","01:04","P","[2 : 1]   P   China",
,"12:16:12","01:15","Pt Conf","Pt Conf   China",
,"12:16:17","01:19","SRV","SRV   China",
,"12:16:19","01:22","RS","RS   China",
,"12:16:23","01:25","B","B   Chinese Taipei",
,"12:16:23","01:25","P","[2 : 2]   P   Chinese Taipei",
,"12:16:25","01:28","Correct statistics","Correct statistics   (B Chinese Taipei <=> K Chinese Taipei)",
,"12:16:25","01:28","K","K   Chinese Taipei",
,"12:16:25","01:28","Pt Conf","Pt Conf   Chinese Taipei",
,"12:16:39","01:42","SRV","SRV   Chinese Taipei",
,"12:16:42","01:44","RS","RS   Chinese Taipei",
,"12:16:45","01:48","K","K   China",
,"12:16:45","01:48","P","[3 : 2]   P   China",
,"12:16:56","01:58","Pt Conf","Pt Conf   China",
,"12:17:10","02:13","SRV","SRV   China",
,"12:17:13","02:15","RS","RS   China",
,"12:17:17","02:20","K","K   Chinese Taipei",
,"12:17:17","02:20","P","[3 : 3]   P   Chinese Taipei",
,"12:17:33","02:36","Pt Conf","Pt Conf   Chinese Taipei",
,"12:17:37","02:40","SRV","SRV   Chinese Taipei",
,"12:17:40","02:43","RS","RS   Chinese Taipei",
,"12:17:43","02:46","K","K   China",
,"12:17:43","02:46","P","[4 : 3]   P   China",
,"12:17:53","02:55","Pt Conf","Pt Conf   China",
,"12:18:01","03:03","SRV","SRV   China",
,"12:18:03","03:05","RS","RS   China",
,"12:18:13","03:16","OUT","OUT   China",
,"12:18:13","03:16","P","[4 : 4]   P   Chinese Taipei",
,"12:18:25","03:28","Pt Conf","Pt Conf   Chinese Taipei",
,"12:18:32","03:35","SRV","SRV   Chinese Taipei",
,"12:18:34","03:37","RS","RS   Chinese Taipei",
,"12:18:42","03:45","B","B   China",
,"12:18:42","03:45","P","[5 : 4]   P   China",
,"12:18:58","04:00","Pt Conf","Pt Conf   China",
,"12:19:03","04:06","SRV","SRV   China",
,"12:19:05","04:08","RS","RS   China",
,"12:19:07","04:10","K","K   Chinese Taipei",
,"12:19:07","04:10","P","[5 : 5]   P   Chinese Taipei",
,"12:19:18","04:20","Pt Conf","Pt Conf   Chinese Taipei",
,"12:19:26","04:28","SRV","SRV   Chinese Taipei",
,"12:19:28","04:31","S ERR","S ERR   Chinese Taipei",
,"12:19:28","04:31","P","[6 : 5]   P   China",
,"12:19:38","04:41","Pt Conf","Pt Conf   China",
,"12:19:49","04:52","SRV","SRV   China",
,"12:19:51","04:54","RS","RS   China",
,"12:19:55","04:58","B","B   China",
,"12:19:55","04:58","P","[7 : 5]   P   China",
,"12:20:05","05:08","Pt Conf","Pt Conf   China",
,"12:20:14","05:17","SRV","SRV   China",
,"12:20:17","05:19","RS","RS   China",
,"12:20:24","05:27","ERR","ERR   China",
,"12:20:24","05:27","P","[7 : 6]   P   Chinese Taipei",
,"12:20:33","05:35","Pt Conf","Pt Conf   Chinese Taipei",
,"12:20:42","05:45","SRV","SRV   Chinese Taipei",
,"12:20:44","05:47","RS","RS   Chinese Taipei",
,"12:20:48","05:50","K","K   China",
,"12:20:48","05:50","P","[8 : 6]   P   China",
,"12:20:53","05:56","Pt Conf","Pt Conf   China",
,"12:20:54","05:57","TIME","TIME",
,"12:20:55","05:58","TTO","TTO",
,"12:22:04","07:06","SRV","SRV   China",
,"12:22:07","07:10","RS","RS   China",
,"12:22:08","07:11","K","K   Chinese Taipei",
,"12:22:08","07:11","P","[8 : 7]   P   Chinese Taipei",
,"12:22:18","07:20","Pt Conf","Pt Conf   Chinese Taipei",
,"12:22:26","07:29","SRV","SRV   Chinese Taipei",
,"12:22:27","07:30","RS","RS   Chinese Taipei",
,"12:22:31","07:34","K","K   China",
,"12:22:31","07:34","P","[9 : 7]   P   China",
,"12:22:42","07:45","Pt Conf","Pt Conf   China",
,"12:22:49","07:52","SRV","SRV   China",
,"12:22:53","07:56","A","A   China",
,"12:22:53","07:56","P","[10 : 7]   P   China",
,"12:23:06","08:09","Pt Conf","Pt Conf   China",
,"12:23:11","08:14","SRV","SRV   China",
,"12:23:13","08:16","S ERR","S ERR   China",
,"12:23:13","08:16","P","[10 : 8]   P   Chinese Taipei",
,"12:23:23","08:25","Pt Conf","Pt Conf   Chinese Taipei",
,"12:23:29","08:31","SRV","SRV   Chinese Taipei",
,"12:23:31","08:33","RS","RS   Chinese Taipei",
,"12:23:37","08:40","K","K   Chinese Taipei",
,"12:23:37","08:40","P","[10 : 9]   P   Chinese Taipei",
,"12:23:55","08:57","Pt Conf","Pt Conf   Chinese Taipei",
,"12:23:55","08:58","SRV","SRV   Chinese Taipei",
