"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"738919","Italy","Serie A1 (women)","16.10.2016 - 15:00","Futura Volley Busto Arsizio (women)","River Volley (women)",
"Statistics","Futura Volley Busto Arsizio (women)","Type","River Volley (women)",
,"0","Score","3",
,"59","Points","75",
,"0","Sets","3",
,"0","Aces","8",
,"9","Service errors","3",
,"38","Kills","45",
,"11","Blocks","6",
,"3","Errors","1",
,"4","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:17:58","00:00","Game conditions changed","Game conditions changed",
,"14:18:02","00:00","Players warming up","Players warming up",
,"14:19:05","00:00","Jersey colours updated","Jersey colours updated",
,"14:19:20","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:47","00:00","Warm up at the net","Warm up at the net",
,"14:51:05","00:00","Jersey colours updated","Jersey colours updated",
,"14:56:39","00:00","Players lined up","Players lined up",
,"14:57:13","00:00","Shake hands","Shake hands",
,"14:59:47","00:00","Game conditions changed","Game conditions changed",
,"14:59:51","00:00","Players intro","Players intro",
,"15:00:31","00:00","Game about to start","Game about to start",
,"15:01:02","00:00","Start SRV","Start SRV   Futura Volley Busto Arsizio (women)",
,"15:01:47","00:00","Start 1st Set","Start 1st Set",
,"15:01:47","00:00","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"15:01:52","00:04","RS","RS   Futura Volley Busto Arsizio (women)",
,"15:02:06","00:18","B","B   Futura Volley Busto Arsizio (women)",
,"15:02:06","00:18","P","[1 : 0]   P   Futura Volley Busto Arsizio (women)",
,"15:02:21","00:34","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"15:02:23","00:35","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"15:02:24","00:37","RS","RS   Futura Volley Busto Arsizio (women)",
,"15:02:43","00:55","K","K   Futura Volley Busto Arsizio (women)",
,"15:02:43","00:55","P","[2 : 0]   P   Futura Volley Busto Arsizio (women)",
,"15:02:57","01:09","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"15:02:59","01:12","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"15:03:01","01:14","RS","RS   Futura Volley Busto Arsizio (women)",
,"15:03:07","01:20","K","K   River Volley (women)",
,"15:03:07","01:20","P","[2 : 1]   P   River Volley (women)",
,"15:03:30","01:42","Pt Conf","Pt Conf   River Volley (women)",
,"15:03:33","01:46","SRV","SRV   River Volley (women)",
,"15:03:36","01:48","RS","RS   River Volley (women)",
,"15:04:10","02:22","K","K   Futura Volley Busto Arsizio (women)",
,"15:04:10","02:22","P","[3 : 1]   P   Futura Volley Busto Arsizio (women)",
,"15:04:24","02:36","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"15:04:29","02:42","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"15:04:34","02:46","RS","RS   Futura Volley Busto Arsizio (women)",
,"15:04:39","02:52","OUT","OUT   River Volley (women)",
,"15:04:39","02:52","P","[4 : 1]   P   Futura Volley Busto Arsizio (women)",
,"15:05:04","03:17","Point under investigation","Point under investigation",
,"15:06:15","04:27","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"15:06:18","04:31","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"15:06:22","04:34","S ERR","S ERR   Futura Volley Busto Arsizio (women)",
,"15:06:22","04:34","P","[4 : 2]   P   River Volley (women)",
,"15:06:37","04:49","Pt Conf","Pt Conf   River Volley (women)",
,"15:06:40","04:52","SRV","SRV   River Volley (women)",
,"15:06:42","04:55","RS","RS   River Volley (women)",
,"15:06:46","04:58","K","K   Futura Volley Busto Arsizio (women)",
,"15:06:46","04:58","P","[5 : 2]   P   Futura Volley Busto Arsizio (women)",
,"15:07:04","05:17","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"15:07:07","05:20","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"15:07:10","05:22","RS","RS   Futura Volley Busto Arsizio (women)",
,"15:07:26","05:38","OUT","OUT   Futura Volley Busto Arsizio (women)",
,"15:07:26","05:38","P","[5 : 3]   P   River Volley (women)",
,"15:07:40","05:53","Pt Conf","Pt Conf   River Volley (women)",
,"15:07:42","05:54","SRV","SRV   River Volley (women)",
,"15:07:45","05:58","A","A   River Volley (women)",
,"15:07:45","05:58","P","[5 : 4]   P   River Volley (women)",
,"15:07:59","06:11","Pt Conf","Pt Conf   River Volley (women)",
,"15:08:00","06:13","SRV","SRV   River Volley (women)",
,"15:08:03","06:15","RS","RS   River Volley (women)",
