"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"741175","World","FIVB Women's Club World Championship","22.10.2016 - 05:00","Eczacibasi SK (women)","VakifBank SK (women)",
"Statistics","Eczacibasi SK (women)","Type","VakifBank SK (women)",
,"3","Score","1",
,"94","Points","88",
,"3","Sets","1",
,"11","Aces","6",
,"12","Service errors","9",
,"57","Kills","54",
,"8","Blocks","8",
,"1","Errors","3",
,"7","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"04:20:45","00:00","Game conditions changed","Game conditions changed",
,"04:30:20","00:00","Players warming up","Players warming up",
,"04:31:01","00:00","Jersey colours updated","Jersey colours updated",
,"04:31:02","00:00","Jersey colours updated","Jersey colours updated",
,"04:42:46","00:00","Coin flipping","Coin flipping",
,"04:43:25","00:00","Warm up at the net","Warm up at the net",
,"04:55:05","00:00","Players intro","Players intro",
,"04:59:48","00:00","Game about to start","Game about to start",
,"05:00:21","00:00","Start SRV","Start SRV   Eczacibasi SK (women)",
,"05:00:22","00:00","Start 1st Set","Start 1st Set",
,"05:00:22","00:00","SRV","SRV   Eczacibasi SK (women)",
,"05:00:26","00:04","RS","RS   Eczacibasi SK (women)",
,"05:00:33","00:11","K","K   Eczacibasi SK (women)",
,"05:00:33","00:11","P","[1 : 0]   P   Eczacibasi SK (women)",
,"05:00:42","00:20","Pt Conf","Pt Conf   Eczacibasi SK (women)",
,"05:00:49","00:27","SRV","SRV   Eczacibasi SK (women)",
,"05:00:51","00:29","A","A   Eczacibasi SK (women)",
,"05:00:51","00:29","P","[2 : 0]   P   Eczacibasi SK (women)",
,"05:01:01","00:39","Pt Conf","Pt Conf   Eczacibasi SK (women)",
,"05:01:05","00:43","SRV","SRV   Eczacibasi SK (women)",
,"05:01:09","00:47","RS","RS   Eczacibasi SK (women)",
,"05:01:12","00:50","K","K   Vakifbank SK (women)",
,"05:01:12","00:50","P","[2 : 1]   P   Vakifbank SK (women)",
,"05:01:23","01:01","Pt Conf","Pt Conf   Vakifbank SK (women)",
,"05:01:29","01:07","SRV","SRV   Vakifbank SK (women)",
,"05:01:33","01:11","RS","RS   Vakifbank SK (women)",
,"05:01:37","01:15","K","K   Eczacibasi SK (women)",
,"05:01:37","01:15","P","[3 : 1]   P   Eczacibasi SK (women)",
,"05:01:58","01:36","Danger","Danger",
,"05:01:58","01:36","Scout offline","Scout offline",
,"05:02:14","01:51","Updating score","Updating score",
,"05:02:15","01:53","K","K   Vakifbank SK (women)",
,"05:02:15","01:53","P","[3 : 2]   P   Vakifbank SK (women)",
,"05:02:35","02:13","K","K   Vakifbank SK (women)",
