"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"741176","World","FIVB Women's Club World Championship","22.10.2016 - 08:30","Hisamitsu Spring (women)","PSL Manila (women)",
"Statistics","Hisamitsu Spring (women)","Type","PSL Manila (women)",
,"3","Score","0",
,"75","Points","54",
,"3","Sets","0",
,"5","Aces","7",
,"10","Service errors","6",
,"45","Kills","30",
,"8","Blocks","3",
,"1","Errors","4",
,"3","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"07:49:46","00:00","Game conditions changed","Game conditions changed",
,"08:06:45","00:00","Players warming up","Players warming up",
,"08:07:15","00:00","Jersey colours updated","Jersey colours updated",
,"08:07:16","00:00","Jersey colours updated","Jersey colours updated",
,"08:14:00","00:00","Warm up at the net","Warm up at the net",
,"08:24:48","00:00","Players intro","Players intro",
,"08:28:55","00:00","Game about to start","Game about to start",
,"08:30:09","00:00","Start SRV","Start SRV   PSL Manila (women)",
,"08:30:13","00:00","Start 1st Set","Start 1st Set",
,"08:30:14","00:00","SRV","SRV   PSL Manila (women)",
,"08:30:17","00:03","RS","RS   PSL Manila (women)",
,"08:30:23","00:09","ERR","ERR   Hisamitsu Spring (women)",
,"08:30:23","00:09","P","[0 : 1]   P   PSL Manila (women)",
,"08:30:31","00:17","Pt Conf","Pt Conf   PSL Manila (women)",
,"08:30:36","00:22","SRV","SRV   PSL Manila (women)",
,"08:30:40","00:26","RS","RS   PSL Manila (women)",
,"08:31:03","00:49","K","K   PSL Manila (women)",
,"08:31:03","00:49","P","[0 : 2]   P   PSL Manila (women)",
,"08:31:13","00:59","Pt Conf","Pt Conf   PSL Manila (women)",
,"08:31:25","01:11","SRV","SRV   PSL Manila (women)",
,"08:31:28","01:14","RS","RS   PSL Manila (women)",
,"08:31:29","01:15","K","K   Hisamitsu Spring (women)",
,"08:31:29","01:15","P","[1 : 2]   P   Hisamitsu Spring (women)",
,"08:31:46","01:32","Pt Conf","Pt Conf   Hisamitsu Spring (women)",
,"08:31:51","01:37","SRV","SRV   Hisamitsu Spring (women)",
,"08:31:52","01:38","A","A   Hisamitsu Spring (women)",
,"08:31:52","01:38","P","[2 : 2]   P   Hisamitsu Spring (women)",
,"08:32:01","01:47","Pt Conf","Pt Conf   Hisamitsu Spring (women)",
,"08:32:10","01:56","SRV","SRV   Hisamitsu Spring (women)",
,"08:32:12","01:58","RS","RS   Hisamitsu Spring (women)",
,"08:32:15","02:01","K","K   PSL Manila (women)",
,"08:32:15","02:01","P","[2 : 3]   P   PSL Manila (women)",
,"08:32:25","02:11","Pt Conf","Pt Conf   PSL Manila (women)",
,"08:32:38","02:24","SRV","SRV   PSL Manila (women)",
,"08:32:42","02:28","A","A   PSL Manila (women)",
,"08:32:42","02:28","P","[2 : 4]   P   PSL Manila (women)",
,"08:32:49","02:35","Pt Conf","Pt Conf   PSL Manila (women)",
,"08:33:03","02:49","SRV","SRV   PSL Manila (women)",
,"08:33:06","02:52","A","A   PSL Manila (women)",
