"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"741177","World","FIVB Women's Club World Championship","22.10.2016 - 11:30","Volero Zürich (women)","VBC Pallavolo Rosa Casalmaggiore (women)",
"Statistics","Volero Zürich (women)","Type","VBC Pallavolo Rosa Casalmaggiore (women)",
,"1","Score","3",
,"90","Points","100",
,"1","Sets","3",
,"6","Aces","7",
,"14","Service errors","12",
,"50","Kills","54",
,"9","Blocks","11",
,"5","Errors","2",
,"9","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:45:45","00:00","Players warming up","Players warming up",
,"10:45:46","00:00","Game conditions changed","Game conditions changed",
,"11:13:00","00:00","Warm up at the net","Warm up at the net",
,"11:13:27","00:00","Jersey colours updated","Jersey colours updated",
,"11:13:27","00:00","Jersey colours updated","Jersey colours updated",
,"11:24:41","00:00","Players intro","Players intro",
,"11:29:28","00:00","Game about to start","Game about to start",
,"11:30:10","00:00","Start SRV","Start SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:30:13","00:00","Start 1st Set","Start 1st Set",
,"11:30:14","00:00","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:30:18","00:04","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:30:30","00:16","OUT","OUT   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:30:30","00:16","P","[1 : 0]   P   Volero Zürich (women)",
,"11:30:41","00:27","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:30:50","00:36","SRV","SRV   Volero Zürich (women)",
,"11:30:52","00:38","RS","RS   Volero Zürich (women)",
,"11:30:54","00:40","K","K   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:30:54","00:40","P","[1 : 1]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:31:07","00:54","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:31:13","00:59","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:31:16","01:02","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:31:30","01:17","B","B   Volero Zürich (women)",
,"11:31:30","01:17","P","[2 : 1]   P   Volero Zürich (women)",
,"11:31:46","01:32","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:31:53","01:39","SRV","SRV   Volero Zürich (women)",
,"11:31:55","01:42","S ERR","S ERR   Volero Zürich (women)",
,"11:31:55","01:42","P","[2 : 2]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:32:04","01:50","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:32:09","01:55","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:32:12","01:58","S ERR","S ERR   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:32:12","01:58","P","[3 : 2]   P   Volero Zürich (women)",
,"11:32:24","02:10","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:32:30","02:16","SRV","SRV   Volero Zürich (women)",
,"11:32:32","02:19","A","A   Volero Zürich (women)",
,"11:32:32","02:19","P","[4 : 2]   P   Volero Zürich (women)",
,"11:32:44","02:31","Point under investigation","Point under investigation",
,"11:33:12","02:59","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:33:15","03:02","SRV","SRV   Volero Zürich (women)",
,"11:33:19","03:05","RS","RS   Volero Zürich (women)",
,"11:33:23","03:09","B","B   Volero Zürich (women)",
,"11:33:23","03:09","P","[5 : 2]   P   Volero Zürich (women)",
,"11:33:32","03:18","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:33:37","03:23","SRV","SRV   Volero Zürich (women)",
,"11:33:39","03:25","S ERR","S ERR   Volero Zürich (women)",
,"11:33:39","03:25","P","[5 : 3]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:33:49","03:35","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:33:58","03:44","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:02","03:48","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:04","03:50","B","B   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:04","03:50","P","[5 : 4]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:13","03:59","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:26","04:12","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:30","04:17","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:34:36","04:22","K","K   Volero Zürich (women)",
,"11:34:36","04:22","P","[6 : 4]   P   Volero Zürich (women)",
,"11:34:49","04:35","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:34:57","04:43","SRV","SRV   Volero Zürich (women)",
,"11:35:01","04:47","RS","RS   Volero Zürich (women)",
,"11:35:23","05:09","K","K   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:35:23","05:09","P","[6 : 5]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:35:38","05:24","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:35:49","05:35","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:35:53","05:39","S ERR","S ERR   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:35:53","05:39","P","[7 : 5]   P   Volero Zürich (women)",
,"11:36:04","05:50","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:36:05","05:51","SRV","SRV   Volero Zürich (women)",
,"11:36:07","05:53","S ERR","S ERR   Volero Zürich (women)",
,"11:36:07","05:53","P","[7 : 6]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:15","06:01","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:23","06:09","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:27","06:13","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:31","06:18","K","K   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:31","06:18","P","[7 : 7]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:45","06:31","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:51","06:37","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:55","06:41","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:36:59","06:45","K","K   Volero Zürich (women)",
,"11:36:59","06:45","P","[8 : 7]   P   Volero Zürich (women)",
,"11:37:09","06:56","Pt Conf","Pt Conf   Volero Zürich (women)",
,"11:37:16","07:03","SRV","SRV   Volero Zürich (women)",
,"11:37:20","07:06","S ERR","S ERR   Volero Zürich (women)",
,"11:37:20","07:06","P","[8 : 8]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"11:37:34","07:21","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
