"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"737303","Belgium","Liga Heren (men)","29.10.2016 - 18:30","VOC Amigos St. Antonius Zoersel","Volley Roeselare",
"Statistics","VOC Amigos St. Antonius Zoersel","Type","Volley Roeselare",
,"0","Score","3",
,"51","Points","75",
,"0","Sets","3",
,"3","Aces","6",
,"11","Service errors","11",
,"24","Kills","40",
,"4","Blocks","7",
,"6","Errors","5",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:58:47","00:00","Players warming up","Players warming up",
,"17:58:49","00:00","Game conditions changed","Game conditions changed",
,"18:27:09","00:00","Jersey colours updated","Jersey colours updated",
,"18:27:09","00:00","Jersey colours updated","Jersey colours updated",
,"18:27:45","00:00","Coin flipping","Coin flipping",
,"18:28:51","00:00","Warm up at the net","Warm up at the net",
,"18:32:03","00:00","Players intro","Players intro",
,"18:40:45","00:00","Players lined up","Players lined up",
,"18:42:09","00:00","Shake hands","Shake hands",
,"18:46:27","00:00","Start SRV","Start SRV   VOC Amigos St. Antonius Zoersel",
,"18:46:30","00:00","Game about to start","Game about to start",
,"18:46:34","00:00","Start 1st Set","Start 1st Set",
,"18:46:34","00:00","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:46:38","00:04","RS","RS   VOC Amigos St. Antonius Zoersel",
,"18:46:46","00:12","B","B   Volley Roeselare",
,"18:46:46","00:12","P","[0 : 1]   P   Volley Roeselare",
,"18:46:57","00:23","Pt Conf","Pt Conf   Volley Roeselare",
,"18:47:01","00:27","SRV","SRV   Volley Roeselare",
,"18:47:05","00:31","RS","RS   Volley Roeselare",
,"18:47:08","00:34","K","K   VOC Amigos St. Antonius Zoersel",
,"18:47:08","00:34","P","[1 : 1]   P   VOC Amigos St. Antonius Zoersel",
,"18:47:29","00:54","Pt Conf","Pt Conf   VOC Amigos St. Antonius Zoersel",
,"18:47:48","01:13","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:47:48","01:13","S ERR","S ERR   VOC Amigos St. Antonius Zoersel",
,"18:47:48","01:13","P","[1 : 2]   P   Volley Roeselare",
,"18:47:51","01:17","Pt Conf","Pt Conf   Volley Roeselare",
,"18:47:59","01:25","SRV","SRV   Volley Roeselare",
,"18:48:08","01:34","RS","RS   Volley Roeselare",
,"18:48:10","01:36","K","K   VOC Amigos St. Antonius Zoersel",
,"18:48:10","01:36","P","[2 : 2]   P   VOC Amigos St. Antonius Zoersel",
,"18:48:22","01:47","Pt Conf","Pt Conf   VOC Amigos St. Antonius Zoersel",
,"18:48:28","01:54","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:48:32","01:58","RS","RS   VOC Amigos St. Antonius Zoersel",
,"18:48:38","02:04","B","B   Volley Roeselare",
,"18:48:38","02:04","P","[2 : 3]   P   Volley Roeselare",
,"18:48:46","02:12","Pt Conf","Pt Conf   Volley Roeselare",
,"18:49:15","02:41","Danger","Danger",
,"18:49:15","02:41","Scout offline","Scout offline",
,"18:49:48","03:13","Updating score","Updating score",
,"18:49:55","03:21","S ERR","S ERR   Volley Roeselare",
,"18:49:55","03:21","P","[3 : 3]   P   VOC Amigos St. Antonius Zoersel",
,"18:50:00","03:26","K","K   VOC Amigos St. Antonius Zoersel",
,"18:50:00","03:26","P","[4 : 3]   P   VOC Amigos St. Antonius Zoersel",
,"18:50:08","03:34","Score updated","Score updated",
,"18:50:09","03:35","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:50:10","03:36","RS","RS   VOC Amigos St. Antonius Zoersel",
,"18:50:15","03:41","Danger","Danger",
,"18:50:15","03:41","Scout offline","Scout offline",
,"18:50:26","03:52","Updating score","Updating score",
,"18:50:29","03:55","K","K   Volley Roeselare",
,"18:50:29","03:55","P","[4 : 4]   P   Volley Roeselare",
,"18:50:30","03:56","Score updated","Score updated",
,"18:50:35","04:01","SRV","SRV   Volley Roeselare",
,"18:50:39","04:05","RS","RS   Volley Roeselare",
,"18:50:46","04:11","ERR","ERR   Volley Roeselare",
,"18:50:46","04:11","P","[5 : 4]   P   VOC Amigos St. Antonius Zoersel",
,"18:50:53","04:19","Pt Conf","Pt Conf   VOC Amigos St. Antonius Zoersel",
,"18:50:57","04:23","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:51:01","04:27","RS","RS   VOC Amigos St. Antonius Zoersel",
,"18:51:10","04:36","K","K   Volley Roeselare",
,"18:51:10","04:36","P","[5 : 5]   P   Volley Roeselare",
,"18:51:22","04:48","Pt Conf","Pt Conf   Volley Roeselare",
,"18:51:26","04:52","SRV","SRV   Volley Roeselare",
,"18:51:30","04:56","RS","RS   Volley Roeselare",
,"18:51:48","05:14","K","K   VOC Amigos St. Antonius Zoersel",
,"18:51:48","05:14","P","[6 : 5]   P   VOC Amigos St. Antonius Zoersel",
,"18:51:55","05:21","Pt Conf","Pt Conf   VOC Amigos St. Antonius Zoersel",
,"18:52:11","05:36","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:52:14","05:40","S ERR","S ERR   VOC Amigos St. Antonius Zoersel",
,"18:52:14","05:40","P","[6 : 6]   P   Volley Roeselare",
,"18:52:27","05:53","Pt Conf","Pt Conf   Volley Roeselare",
,"18:52:39","06:05","SRV","SRV   Volley Roeselare",
,"18:52:44","06:10","RS","RS   Volley Roeselare",
,"18:52:44","06:10","K","K   VOC Amigos St. Antonius Zoersel",
,"18:52:44","06:10","P","[7 : 6]   P   VOC Amigos St. Antonius Zoersel",
,"18:52:54","06:19","Pt Conf","Pt Conf   VOC Amigos St. Antonius Zoersel",
,"18:52:56","06:22","SRV","SRV   VOC Amigos St. Antonius Zoersel",
,"18:53:01","06:27","S ERR","S ERR   VOC Amigos St. Antonius Zoersel",
,"18:53:01","06:27","P","[7 : 7]   P   Volley Roeselare",
,"18:53:14","06:39","Pt Conf","Pt Conf   Volley Roeselare",
,"18:53:17","06:42","SRV","SRV   Volley Roeselare",
,"18:53:19","06:45","RS","RS   Volley Roeselare",
,"18:53:27","06:53","OUT","OUT   VOC Amigos St. Antonius Zoersel",
,"18:53:27","06:53","P","[7 : 8]   P   Volley Roeselare",
,"18:53:32","06:58","Pt Conf","Pt Conf   Volley Roeselare",
,"18:53:32","06:58","TIME","TIME",
,"18:53:33","06:59","TTO","TTO",
,"18:54:45","08:11","SRV","SRV   Volley Roeselare",
,"18:54:49","08:15","RS","RS   Volley Roeselare",
,"18:54:53","08:19","B","B   Volley Roeselare",
,"18:54:53","08:19","P","[7 : 9]   P   Volley Roeselare",
,"18:55:04","08:30","Pt Conf","Pt Conf   Volley Roeselare",
,"18:55:08","08:34","SRV","SRV   Volley Roeselare",
,"18:55:12","08:38","RS","RS   Volley Roeselare",
,"18:55:21","08:47","B","B   VOC Amigos St. Antonius Zoersel",
,"18:55:21","08:47","P","[8 : 9]   P   VOC Amigos St. Antonius Zoersel",
,"18:55:31","08:57","Danger","Danger",
,"18:55:31","08:57","Scout offline","Scout offline",
