"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"737302","Belgium","Liga Heren (men)","29.10.2016 - 18:30","Volley Haasrode Leuven","Axis Shanks Guibertin",
"Statistics","Volley Haasrode Leuven","Type","Axis Shanks Guibertin",
,"3","Score","2",
,"116","Points","109",
,"3","Sets","2",
,"8","Aces","3",
,"11","Service errors","4",
,"71","Kills","67",
,"8","Blocks","15",
,"6","Errors","13",
,"7","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:57:51","00:00","Game conditions changed","Game conditions changed",
,"17:57:52","00:00","Players warming up","Players warming up",
,"17:59:33","00:00","Jersey colours updated","Jersey colours updated",
,"17:59:33","00:00","Jersey colours updated","Jersey colours updated",
,"18:13:13","00:00","Coin flipping","Coin flipping",
,"18:13:35","00:00","Warm up at the net","Warm up at the net",
,"18:25:06","00:00","Players lined up","Players lined up",
,"18:26:14","00:00","Shake hands","Shake hands",
,"18:28:25","00:00","Players intro","Players intro",
,"18:29:44","00:00","Game about to start","Game about to start",
,"18:30:39","00:00","Start SRV","Start SRV   Volley Haasrode Leuven",
,"18:30:43","00:00","Start 1st Set","Start 1st Set",
,"18:30:43","00:00","SRV","SRV   Volley Haasrode Leuven",
,"18:30:46","00:02","RS","RS   Volley Haasrode Leuven",
,"18:30:53","00:10","K","K   Axis Shanks Guibertin",
,"18:30:53","00:10","P","[0 : 1]   P   Axis Shanks Guibertin",
,"18:31:01","00:17","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:31:04","00:20","SRV","SRV   Axis Shanks Guibertin",
,"18:31:06","00:23","RS","RS   Axis Shanks Guibertin",
,"18:31:14","00:30","K","K   Axis Shanks Guibertin",
,"18:31:14","00:30","P","[0 : 2]   P   Axis Shanks Guibertin",
,"18:31:24","00:41","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:31:29","00:46","SRV","SRV   Axis Shanks Guibertin",
,"18:31:31","00:48","RS","RS   Axis Shanks Guibertin",
,"18:31:38","00:55","OUT","OUT   Volley Haasrode Leuven",
,"18:31:38","00:55","P","[0 : 3]   P   Axis Shanks Guibertin",
,"18:31:48","01:05","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:31:51","01:08","SRV","SRV   Axis Shanks Guibertin",
,"18:31:53","01:10","RS","RS   Axis Shanks Guibertin",
,"18:32:00","01:16","K","K   Volley Haasrode Leuven",
,"18:32:00","01:16","P","[1 : 3]   P   Volley Haasrode Leuven",
,"18:32:08","01:25","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:32:12","01:29","SRV","SRV   Volley Haasrode Leuven",
,"18:32:15","01:31","RS","RS   Volley Haasrode Leuven",
,"18:32:21","01:38","K","K   Axis Shanks Guibertin",
,"18:32:21","01:38","P","[1 : 4]   P   Axis Shanks Guibertin",
,"18:32:37","01:54","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:32:38","01:54","SRV","SRV   Axis Shanks Guibertin",
,"18:32:41","01:58","RS","RS   Axis Shanks Guibertin",
,"18:32:47","02:04","B","B   Axis Shanks Guibertin",
,"18:32:47","02:04","P","[1 : 5]   P   Axis Shanks Guibertin",
,"18:32:58","02:14","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:32:59","02:16","SRV","SRV   Axis Shanks Guibertin",
,"18:33:02","02:19","RS","RS   Axis Shanks Guibertin",
,"18:33:21","02:38","ERR","ERR   Axis Shanks Guibertin",
,"18:33:21","02:38","P","[2 : 5]   P   Volley Haasrode Leuven",
,"18:33:33","02:50","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:33:35","02:52","SRV","SRV   Volley Haasrode Leuven",
,"18:33:37","02:54","RS","RS   Volley Haasrode Leuven",
,"18:33:46","03:03","K","K   Axis Shanks Guibertin",
,"18:33:46","03:03","P","[2 : 6]   P   Axis Shanks Guibertin",
,"18:33:56","03:12","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:33:59","03:16","SRV","SRV   Axis Shanks Guibertin",
,"18:34:03","03:19","RS","RS   Axis Shanks Guibertin",
,"18:34:06","03:23","B","B   Axis Shanks Guibertin",
,"18:34:06","03:23","P","[2 : 7]   P   Axis Shanks Guibertin",
,"18:34:20","03:36","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:34:21","03:38","SRV","SRV   Axis Shanks Guibertin",
,"18:34:24","03:41","RS","RS   Axis Shanks Guibertin",
,"18:34:45","04:02","ERR","ERR   Axis Shanks Guibertin",
,"18:34:45","04:02","P","[3 : 7]   P   Volley Haasrode Leuven",
,"18:34:59","04:16","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:35:02","04:19","SRV","SRV   Volley Haasrode Leuven",
,"18:35:04","04:21","RS","RS   Volley Haasrode Leuven",
,"18:35:16","04:32","ERR","ERR   Axis Shanks Guibertin",
,"18:35:16","04:32","P","[4 : 7]   P   Volley Haasrode Leuven",
,"18:35:24","04:41","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:35:24","04:41","SRV","SRV   Volley Haasrode Leuven",
,"18:35:26","04:43","RS","RS   Volley Haasrode Leuven",
,"18:35:33","04:49","K","K   Axis Shanks Guibertin",
,"18:35:33","04:49","P","[4 : 8]   P   Axis Shanks Guibertin",
,"18:35:38","04:54","Pt Conf","Pt Conf   Axis Shanks Guibertin",
