"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"878205","Belgium","Liga Heren (men)","01.10.2017 - 16:00","Axis Shanks Guibertin","VBC Waremme",
"Statistics","Axis Shanks Guibertin","Type","VBC Waremme",
,"3","Score","1",
,"97","Points","84",
,"3","Sets","1",
,"6","Aces","8",
,"5","Service errors","16",
,"53","Kills","53",
,"10","Blocks","8",
,"8","Errors","8",
,"2","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:36:17","00:00","Game conditions changed","Game conditions changed",
,"15:36:18","00:00","Players warming up","Players warming up",
,"15:45:52","00:00","Coin flipping","Coin flipping",
,"15:46:30","00:00","Warm up at the net","Warm up at the net",
,"15:55:04","00:00","Jersey colours updated","Jersey colours updated",
,"15:55:04","00:00","Jersey colours updated","Jersey colours updated",
,"15:57:28","00:00","Players lined up","Players lined up",
,"15:58:25","00:00","Shake hands","Shake hands",
,"15:59:48","00:00","Players intro","Players intro",
,"16:01:28","00:00","Game about to start","Game about to start",
,"16:02:34","00:00","Start SRV","Start SRV   Axis Shanks Guibertin",
,"16:02:41","00:00","Start 1st Set","Start 1st Set",
,"16:02:41","00:00","SRV","SRV   Axis Shanks Guibertin",
,"16:02:44","00:02","RS","RS   Axis Shanks Guibertin",
,"16:02:44","00:02","B POSS","B POSS   VBC Waremme",
,"16:02:49","00:07","OUT","OUT   VBC Waremme",
,"16:02:49","00:07","P","[1 : 0]   P   Axis Shanks Guibertin",
,"16:03:04","00:23","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:03:08","00:27","SRV","SRV   Axis Shanks Guibertin",
,"16:03:12","00:31","A","A   Axis Shanks Guibertin",
,"16:03:12","00:31","P","[2 : 0]   P   Axis Shanks Guibertin",
,"16:03:26","00:44","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:03:29","00:48","SRV","SRV   Axis Shanks Guibertin",
,"16:03:31","00:50","RS","RS   Axis Shanks Guibertin",
,"16:03:31","00:50","B POSS","B POSS   VBC Waremme",
,"16:03:36","00:55","ERR","ERR   Axis Shanks Guibertin",
,"16:03:36","00:55","P","[2 : 1]   P   VBC Waremme",
,"16:03:55","01:14","Pt Conf","Pt Conf   VBC Waremme",
,"16:03:59","01:18","SRV","SRV   VBC Waremme",
,"16:04:04","01:22","A","A   VBC Waremme",
,"16:04:04","01:22","P","[2 : 2]   P   VBC Waremme",
,"16:04:19","01:37","Pt Conf","Pt Conf   VBC Waremme",
,"16:04:22","01:41","SRV","SRV   VBC Waremme",
,"16:04:24","01:43","S ERR","S ERR   VBC Waremme",
,"16:04:24","01:43","P","[3 : 2]   P   Axis Shanks Guibertin",
,"16:04:38","01:57","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"16:04:40","01:59","SRV","SRV   Axis Shanks Guibertin",
