"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"881753","Europe","CEV European Championship (women)","01.10.2017 - 15:00","Netherlands Women","Serbia Women",
"Statistics","Netherlands Women","Type","Serbia Women",
,"1","Score","3",
,"85","Points","93",
,"1","Sets","3",
,"7","Aces","3",
,"5","Service errors","15",
,"41","Kills","61",
,"6","Blocks","7",
,"9","Errors","4",
,"8","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:50:31","00:00","Game conditions changed","Game conditions changed",
,"14:18:47","00:00","Players warming up","Players warming up",
,"14:19:07","00:00","Jersey colours updated","Jersey colours updated",
,"14:19:07","00:00","Jersey colours updated","Jersey colours updated",
,"14:41:03","00:00","Coin flipping","Coin flipping",
,"14:41:04","00:00","Warm up at the net","Warm up at the net",
,"14:52:07","00:00","Players lined up","Players lined up",
,"14:52:52","00:00","National anthem singing","National anthem singing",
,"14:55:50","00:00","Shake hands","Shake hands",
,"14:56:14","00:00","Players intro","Players intro",
,"14:58:49","00:00","Game about to start","Game about to start",
,"14:59:38","00:00","Start SRV","Start SRV   Serbia Women",
,"14:59:53","00:00","Start 1st Set","Start 1st Set",
,"14:59:53","00:00","SRV","SRV   Serbia Women",
,"14:59:58","00:05","RS","RS   Serbia Women",
,"14:59:59","00:06","B POSS","B POSS   Netherlands Women",
,"15:00:01","00:08","K","K   Netherlands Women",
,"15:00:01","00:08","P","[1 : 0]   P   Netherlands Women",
,"15:00:16","00:23","Pt Conf","Pt Conf   Netherlands Women",
,"15:00:16","00:23","SRV","SRV   Netherlands Women",
,"15:00:22","00:29","RS","RS   Netherlands Women",
,"15:00:22","00:29","B POSS","B POSS   Serbia Women",
,"15:00:25","00:32","K","K   Serbia Women",
,"15:00:25","00:32","P","[1 : 1]   P   Serbia Women",
,"15:00:43","00:50","Pt Conf","Pt Conf   Serbia Women",
,"15:00:43","00:50","SRV","SRV   Serbia Women",
,"15:00:47","00:54","RS","RS   Serbia Women",
,"15:00:47","00:54","B POSS","B POSS   Netherlands Women",
,"15:00:53","01:00","OUT","OUT   Netherlands Women",
,"15:00:53","01:00","P","[1 : 2]   P   Serbia Women",
,"15:01:02","01:08","Point under investigation","Point under investigation",
,"15:01:41","01:48","Pt Conf","Pt Conf   Serbia Women",
,"15:01:41","01:48","SRV","SRV   Serbia Women",
,"15:01:46","01:53","RS","RS   Serbia Women",
,"15:01:46","01:53","B POSS","B POSS   Netherlands Women",
,"15:01:53","01:59","K","K   Netherlands Women",
,"15:01:53","01:59","P","[2 : 2]   P   Netherlands Women",
,"15:02:06","02:13","Point under investigation","Point under investigation",
,"15:03:03","03:09","Pt Conf","Pt Conf   Netherlands Women",
,"15:03:03","03:10","SRV","SRV   Netherlands Women",
,"15:03:07","03:13","RS","RS   Netherlands Women",
,"15:03:07","03:14","B POSS","B POSS   Serbia Women",
,"15:03:08","03:15","B","B   Netherlands Women",
,"15:03:08","03:15","P","[3 : 2]   P   Netherlands Women",
,"15:03:24","03:31","Pt Conf","Pt Conf   Netherlands Women",
,"15:03:25","03:32","SRV","SRV   Netherlands Women",
,"15:03:29","03:36","RS","RS   Netherlands Women",
,"15:03:30","03:37","B POSS","B POSS   Serbia Women",
,"15:03:35","03:42","K","K   Serbia Women",
,"15:03:35","03:42","P","[3 : 3]   P   Serbia Women",
,"15:03:54","04:01","Pt Conf","Pt Conf   Serbia Women",
,"15:03:55","04:02","SRV","SRV   Serbia Women",
,"15:04:01","04:08","RS","RS   Serbia Women",
,"15:04:01","04:08","B POSS","B POSS   Netherlands Women",
,"15:04:06","04:13","K","K   Netherlands Women",
