"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"881852","Friendly","Club Friendly Women","01.10.2017 - 09:00","MKS Dabrowa Gornicza (women)","MKS Muszyna SA (women)",
"Statistics","MKS Dabrowa Gornicza (women)","Type","MKS Muszyna SA (women)",
,"0","Score","3",
,"61","Points","75",
,"0","Sets","3",
,"6","Aces","5",
,"4","Service errors","4",
,"34","Kills","39",
,"6","Blocks","15",
,"5","Errors","5",
,"7","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:28:34","00:00","Game conditions changed","Game conditions changed",
,"08:28:35","00:00","Players warming up","Players warming up",
,"08:46:15","00:00","Coin flipping","Coin flipping",
,"08:46:54","00:00","Warm up at the net","Warm up at the net",
,"08:56:28","00:00","Jersey colours updated","Jersey colours updated",
,"08:56:28","00:00","Jersey colours updated","Jersey colours updated",
,"08:57:49","00:00","Players lined up","Players lined up",
,"08:58:51","00:00","Shake hands","Shake hands",
,"08:59:22","00:00","Players intro","Players intro",
,"09:00:42","00:00","Game about to start","Game about to start",
,"09:01:01","00:00","Start SRV","Start SRV   MKS Muszyna SA (women)",
,"09:01:17","00:00","Start 1st Set","Start 1st Set",
,"09:01:17","00:00","SRV","SRV   MKS Muszyna SA (women)",
,"09:01:20","00:02","RS","RS   MKS Muszyna SA (women)",
,"09:01:20","00:02","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"09:01:24","00:07","K","K   MKS Dabrowa Gornicza (women)",
,"09:01:24","00:07","P","[1 : 0]   P   MKS Dabrowa Gornicza (women)",
,"09:01:37","00:19","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"09:01:39","00:21","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"09:01:42","00:24","RS","RS   MKS Dabrowa Gornicza (women)",
,"09:01:42","00:24","B POSS","B POSS   MKS Muszyna SA (women)",
,"09:01:51","00:34","K","K   MKS Muszyna SA (women)",
,"09:01:51","00:34","P","[1 : 1]   P   MKS Muszyna SA (women)",
,"09:02:05","00:47","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"09:02:07","00:50","SRV","SRV   MKS Muszyna SA (women)",
,"09:02:10","00:53","RS","RS   MKS Muszyna SA (women)",
,"09:02:10","00:53","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"09:02:13","00:56","K","K   MKS Dabrowa Gornicza (women)",
,"09:02:13","00:56","P","[2 : 1]   P   MKS Dabrowa Gornicza (women)",
,"09:02:29","01:11","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"09:02:33","01:15","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"09:02:37","01:20","RS","RS   MKS Dabrowa Gornicza (women)",
,"09:02:37","01:20","B POSS","B POSS   MKS Muszyna SA (women)",
,"09:02:44","01:26","OUT","OUT   MKS Muszyna SA (women)",
,"09:02:44","01:26","P","[3 : 1]   P   MKS Dabrowa Gornicza (women)",
,"09:02:50","01:32","Point under investigation","Point under investigation",
,"09:03:16","01:58","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"09:03:17","02:00","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"09:03:20","02:03","RS","RS   MKS Dabrowa Gornicza (women)",
,"09:03:20","02:03","B POSS","B POSS   MKS Muszyna SA (women)",
,"09:03:23","02:05","K","K   MKS Muszyna SA (women)",
,"09:03:23","02:05","P","[3 : 2]   P   MKS Muszyna SA (women)",
