"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882803","Friendly","Club Friendly Women","01.10.2017 - 09:00","VCO 93 Berlin (women)","SC Potsdam (women)",
"Statistics","VCO 93 Berlin (women)","Type","SC Potsdam (women)",
,"0","Score","3",
,"63","Points","75",
,"0","Sets","3",
,"4","Aces","7",
,"12","Service errors","9",
,"32","Kills","43",
,"5","Blocks","2",
,"6","Errors","7",
,"5","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:42:27","00:00","Players warming up","Players warming up",
,"08:42:30","00:00","Game conditions changed","Game conditions changed",
,"08:44:22","00:00","Coin flipping","Coin flipping",
,"08:44:59","00:00","Warm up at the net","Warm up at the net",
,"08:53:22","00:00","Jersey colours updated","Jersey colours updated",
,"08:53:22","00:00","Jersey colours updated","Jersey colours updated",
,"08:55:02","00:00","Players lined up","Players lined up",
,"08:55:25","00:00","Shake hands","Shake hands",
,"08:56:33","00:00","Players intro","Players intro",
,"08:58:05","00:00","Game about to start","Game about to start",
,"08:58:26","00:00","Start SRV","Start SRV   VCO 93 Berlin (women)",
,"08:58:27","00:00","Start 1st Set","Start 1st Set",
,"08:58:28","00:00","SRV","SRV   VCO 93 Berlin (women)",
,"08:58:29","00:01","RS","RS   VCO 93 Berlin (women)",
,"08:58:29","00:02","B POSS","B POSS   SC Potsdam (women)",
,"08:58:35","00:07","K","K   SC Potsdam (women)",
,"08:58:35","00:07","P","[0 : 1]   P   SC Potsdam (women)",
,"08:58:50","00:22","Pt Conf","Pt Conf   SC Potsdam (women)",
,"08:58:50","00:23","SRV","SRV   SC Potsdam (women)",
,"08:58:52","00:24","RS","RS   SC Potsdam (women)",
,"08:58:52","00:25","B POSS","B POSS   VCO 93 Berlin (women)",
,"08:58:56","00:28","B POSS","B POSS   SC Potsdam (women)",
,"08:59:02","00:34","K","K   SC Potsdam (women)",
,"08:59:02","00:34","P","[0 : 2]   P   SC Potsdam (women)",
,"08:59:20","00:52","Pt Conf","Pt Conf   SC Potsdam (women)",
