"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882804","Friendly","Club Friendly Women","01.10.2017 - 11:00","BKS Bielsko-Biala (women)","VK Brno (women)",
"Statistics","BKS Bielsko-Biala (women)","Type","VK Brno (women)",
,"3","Score","1",
,"94","Points","86",
,"3","Sets","1",
,"12","Aces","8",
,"10","Service errors","12",
,"44","Kills","42",
,"17","Blocks","9",
,"10","Errors","6",
,"7","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:43:29","00:00","Players warming up","Players warming up",
,"10:44:04","00:00","Coin flipping","Coin flipping",
,"10:45:01","00:00","Warm up at the net","Warm up at the net",
,"10:45:05","00:00","Game conditions changed","Game conditions changed",
,"10:45:41","00:00","Jersey colours updated","Jersey colours updated",
,"10:45:41","00:00","Jersey colours updated","Jersey colours updated",
,"10:55:49","00:00","Prize giving ceremony","Prize giving ceremony",
,"10:57:27","00:00","Players lined up","Players lined up",
,"10:58:39","00:00","Shake hands","Shake hands",
,"10:59:33","00:00","Players intro","Players intro",
,"11:00:55","00:00","Game about to start","Game about to start",
,"11:01:28","00:00","Start SRV","Start SRV   BKS Bielsko-Biala (women)",
,"11:01:40","00:00","Start 1st Set","Start 1st Set",
,"11:01:41","00:00","SRV","SRV   BKS Bielsko-Biala (women)",
,"11:01:41","00:01","RS","RS   BKS Bielsko-Biala (women)",
,"11:01:42","00:01","B POSS","B POSS   VK Brno (women)",
,"11:01:46","00:06","ERR","ERR   BKS Bielsko-Biala (women)",
,"11:01:46","00:06","P","[0 : 1]   P   VK Brno (women)",
,"11:02:02","00:21","Pt Conf","Pt Conf   VK Brno (women)",
,"11:02:03","00:22","SRV","SRV   VK Brno (women)",
,"11:02:08","00:27","RS","RS   VK Brno (women)",
,"11:02:08","00:27","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:02:13","00:32","B POSS","B POSS   VK Brno (women)",
,"11:02:14","00:34","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:02:19","00:38","B POSS","B POSS   VK Brno (women)",
,"11:02:23","00:42","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:02:26","00:46","B POSS","B POSS   VK Brno (women)",
,"11:02:26","00:46","Rally over 5 possession changes","Rally over 5 possession changes",
,"11:02:31","00:50","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:02:46","01:05","B POSS","B POSS   VK Brno (women)",
,"11:02:47","01:06","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:02:56","01:15","ERR","ERR   VK Brno (women)",
,"11:02:56","01:15","P","[1 : 1]   P   BKS Bielsko-Biala (women)",
,"11:03:19","01:38","Pt Conf","Pt Conf   BKS Bielsko-Biala (women)",
,"11:03:20","01:39","SRV","SRV   BKS Bielsko-Biala (women)",
,"11:03:23","01:42","RS","RS   BKS Bielsko-Biala (women)",
,"11:03:24","01:43","B POSS","B POSS   VK Brno (women)",
,"11:03:30","01:49","K","K   VK Brno (women)",
,"11:03:30","01:49","P","[1 : 2]   P   VK Brno (women)",
,"11:03:47","02:06","Pt Conf","Pt Conf   VK Brno (women)",
,"11:03:48","02:07","SRV","SRV   VK Brno (women)",
,"11:03:54","02:13","RS","RS   VK Brno (women)",
,"11:03:54","02:13","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:03:59","02:18","B POSS","B POSS   VK Brno (women)",
,"11:04:04","02:23","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:04:05","02:24","B POSS","B POSS   VK Brno (women)",
,"11:04:09","02:28","K","K   BKS Bielsko-Biala (women)",
,"11:04:09","02:28","P","[2 : 2]   P   BKS Bielsko-Biala (women)",
,"11:04:28","02:47","Pt Conf","Pt Conf   BKS Bielsko-Biala (women)",
,"11:04:28","02:48","SRV","SRV   BKS Bielsko-Biala (women)",
,"11:04:35","02:54","RS","RS   BKS Bielsko-Biala (women)",
,"11:04:35","02:55","B POSS","B POSS   VK Brno (women)",
,"11:04:40","02:59","ERR","ERR   VK Brno (women)",
,"11:04:40","02:59","P","[3 : 2]   P   BKS Bielsko-Biala (women)",
,"11:04:58","03:17","Pt Conf","Pt Conf   BKS Bielsko-Biala (women)",
,"11:04:58","03:17","SRV","SRV   BKS Bielsko-Biala (women)",
,"11:05:01","03:20","RS","RS   BKS Bielsko-Biala (women)",
,"11:05:01","03:20","B POSS","B POSS   VK Brno (women)",
,"11:05:06","03:25","K","K   VK Brno (women)",
,"11:05:06","03:25","P","[3 : 3]   P   VK Brno (women)",
,"11:05:23","03:42","Pt Conf","Pt Conf   VK Brno (women)",
,"11:05:26","03:45","SRV","SRV   VK Brno (women)",
,"11:05:29","03:49","RS","RS   VK Brno (women)",
,"11:05:30","03:49","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:05:34","03:53","K","K   BKS Bielsko-Biala (women)",
,"11:05:34","03:53","P","[4 : 3]   P   BKS Bielsko-Biala (women)",
,"11:05:47","04:06","Pt Conf","Pt Conf   BKS Bielsko-Biala (women)",
,"11:05:49","04:08","SRV","SRV   BKS Bielsko-Biala (women)",
,"11:05:54","04:14","RS","RS   BKS Bielsko-Biala (women)",
,"11:05:55","04:14","B POSS","B POSS   VK Brno (women)",
,"11:06:03","04:23","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:06:04","04:23","B POSS","B POSS   VK Brno (women)",
,"11:06:11","04:31","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:06:12","04:31","B POSS","B POSS   VK Brno (women)",
,"11:06:14","04:33","K","K   VK Brno (women)",
,"11:06:14","04:33","P","[4 : 4]   P   VK Brno (women)",
,"11:06:31","04:50","Pt Conf","Pt Conf   VK Brno (women)",
,"11:06:33","04:52","SRV","SRV   VK Brno (women)",
,"11:06:36","04:56","RS","RS   VK Brno (women)",
,"11:06:37","04:56","B POSS","B POSS   BKS Bielsko-Biala (women)",
,"11:06:40","04:59","K","K   BKS Bielsko-Biala (women)",
,"11:06:40","04:59","P","[5 : 4]   P   BKS Bielsko-Biala (women)",
,"11:06:52","05:11","Pt Conf","Pt Conf   BKS Bielsko-Biala (women)",
,"11:06:55","05:14","SRV","SRV   BKS Bielsko-Biala (women)",
,"11:07:01","05:20","RS","RS   BKS Bielsko-Biala (women)",
,"11:07:02","05:21","B POSS","B POSS   VK Brno (women)",
