"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882662","Friendly","International South Aegean Volleyball Tournament","01.10.2017 - 09:00","PAOK Thessaloniki VC","OK NIS Vojvodina",
"Statistics","PAOK Thessaloniki VC","Type","OK NIS Vojvodina",
,"1","Score","3",
,"85","Points","93",
,"1","Sets","3",
,"8","Aces","9",
,"10","Service errors","16",
,"36","Kills","50",
,"13","Blocks","12",
,"5","Errors","8",
,"7","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:21:04","00:00","Players warming up","Players warming up",
,"08:21:17","00:00","Game conditions changed","Game conditions changed",
,"08:21:57","00:00","Jersey colours updated","Jersey colours updated",
,"08:21:57","00:00","Jersey colours updated","Jersey colours updated",
,"08:48:38","00:00","Coin flipping","Coin flipping",
,"08:49:09","00:00","Warm up at the net","Warm up at the net",
,"09:03:43","00:00","Players lined up","Players lined up",
,"09:04:36","00:00","Shake hands","Shake hands",
,"09:05:46","00:00","Players intro","Players intro",
,"09:07:16","00:00","Game about to start","Game about to start",
,"09:07:43","00:00","Start SRV","Start SRV   OK NIS Vojvodina",
,"09:08:03","00:00","Start 1st Set","Start 1st Set",
,"09:08:03","00:00","SRV","SRV   OK NIS Vojvodina",
,"09:08:10","00:06","RS","RS   OK NIS Vojvodina",
,"09:08:10","00:07","B POSS","B POSS   PAOK Thessaloniki VC",
,"09:08:17","00:13","B","B   OK NIS Vojvodina",
,"09:08:17","00:13","P","[0 : 1]   P   OK NIS Vojvodina",
,"09:08:27","00:23","Pt Conf","Pt Conf   OK NIS Vojvodina",
,"09:08:32","00:29","SRV","SRV   OK NIS Vojvodina",
,"09:08:32","00:29","RS","RS   OK NIS Vojvodina",
,"09:08:32","00:29","B POSS","B POSS   PAOK Thessaloniki VC",
,"09:08:33","00:30","B POSS","B POSS   OK NIS Vojvodina",
,"09:08:40","00:37","ERR","ERR   OK NIS Vojvodina",
,"09:08:40","00:37","P","[1 : 1]   P   PAOK Thessaloniki VC",
,"09:08:58","00:54","Pt Conf","Pt Conf   PAOK Thessaloniki VC",
,"09:08:58","00:55","SRV","SRV   PAOK Thessaloniki VC",
,"09:09:01","00:57","RS","RS   PAOK Thessaloniki VC",
,"09:09:01","00:58","B POSS","B POSS   OK NIS Vojvodina",
,"09:09:07","01:03","K","K   OK NIS Vojvodina",
,"09:09:07","01:03","P","[1 : 2]   P   OK NIS Vojvodina",
,"09:09:25","01:22","Pt Conf","Pt Conf   OK NIS Vojvodina",
,"09:09:26","01:23","SRV","SRV   OK NIS Vojvodina",
,"09:09:28","01:24","RS","RS   OK NIS Vojvodina",
,"09:09:28","01:25","B POSS","B POSS   PAOK Thessaloniki VC",
,"09:09:34","01:31","OUT","OUT   PAOK Thessaloniki VC",
,"09:09:34","01:31","P","[1 : 3]   P   OK NIS Vojvodina",
,"09:09:50","01:46","Pt Conf","Pt Conf   OK NIS Vojvodina",
,"09:09:51","01:47","SRV","SRV   OK NIS Vojvodina",
,"09:09:55","01:51","A","A   OK NIS Vojvodina",
,"09:09:55","01:51","P","[1 : 4]   P   OK NIS Vojvodina",
,"09:10:14","02:11","Pt Conf","Pt Conf   OK NIS Vojvodina",
,"09:10:15","02:11","SRV","SRV   OK NIS Vojvodina",
,"09:10:18","02:14","RS","RS   OK NIS Vojvodina",
,"09:10:18","02:14","B POSS","B POSS   PAOK Thessaloniki VC",
,"09:10:25","02:22","B","B   OK NIS Vojvodina",
,"09:10:25","02:22","P","[1 : 5]   P   OK NIS Vojvodina",
,"09:10:42","02:38","Pt Conf","Pt Conf   OK NIS Vojvodina",
,"09:10:43","02:39","SRV","SRV   OK NIS Vojvodina",
,"09:10:45","02:41","RS","RS   OK NIS Vojvodina",
,"09:10:45","02:41","B POSS","B POSS   PAOK Thessaloniki VC",
,"09:10:54","02:50","ERR","ERR   OK NIS Vojvodina",
