"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882787","Friendly","Torneo di Montichiari","01.10.2017 - 13:00","Volley Monza","Blu Volley Verona",
"Statistics","Volley Monza","Type","Blu Volley Verona",
,"0","Score","3",
,"63","Points","76",
,"0","Sets","3",
,"5","Aces","11",
,"11","Service errors","14",
,"31","Kills","43",
,"6","Blocks","4",
,"4","Errors","3",
,"3","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:18:49","00:00","Game conditions changed","Game conditions changed",
,"12:18:56","00:00","Players warming up","Players warming up",
,"12:20:02","00:00","Jersey colours updated","Jersey colours updated",
,"12:20:03","00:00","Jersey colours updated","Jersey colours updated",
,"12:39:54","00:00","Warm up at the net","Warm up at the net",
,"12:43:34","00:00","Coin flipping","Coin flipping",
,"12:55:18","00:00","Players lined up","Players lined up",
,"12:55:43","00:00","Prize giving ceremony","Prize giving ceremony",
,"12:56:26","00:00","Shake hands","Shake hands",
,"12:58:16","00:00","Players intro","Players intro",
,"12:59:29","00:00","Game about to start","Game about to start",
,"12:59:35","00:00","Start SRV","Start SRV   Volley Monza",
,"13:00:48","00:00","Start 1st Set","Start 1st Set",
,"13:00:48","00:00","SRV","SRV   Volley Monza",
,"13:00:51","00:03","RS","RS   Volley Monza",
,"13:00:53","00:05","B POSS","B POSS   Blu Volley Verona",
,"13:00:57","00:09","K","K   Blu Volley Verona",
,"13:00:57","00:09","P","[0 : 1]   P   Blu Volley Verona",
,"13:01:13","00:25","Pt Conf","Pt Conf   Blu Volley Verona",
,"13:01:19","00:31","SRV","SRV   Blu Volley Verona",
,"13:01:22","00:34","S ERR","S ERR   Blu Volley Verona",
,"13:01:22","00:34","P","[1 : 1]   P   Volley Monza",
,"13:01:34","00:46","Pt Conf","Pt Conf   Volley Monza",
,"13:01:37","00:49","SRV","SRV   Volley Monza",
,"13:01:40","00:52","RS","RS   Volley Monza",
,"13:01:40","00:52","B POSS","B POSS   Blu Volley Verona",
,"13:01:44","00:56","B POSS","B POSS   Volley Monza",
,"13:01:49","01:01","B POSS","B POSS   Blu Volley Verona",
,"13:01:53","01:05","B POSS","B POSS   Volley Monza",
,"13:01:58","01:10","K","K   Volley Monza",
,"13:01:58","01:10","P","[2 : 1]   P   Volley Monza",
,"13:02:11","01:23","Pt Conf","Pt Conf   Volley Monza",
,"13:02:13","01:25","SRV","SRV   Volley Monza",
,"13:02:14","01:26","RS","RS   Volley Monza",
,"13:02:15","01:27","B POSS","B POSS   Blu Volley Verona",
,"13:02:17","01:29","K","K   Blu Volley Verona",
,"13:02:17","01:29","P","[2 : 2]   P   Blu Volley Verona",
,"13:02:32","01:44","Pt Conf","Pt Conf   Blu Volley Verona",
,"13:02:35","01:47","SRV","SRV   Blu Volley Verona",
,"13:02:38","01:50","S ERR","S ERR   Blu Volley Verona",
,"13:02:38","01:50","P","[3 : 2]   P   Volley Monza",
,"13:02:49","02:01","Pt Conf","Pt Conf   Volley Monza",
,"13:02:53","02:05","SRV","SRV   Volley Monza",
,"13:02:56","02:08","RS","RS   Volley Monza",
,"13:02:56","02:08","B POSS","B POSS   Blu Volley Verona",
,"13:03:03","02:15","K","K   Blu Volley Verona",
,"13:03:03","02:15","P","[3 : 3]   P   Blu Volley Verona",
,"13:03:16","02:28","Pt Conf","Pt Conf   Blu Volley Verona",
,"13:03:21","02:33","SRV","SRV   Blu Volley Verona",
,"13:03:26","02:38","RS","RS   Blu Volley Verona",
,"13:03:27","02:39","B POSS","B POSS   Volley Monza",
,"13:03:29","02:40","B POSS","B POSS   Blu Volley Verona",
,"13:03:35","02:47","K","K   Blu Volley Verona",
,"13:03:35","02:47","P","[3 : 4]   P   Blu Volley Verona",
,"13:03:48","03:00","Pt Conf","Pt Conf   Blu Volley Verona",
,"13:03:53","03:05","SRV","SRV   Blu Volley Verona",
,"13:03:56","03:08","RS","RS   Blu Volley Verona",
,"13:03:56","03:08","B POSS","B POSS   Volley Monza",
,"13:04:00","03:12","K","K   Volley Monza",
,"13:04:00","03:12","P","[4 : 4]   P   Volley Monza",
,"13:04:13","03:25","Pt Conf","Pt Conf   Volley Monza",
,"13:04:17","03:29","SRV","SRV   Volley Monza",
,"13:04:21","03:33","S ERR","S ERR   Volley Monza",
,"13:04:21","03:33","P","[4 : 5]   P   Blu Volley Verona",
,"13:04:33","03:45","Pt Conf","Pt Conf   Blu Volley Verona",
,"13:04:37","03:49","SRV","SRV   Blu Volley Verona",
,"13:04:39","03:51","RS","RS   Blu Volley Verona",
,"13:04:40","03:52","B POSS","B POSS   Volley Monza",
,"13:04:46","03:58","K","K   Volley Monza",
,"13:04:46","03:58","P","[5 : 5]   P   Volley Monza",
,"13:04:58","04:10","Pt Conf","Pt Conf   Volley Monza",
,"13:05:00","04:12","SRV","SRV   Volley Monza",
,"13:05:03","04:15","RS","RS   Volley Monza",
,"13:05:03","04:15","B POSS","B POSS   Blu Volley Verona",
,"13:05:09","04:21","K","K   Blu Volley Verona",
,"13:05:09","04:21","P","[5 : 6]   P   Blu Volley Verona",
,"13:05:23","04:35","Pt Conf","Pt Conf   Blu Volley Verona",
,"13:05:26","04:38","SRV","SRV   Blu Volley Verona",
,"13:05:29","04:41","RS","RS   Blu Volley Verona",
