"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882788","Friendly","Torneo di Montichiari","01.10.2017 - 15:30","Volley Milano","Volley Ravenna",
"Statistics","Volley Milano","Type","Volley Ravenna",
,"0","Score","3",
,"63","Points","75",
,"0","Sets","3",
,"3","Aces","4",
,"11","Service errors","13",
,"34","Kills","43",
,"5","Blocks","7",
,"2","Errors","1",
,"8","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:28:29","00:00","Game conditions changed","Game conditions changed",
,"14:56:42","00:00","Players warming up","Players warming up",
,"15:08:16","00:00","Jersey colours updated","Jersey colours updated",
,"15:08:18","00:00","Jersey colours updated","Jersey colours updated",
,"15:11:50","00:00","Warm up at the net","Warm up at the net",
,"15:11:56","00:00","Game conditions changed","Game conditions changed",
,"15:14:12","00:00","Coin flipping","Coin flipping",
,"15:25:40","00:00","Players lined up","Players lined up",
,"15:26:04","00:00","Prize giving ceremony","Prize giving ceremony",
,"15:26:17","00:00","Shake hands","Shake hands",
,"15:27:39","00:00","Players intro","Players intro",
,"15:29:17","00:00","Game about to start","Game about to start",
,"15:29:33","00:00","Start SRV","Start SRV   Volley Milano",
,"15:30:03","00:00","Start 1st Set","Start 1st Set",
,"15:30:04","00:00","SRV","SRV   Volley Milano",
,"15:30:05","00:01","RS","RS   Volley Milano",
,"15:30:05","00:02","B POSS","B POSS   Volley Ravenna",
,"15:30:10","00:07","K","K   Volley Ravenna",
,"15:30:10","00:07","P","[0 : 1]   P   Volley Ravenna",
,"15:30:31","00:28","Pt Conf","Pt Conf   Volley Ravenna",
,"15:30:34","00:30","SRV","SRV   Volley Ravenna",
,"15:30:37","00:34","RS","RS   Volley Ravenna",
,"15:30:38","00:35","B POSS","B POSS   Volley Milano",
,"15:30:43","00:40","OUT","OUT   Volley Milano",
,"15:30:43","00:40","P","[0 : 2]   P   Volley Ravenna",
,"15:30:54","00:51","Pt Conf","Pt Conf   Volley Ravenna",
,"15:31:00","00:56","SRV","SRV   Volley Ravenna",
,"15:31:02","00:59","RS","RS   Volley Ravenna",
,"15:31:03","01:00","B POSS","B POSS   Volley Milano",
,"15:31:09","01:06","OUT","OUT   Volley Milano",
,"15:31:09","01:06","P","[0 : 3]   P   Volley Ravenna",
,"15:31:22","01:19","Pt Conf","Pt Conf   Volley Ravenna",
,"15:31:27","01:23","SRV","SRV   Volley Ravenna",
,"15:31:29","01:26","RS","RS   Volley Ravenna",
,"15:31:30","01:27","B POSS","B POSS   Volley Milano",
,"15:31:32","01:29","B POSS","B POSS   Volley Ravenna",
,"15:31:42","01:39","B","B   Volley Milano",
,"15:31:42","01:39","P","[1 : 3]   P   Volley Milano",
,"15:31:52","01:48","Pt Conf","Pt Conf   Volley Milano",
,"15:31:56","01:53","SRV","SRV   Volley Milano",
,"15:31:59","01:56","RS","RS   Volley Milano",
,"15:32:00","01:56","B POSS","B POSS   Volley Ravenna",
