"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"881556","Italy","Serie A2 (men)","01.10.2017 - 14:00","Volley Potentino","Lupi Santa Croce SSD",
"Statistics","Volley Potentino","Type","Lupi Santa Croce SSD",
,"3","Score","2",
,"110","Points","108",
,"3","Sets","2",
,"7","Aces","5",
,"16","Service errors","18",
,"56","Kills","62",
,"11","Blocks","9",
,"8","Errors","10",
,"8","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:11:46","00:00","Game conditions changed","Game conditions changed",
,"13:11:49","00:00","Players warming up","Players warming up",
,"13:42:00","00:00","Warm up at the net","Warm up at the net",
,"13:44:09","00:00","Jersey colours updated","Jersey colours updated",
,"13:44:10","00:00","Jersey colours updated","Jersey colours updated",
,"13:44:18","00:00","Game conditions changed","Game conditions changed",
,"13:55:33","00:00","Players lined up","Players lined up",
,"13:56:10","00:00","Jersey colours updated","Jersey colours updated",
,"13:56:52","00:00","Shake hands","Shake hands",
,"13:57:46","00:00","Players intro","Players intro",
,"13:59:53","00:00","Game about to start","Game about to start",
,"14:00:31","00:00","Start SRV","Start SRV   Lupi Santa Croce SSD",
,"14:01:17","00:00","Start 1st Set","Start 1st Set",
,"14:01:18","00:00","SRV","SRV   Lupi Santa Croce SSD",
,"14:01:22","00:04","RS","RS   Lupi Santa Croce SSD",
,"14:01:22","00:04","B POSS","B POSS   Volley Potentino",
,"14:01:24","00:06","K","K   Volley Potentino",
,"14:01:24","00:06","P","[1 : 0]   P   Volley Potentino",
,"14:01:41","00:23","Pt Conf","Pt Conf   Volley Potentino",
,"14:01:42","00:24","SRV","SRV   Volley Potentino",
,"14:01:44","00:27","RS","RS   Volley Potentino",
,"14:01:45","00:27","B POSS","B POSS   Lupi Santa Croce SSD",
,"14:01:48","00:30","K","K   Lupi Santa Croce SSD",
,"14:01:48","00:30","P","[1 : 1]   P   Lupi Santa Croce SSD",
,"14:02:04","00:46","Pt Conf","Pt Conf   Lupi Santa Croce SSD",
,"14:02:05","00:47","SRV","SRV   Lupi Santa Croce SSD",
,"14:02:09","00:52","S ERR","S ERR   Lupi Santa Croce SSD",
,"14:02:09","00:52","P","[2 : 1]   P   Volley Potentino",
,"14:02:26","01:08","Pt Conf","Pt Conf   Volley Potentino",
,"14:02:26","01:09","SRV","SRV   Volley Potentino",
,"14:02:28","01:10","RS","RS   Volley Potentino",
