"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882816","Netherlands","Supercup (men)","01.10.2017 - 11:45","Lycurgus Groningen","Orion Doetinchem",
"Statistics","Lycurgus Groningen","Type","Orion Doetinchem",
,"3","Score","1",
,"95","Points","87",
,"3","Sets","1",
,"7","Aces","4",
,"14","Service errors","16",
,"53","Kills","52",
,"6","Blocks","5",
,"7","Errors","6",
,"5","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:17:33","00:00","Game conditions changed","Game conditions changed",
,"11:17:34","00:00","Players warming up","Players warming up",
,"11:26:15","00:00","Jersey colours updated","Jersey colours updated",
,"11:26:15","00:00","Jersey colours updated","Jersey colours updated",
,"11:26:17","00:00","Coin flipping","Coin flipping",
,"11:27:45","00:00","Warm up at the net","Warm up at the net",
,"11:41:04","00:00","Players lined up","Players lined up",
,"11:41:08","00:00","Shake hands","Shake hands",
,"11:41:41","00:00","Players intro","Players intro",
,"11:44:14","00:00","Game about to start","Game about to start",
,"11:44:32","00:00","Start SRV","Start SRV   Orion Doetinchem",
,"11:44:42","00:00","Start 1st Set","Start 1st Set",
,"11:44:42","00:00","SRV","SRV   Orion Doetinchem",
,"11:44:45","00:03","RS","RS   Orion Doetinchem",
,"11:44:46","00:04","B POSS","B POSS   Lycurgus Groningen",
,"11:44:49","00:06","B POSS","B POSS   Orion Doetinchem",
,"11:44:53","00:11","B POSS","B POSS   Lycurgus Groningen",
,"11:44:57","00:14","K","K   Lycurgus Groningen",
,"11:44:57","00:14","P","[1 : 0]   P   Lycurgus Groningen",
,"11:45:14","00:32","Pt Conf","Pt Conf   Lycurgus Groningen",
,"11:45:16","00:33","SRV","SRV   Lycurgus Groningen",
,"11:45:19","00:36","RS","RS   Lycurgus Groningen",
,"11:45:19","00:37","B POSS","B POSS   Orion Doetinchem",
,"11:45:26","00:44","K","K   Orion Doetinchem",
,"11:45:26","00:44","P","[1 : 1]   P   Orion Doetinchem",
,"11:45:50","01:07","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:45:50","01:08","SRV","SRV   Orion Doetinchem",
,"11:45:54","01:12","RS","RS   Orion Doetinchem",
,"11:45:54","01:12","B POSS","B POSS   Lycurgus Groningen",
,"11:45:56","01:14","B POSS","B POSS   Orion Doetinchem",
,"11:46:01","01:19","B POSS","B POSS   Lycurgus Groningen",
,"11:46:06","01:23","K","K   Lycurgus Groningen",
,"11:46:06","01:23","P","[2 : 1]   P   Lycurgus Groningen",
,"11:46:24","01:42","Pt Conf","Pt Conf   Lycurgus Groningen",
,"11:46:25","01:43","SRV","SRV   Lycurgus Groningen",
,"11:46:26","01:44","RS","RS   Lycurgus Groningen",
,"11:46:27","01:45","B POSS","B POSS   Orion Doetinchem",
,"11:46:34","01:51","K","K   Orion Doetinchem",
,"11:46:34","01:51","P","[2 : 2]   P   Orion Doetinchem",
,"11:46:54","02:12","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:46:55","02:13","SRV","SRV   Orion Doetinchem",
,"11:46:58","02:15","A","A   Orion Doetinchem",
,"11:46:58","02:15","P","[2 : 3]   P   Orion Doetinchem",
,"11:47:16","02:33","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:47:17","02:34","SRV","SRV   Orion Doetinchem",
,"11:47:19","02:37","RS","RS   Orion Doetinchem",
,"11:47:20","02:38","B POSS","B POSS   Lycurgus Groningen",
,"11:47:25","02:43","K","K   Lycurgus Groningen",
,"11:47:25","02:43","P","[3 : 3]   P   Lycurgus Groningen",
,"11:47:45","03:03","Pt Conf","Pt Conf   Lycurgus Groningen",
,"11:47:46","03:04","SRV","SRV   Lycurgus Groningen",
,"11:47:48","03:06","A","A   Lycurgus Groningen",
,"11:47:48","03:06","P","[4 : 3]   P   Lycurgus Groningen",
,"11:48:03","03:21","Pt Conf","Pt Conf   Lycurgus Groningen",
,"11:48:04","03:22","SRV","SRV   Lycurgus Groningen",
,"11:48:05","03:23","S ERR","S ERR   Lycurgus Groningen",
,"11:48:05","03:23","P","[4 : 4]   P   Orion Doetinchem",
,"11:48:25","03:43","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:48:26","03:44","SRV","SRV   Orion Doetinchem",
,"11:48:31","03:48","RS","RS   Orion Doetinchem",
,"11:48:32","03:50","B POSS","B POSS   Lycurgus Groningen",
,"11:48:34","03:51","K","K   Lycurgus Groningen",
,"11:48:34","03:51","P","[5 : 4]   P   Lycurgus Groningen",
,"11:48:52","04:10","Pt Conf","Pt Conf   Lycurgus Groningen",
,"11:48:53","04:11","SRV","SRV   Lycurgus Groningen",
,"11:48:55","04:13","RS","RS   Lycurgus Groningen",
,"11:48:56","04:14","B POSS","B POSS   Orion Doetinchem",
,"11:49:00","04:17","B POSS","B POSS   Lycurgus Groningen",
,"11:49:03","04:21","B POSS","B POSS   Orion Doetinchem",
,"11:49:06","04:24","K","K   Orion Doetinchem",
,"11:49:06","04:24","P","[5 : 5]   P   Orion Doetinchem",
,"11:49:27","04:45","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:49:28","04:46","SRV","SRV   Orion Doetinchem",
,"11:49:32","04:50","RS","RS   Orion Doetinchem",
,"11:49:34","04:52","B POSS","B POSS   Lycurgus Groningen",
,"11:49:36","04:53","K","K   Lycurgus Groningen",
,"11:49:36","04:53","P","[6 : 5]   P   Lycurgus Groningen",
,"11:49:52","05:09","Pt Conf","Pt Conf   Lycurgus Groningen",
,"11:49:55","05:13","SRV","SRV   Lycurgus Groningen",
,"11:49:57","05:15","RS","RS   Lycurgus Groningen",
,"11:49:58","05:16","B POSS","B POSS   Orion Doetinchem",
,"11:50:01","05:19","B POSS","B POSS   Lycurgus Groningen",
,"11:50:05","05:23","B POSS","B POSS   Orion Doetinchem",
,"11:50:09","05:26","K","K   Orion Doetinchem",
,"11:50:09","05:26","P","[6 : 6]   P   Orion Doetinchem",
,"11:50:24","05:42","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:50:25","05:43","SRV","SRV   Orion Doetinchem",
,"11:50:28","05:45","RS","RS   Orion Doetinchem",
,"11:50:28","05:46","B POSS","B POSS   Lycurgus Groningen",
,"11:50:29","05:47","K","K   Orion Doetinchem",
,"11:50:29","05:47","P","[6 : 7]   P   Orion Doetinchem",
,"11:50:45","06:03","Pt Conf","Pt Conf   Orion Doetinchem",
,"11:50:45","06:03","SRV","SRV   Orion Doetinchem",
