"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880286","North/Central America","NORCECA North American Championship","01.10.2017 - 01:00","Canada","USA",
"Statistics","Canada","Type","USA",
,"0","Score","3",
,"63","Points","75",
,"0","Sets","3",
,"0","Aces","6",
,"13","Service errors","22",
,"33","Kills","36",
,"3","Blocks","6",
,"5","Errors","1",
,"8","Outs","4",
,"0","Penalty Points","1",
,"0","Points (unknown method)","0",
,"1","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"00:49:25","00:00","Game conditions changed","Game conditions changed",
,"00:50:32","00:00","Players warming up","Players warming up",
,"00:55:34","00:00","Jersey colours updated","Jersey colours updated",
,"00:55:34","00:00","Jersey colours updated","Jersey colours updated",
,"00:59:58","00:00","Players lined up","Players lined up",
,"01:00:17","00:00","National anthem singing","National anthem singing",
,"01:03:17","00:00","Shake hands","Shake hands",
,"01:12:04","00:00","Warm up at the net","Warm up at the net",
,"01:23:05","00:00","Players intro","Players intro",
,"01:24:29","00:00","Game about to start","Game about to start",
,"01:25:21","00:00","Start SRV","Start SRV   Canada",
,"01:25:29","00:00","Start 1st Set","Start 1st Set",
,"01:25:29","00:00","SRV","SRV   Canada",
,"01:25:33","00:03","RS","RS   Canada",
,"01:25:33","00:04","B POSS","B POSS   USA",
,"01:25:37","00:08","K","K   USA",
,"01:25:37","00:08","P","[0 : 1]   P   USA",
,"01:25:53","00:23","Pt Conf","Pt Conf   USA",
,"01:25:58","00:29","SRV","SRV   USA",
,"01:26:00","00:31","S ERR","S ERR   USA",
,"01:26:00","00:31","P","[1 : 1]   P   Canada",
,"01:26:15","00:46","Pt Conf","Pt Conf   Canada",
,"01:26:19","00:50","SRV","SRV   Canada",
,"01:26:22","00:52","RS","RS   Canada",
,"01:26:22","00:53","B POSS","B POSS   USA",
,"01:26:26","00:56","K","K   USA",
,"01:26:26","00:56","P","[1 : 2]   P   USA",
,"01:26:43","01:14","Pt Conf","Pt Conf   USA",
,"01:26:50","01:20","SRV","SRV   USA",
,"01:26:53","01:24","RS","RS   USA",
,"01:26:54","01:24","B POSS","B POSS   Canada",
,"01:27:00","01:31","B POSS","B POSS   USA",
,"01:27:05","01:36","K","K   USA",
,"01:27:05","01:36","P","[1 : 3]   P   USA",
,"01:27:26","01:57","Pt Conf","Pt Conf   USA",
,"01:27:30","02:01","SRV","SRV   USA",
,"01:27:34","02:05","S ERR","S ERR   USA",
,"01:27:34","02:05","P","[2 : 3]   P   Canada",
,"01:27:48","02:18","Pt Conf","Pt Conf   Canada",
,"01:27:53","02:23","SRV","SRV   Canada",
,"01:27:55","02:25","RS","RS   Canada",
,"01:27:55","02:26","B POSS","B POSS   USA",
,"01:27:59","02:30","K","K   USA",
,"01:27:59","02:30","P","[2 : 4]   P   USA",
,"01:28:16","02:46","Pt Conf","Pt Conf   USA",
,"01:28:21","02:52","SRV","SRV   USA",
,"01:28:24","02:55","S ERR","S ERR   USA",
,"01:28:24","02:55","P","[3 : 4]   P   Canada",
,"01:28:37","03:08","Pt Conf","Pt Conf   Canada",
,"01:28:43","03:14","SRV","SRV   Canada",
,"01:28:46","03:16","RS","RS   Canada",
,"01:28:46","03:17","B POSS","B POSS   USA",
,"01:28:52","03:22","OUT","OUT   USA",
,"01:28:52","03:22","P","[4 : 4]   P   Canada",
,"01:29:01","03:32","Pt Conf","Pt Conf   Canada",
,"01:29:07","03:38","SRV","SRV   Canada",
,"01:29:09","03:40","RS","RS   Canada",
,"01:29:10","03:40","B POSS","B POSS   USA",
,"01:29:14","03:45","B","B   Canada",
,"01:29:14","03:45","P","[5 : 4]   P   Canada",
,"01:29:26","03:57","Pt Conf","Pt Conf   Canada",
,"01:29:34","04:05","SRV","SRV   Canada",
,"01:29:37","04:07","S ERR","S ERR   Canada",
,"01:29:37","04:07","P","[5 : 5]   P   USA",
,"01:29:50","04:21","Pt Conf","Pt Conf   USA",
,"01:29:57","04:28","SRV","SRV   USA",
,"01:30:00","04:31","RS","RS   USA",
,"01:30:00","04:31","B POSS","B POSS   Canada",
,"01:30:03","04:34","B POSS","B POSS   USA",
,"01:30:05","04:35","B POSS","B POSS   Canada",
