"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880289","North/Central America","NORCECA North American Championship","01.10.2017 - 23:00","Dominican Republic","USA",
"Statistics","Dominican Republic","Type","USA",
,"0","Score","3",
,"39","Points","75",
,"0","Sets","3",
,"1","Aces","11",
,"14","Service errors","16",
,"18","Kills","31",
,"1","Blocks","11",
,"5","Errors","1",
,"3","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:53:52","00:00","Players warming up","Players warming up",
,"22:53:59","00:00","Game conditions changed","Game conditions changed",
,"22:58:27","00:00","Jersey colours updated","Jersey colours updated",
,"22:58:28","00:00","Jersey colours updated","Jersey colours updated",
,"23:04:33","00:00","Players lined up","Players lined up",
,"23:04:56","00:00","National anthem singing","National anthem singing",
,"23:08:01","00:00","Shake hands","Shake hands",
,"23:18:03","00:00","Warm up at the net","Warm up at the net",
,"23:29:47","00:00","Players intro","Players intro",
,"23:31:13","00:00","Game about to start","Game about to start",
,"23:31:51","00:00","Start SRV","Start SRV   USA",
,"23:31:59","00:00","Start 1st Set","Start 1st Set",
,"23:31:59","00:00","SRV","SRV   USA",
,"23:32:10","00:10","A","A   USA",
,"23:32:10","00:10","P","[0 : 1]   P   USA",
,"23:32:23","00:23","Pt Conf","Pt Conf   USA",
,"23:32:28","00:29","SRV","SRV   USA",
,"23:32:31","00:32","S ERR","S ERR   USA",
,"23:32:31","00:32","P","[1 : 1]   P   Dominican Republic",
,"23:32:43","00:43","Pt Conf","Pt Conf   Dominican Republic",
,"23:32:46","00:47","SRV","SRV   Dominican Republic",
,"23:32:48","00:49","S ERR","S ERR   Dominican Republic",
,"23:32:48","00:49","P","[1 : 2]   P   USA",
,"23:33:05","01:06","Pt Conf","Pt Conf   USA",
,"23:33:11","01:11","SRV","SRV   USA",
,"23:33:14","01:14","S ERR","S ERR   USA",
,"23:33:14","01:14","P","[2 : 2]   P   Dominican Republic",
,"23:33:29","01:30","Pt Conf","Pt Conf   Dominican Republic",
,"23:33:32","01:33","SRV","SRV   Dominican Republic",
,"23:33:35","01:35","RS","RS   Dominican Republic",
,"23:33:35","01:36","B POSS","B POSS   USA",
,"23:33:37","01:38","B POSS","B POSS   Dominican Republic",
,"23:33:40","01:41","B POSS","B POSS   USA",
,"23:33:47","01:47","B POSS","B POSS   Dominican Republic",
,"23:33:51","01:52","B POSS","B POSS   USA",
,"23:33:54","01:55","K","K   USA",
,"23:33:54","01:55","P","[2 : 3]   P   USA",
,"23:34:11","02:12","Pt Conf","Pt Conf   USA",
,"23:34:18","02:18","SRV","SRV   USA",
,"23:34:20","02:21","RS","RS   USA",
,"23:34:21","02:21","B POSS","B POSS   Dominican Republic",
,"23:34:24","02:25","K","K   Dominican Republic",
,"23:34:24","02:25","P","[3 : 3]   P   Dominican Republic",
,"23:34:37","02:37","Pt Conf","Pt Conf   Dominican Republic",
,"23:34:42","02:43","SRV","SRV   Dominican Republic",
,"23:34:45","02:46","RS","RS   Dominican Republic",
,"23:34:46","02:46","B POSS","B POSS   USA",
,"23:34:50","02:50","K","K   USA",
,"23:34:50","02:50","P","[3 : 4]   P   USA",
,"23:35:05","03:06","Pt Conf","Pt Conf   USA",
,"23:35:12","03:12","SRV","SRV   USA",
,"23:35:14","03:15","RS","RS   USA",
,"23:35:15","03:15","B POSS","B POSS   Dominican Republic",
,"23:35:20","03:21","K","K   Dominican Republic",
,"23:35:20","03:21","P","[4 : 4]   P   Dominican Republic",
,"23:35:35","03:36","Pt Conf","Pt Conf   Dominican Republic",
,"23:35:42","03:43","SRV","SRV   Dominican Republic",
,"23:35:44","03:45","S ERR","S ERR   Dominican Republic",
,"23:35:44","03:45","P","[4 : 5]   P   USA",
,"23:36:01","04:01","Pt Conf","Pt Conf   USA",
,"23:36:05","04:06","SRV","SRV   USA",
,"23:36:08","04:09","RS","RS   USA",
,"23:36:08","04:09","B POSS","B POSS   Dominican Republic",
,"23:36:09","04:10","B POSS","B POSS   USA",
,"23:36:16","04:17","ERR","ERR   Dominican Republic",
,"23:36:16","04:17","P","[4 : 6]   P   USA",
,"23:36:31","04:32","Pt Conf","Pt Conf   USA",
,"23:36:36","04:37","SRV","SRV   USA",
,"23:36:38","04:39","S ERR","S ERR   USA",
,"23:36:38","04:39","P","[5 : 6]   P   Dominican Republic",
,"23:36:54","04:55","Pt Conf","Pt Conf   Dominican Republic",
,"23:36:58","04:58","SRV","SRV   Dominican Republic",
,"23:36:59","05:00","S ERR","S ERR   Dominican Republic",
,"23:36:59","05:00","P","[5 : 7]   P   USA",
,"23:37:14","05:15","Pt Conf","Pt Conf   USA",
,"23:37:18","05:19","SRV","SRV   USA",
,"23:37:21","05:22","RS","RS   USA",
,"23:37:21","05:22","B POSS","B POSS   Dominican Republic",
,"23:37:25","05:25","B","B   USA",
,"23:37:25","05:25","P","[5 : 8]   P   USA",
,"23:37:30","05:31","Pt Conf","Pt Conf   USA",
,"23:37:31","05:31","TIME","TIME",
,"23:37:31","05:32","TTO","TTO",
,"23:38:47","06:48","SRV","SRV   USA",
,"23:38:49","06:49","S ERR","S ERR   USA",
,"23:38:49","06:49","P","[6 : 8]   P   Dominican Republic",
,"23:39:00","07:00","Pt Conf","Pt Conf   Dominican Republic",
,"23:39:05","07:05","SRV","SRV   Dominican Republic",
,"23:39:06","07:07","RS","RS   Dominican Republic",
,"23:39:07","07:07","B POSS","B POSS   USA",
,"23:39:10","07:10","K","K   USA",
,"23:39:10","07:10","P","[6 : 9]   P   USA",
,"23:39:28","07:28","Pt Conf","Pt Conf   USA",
,"23:39:34","07:35","SRV","SRV   USA",
,"23:39:38","07:39","RS","RS   USA",
,"23:39:38","07:39","B POSS","B POSS   Dominican Republic",
,"23:39:41","07:42","B POSS","B POSS   USA",
,"23:39:45","07:46","K","K   USA",
,"23:39:45","07:46","P","[6 : 10]   P   USA",
,"23:40:02","08:02","Pt Conf","Pt Conf   USA",
,"23:40:09","08:10","SRV","SRV   USA",
,"23:40:12","08:13","RS","RS   USA",
,"23:40:12","08:13","B POSS","B POSS   Dominican Republic",
,"23:40:16","08:16","B POSS","B POSS   USA",
,"23:40:20","08:21","B","B   Dominican Republic",
,"23:40:20","08:21","P","[7 : 10]   P   Dominican Republic",
,"23:40:33","08:34","Pt Conf","Pt Conf   Dominican Republic",
,"23:40:36","08:36","SRV","SRV   Dominican Republic",
,"23:40:38","08:38","RS","RS   Dominican Republic",
,"23:40:38","08:39","B POSS","B POSS   USA",
,"23:40:42","08:42","K","K   USA",
,"23:40:42","08:42","P","[7 : 11]   P   USA",
,"23:40:59","09:00","Pt Conf","Pt Conf   USA",
,"23:41:06","09:06","SRV","SRV   USA",
,"23:41:09","09:10","RS","RS   USA",
,"23:41:09","09:10","B POSS","B POSS   Dominican Republic",
,"23:41:16","09:17","K","K   Dominican Republic",
,"23:41:16","09:17","P","[8 : 11]   P   Dominican Republic",
