"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879461","Poland","Polska Liga (men)","01.10.2017 - 13:00","Luczniczka Bydgoszcz","AZS Politechnika Warszawska",
"Statistics","Luczniczka Bydgoszcz","Type","AZS Politechnika Warszawska",
,"0","Score","3",
,"58","Points","75",
,"0","Sets","3",
,"2","Aces","2",
,"13","Service errors","14",
,"31","Kills","40",
,"8","Blocks","8",
,"8","Errors","1",
,"4","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:10:01","00:00","Game conditions changed","Game conditions changed",
,"12:10:36","00:00","Players warming up","Players warming up",
,"12:37:56","00:00","Jersey colours updated","Jersey colours updated",
,"12:37:56","00:00","Jersey colours updated","Jersey colours updated",
,"12:44:41","00:00","Coin flipping","Coin flipping",
,"12:45:03","00:00","Warm up at the net","Warm up at the net",
,"12:58:27","00:00","Players lined up","Players lined up",
,"12:58:56","00:00","Shake hands","Shake hands",
,"13:01:09","00:00","Players intro","Players intro",
,"13:02:14","00:00","Game about to start","Game about to start",
,"13:02:40","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"13:02:54","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"13:03:14","00:00","Start 1st Set","Start 1st Set",
,"13:03:15","00:00","SRV","SRV   AZS Politechnika Warszawska",
,"13:03:17","00:03","RS","RS   AZS Politechnika Warszawska",
,"13:03:18","00:03","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:03:22","00:07","B","B   Luczniczka Bydgoszcz",
,"13:03:22","00:07","P","[1 : 0]   P   Luczniczka Bydgoszcz",
,"13:03:38","00:23","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"13:03:42","00:27","SRV","SRV   Luczniczka Bydgoszcz",
,"13:03:44","00:30","RS","RS   Luczniczka Bydgoszcz",
,"13:03:45","00:30","B POSS","B POSS   AZS Politechnika Warszawska",
,"13:03:49","00:35","K","K   AZS Politechnika Warszawska",
,"13:03:49","00:35","P","[1 : 1]   P   AZS Politechnika Warszawska",
,"13:04:04","00:49","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"13:04:10","00:55","SRV","SRV   AZS Politechnika Warszawska",
,"13:04:12","00:57","RS","RS   AZS Politechnika Warszawska",
,"13:04:12","00:58","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:04:17","01:03","ERR","ERR   Luczniczka Bydgoszcz",
,"13:04:17","01:03","P","[1 : 2]   P   AZS Politechnika Warszawska",
,"13:04:33","01:19","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"13:04:37","01:22","SRV","SRV   AZS Politechnika Warszawska",
,"13:04:41","01:27","RS","RS   AZS Politechnika Warszawska",
,"13:04:42","01:27","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:04:53","01:39","B POSS","B POSS   AZS Politechnika Warszawska",
,"13:04:57","01:42","B","B   Luczniczka Bydgoszcz",
,"13:04:57","01:42","P","[2 : 2]   P   Luczniczka Bydgoszcz",
,"13:05:17","02:03","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"13:05:23","02:08","SRV","SRV   Luczniczka Bydgoszcz",
,"13:05:26","02:11","RS","RS   Luczniczka Bydgoszcz",
,"13:05:26","02:12","B POSS","B POSS   AZS Politechnika Warszawska",
,"13:05:31","02:16","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:05:38","02:24","B POSS","B POSS   AZS Politechnika Warszawska",
,"13:05:39","02:25","K","K   AZS Politechnika Warszawska",
,"13:05:39","02:25","P","[2 : 3]   P   AZS Politechnika Warszawska",
,"13:05:54","02:39","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"13:05:57","02:42","SRV","SRV   AZS Politechnika Warszawska",
,"13:06:00","02:46","A","A   AZS Politechnika Warszawska",
,"13:06:00","02:46","P","[2 : 4]   P   AZS Politechnika Warszawska",
,"13:06:26","03:11","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"13:06:29","03:14","SRV","SRV   AZS Politechnika Warszawska",
,"13:06:32","03:17","RS","RS   AZS Politechnika Warszawska",
,"13:06:32","03:18","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:06:34","03:20","K","K   AZS Politechnika Warszawska",
,"13:06:34","03:20","P","[2 : 5]   P   AZS Politechnika Warszawska",
,"13:06:48","03:33","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"13:06:53","03:38","SRV","SRV   AZS Politechnika Warszawska",
,"13:06:55","03:41","RS","RS   AZS Politechnika Warszawska",
,"13:06:56","03:41","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:07:00","03:46","OUT","OUT   Luczniczka Bydgoszcz",
,"13:07:00","03:46","P","[2 : 6]   P   AZS Politechnika Warszawska",
,"13:07:08","03:53","Point under investigation","Point under investigation",
,"13:07:52","04:37","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"13:07:54","04:39","TIME","TIME",
,"13:07:55","04:40","TIME","TIME   Luczniczka Bydgoszcz",
,"13:08:45","05:30","SRV","SRV   AZS Politechnika Warszawska",
,"13:08:47","05:32","RS","RS   AZS Politechnika Warszawska",
,"13:08:48","05:33","B POSS","B POSS   Luczniczka Bydgoszcz",
,"13:08:51","05:36","B POSS","B POSS   AZS Politechnika Warszawska",
,"13:08:54","05:40","K","K   AZS Politechnika Warszawska",
,"13:08:54","05:40","P","[2 : 7]   P   AZS Politechnika Warszawska",
,"13:09:10","05:56","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
