"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879460","Poland","Polska Liga (men)","01.10.2017 - 18:00","KS Warta Zawiercie","ZAKSA Kedzierzyn-Kozle",
"Statistics","KS Warta Zawiercie","Type","ZAKSA Kedzierzyn-Kozle",
,"1","Score","3",
,"87","Points","94",
,"1","Sets","3",
,"3","Aces","5",
,"15","Service errors","16",
,"47","Kills","54",
,"6","Blocks","9",
,"5","Errors","8",
,"6","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:00:19","00:00","Warm up at the net","Warm up at the net",
,"18:03:00","00:00","Jersey colours updated","Jersey colours updated",
,"18:03:00","00:00","Jersey colours updated","Jersey colours updated",
,"18:03:01","00:00","Game conditions changed","Game conditions changed",
,"18:04:13","00:00","Jersey colours updated","Jersey colours updated",
,"18:04:13","00:00","Jersey colours updated","Jersey colours updated",
,"18:04:23","00:00","Players lined up","Players lined up",
,"18:04:32","00:00","Shake hands","Shake hands",
,"18:06:13","00:00","Players intro","Players intro",
,"18:07:25","00:00","Game about to start","Game about to start",
,"18:07:54","00:00","Start SRV","Start SRV   KS Warta Zawiercie",
,"18:07:58","00:00","Start 1st Set","Start 1st Set",
,"18:07:59","00:00","SRV","SRV   KS Warta Zawiercie",
,"18:08:01","00:02","RS","RS   KS Warta Zawiercie",
,"18:08:01","00:03","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:08:08","00:09","K","K   KS Warta Zawiercie",
,"18:08:08","00:09","P","[1 : 0]   P   KS Warta Zawiercie",
,"18:08:21","00:22","Correct statistics","Correct statistics   (K KS Warta Zawiercie <=> OUT ZAKSA Kedzierzyn-Kozle)",
,"18:08:21","00:22","OUT","OUT   ZAKSA Kedzierzyn-Kozle",
,"18:08:25","00:26","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:08:26","00:27","SRV","SRV   KS Warta Zawiercie",
,"18:08:28","00:29","S ERR","S ERR   KS Warta Zawiercie",
,"18:08:28","00:29","P","[1 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"18:08:47","00:49","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:08:48","00:50","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:08:50","00:51","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:08:50","00:52","B POSS","B POSS   KS Warta Zawiercie",
,"18:08:56","00:57","B","B   ZAKSA Kedzierzyn-Kozle",
,"18:08:56","00:57","P","[1 : 2]   P   ZAKSA Kedzierzyn-Kozle",
,"18:09:12","01:13","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:09:13","01:14","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:09:15","01:16","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:09:15","01:16","B POSS","B POSS   KS Warta Zawiercie",
,"18:09:19","01:20","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:09:26","01:28","B POSS","B POSS   KS Warta Zawiercie",
,"18:09:30","01:32","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:09:34","01:35","B POSS","B POSS   KS Warta Zawiercie",
,"18:09:38","01:39","K","K   KS Warta Zawiercie",
,"18:09:38","01:39","P","[2 : 2]   P   KS Warta Zawiercie",
,"18:10:00","02:01","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:10:01","02:02","SRV","SRV   KS Warta Zawiercie",
,"18:10:03","02:04","RS","RS   KS Warta Zawiercie",
,"18:10:03","02:04","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:10:09","02:10","ERR","ERR   KS Warta Zawiercie",
,"18:10:09","02:10","P","[2 : 3]   P   ZAKSA Kedzierzyn-Kozle",
,"18:10:21","02:22","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:10:22","02:23","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:10:23","02:24","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:10:23","02:24","B POSS","B POSS   KS Warta Zawiercie",
,"18:10:30","02:31","OUT","OUT   KS Warta Zawiercie",
,"18:10:30","02:31","P","[2 : 4]   P   ZAKSA Kedzierzyn-Kozle",
,"18:10:44","02:45","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:10:45","02:46","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:10:48","02:49","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:10:48","02:49","B POSS","B POSS   KS Warta Zawiercie",
,"18:10:54","02:55","OUT","OUT   KS Warta Zawiercie",
,"18:10:54","02:55","P","[2 : 5]   P   ZAKSA Kedzierzyn-Kozle",
,"18:11:06","03:07","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:11:07","03:08","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:11:08","03:10","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:11:09","03:10","B POSS","B POSS   KS Warta Zawiercie",
,"18:11:13","03:14","K","K   KS Warta Zawiercie",
,"18:11:13","03:14","P","[3 : 5]   P   KS Warta Zawiercie",
,"18:11:42","03:43","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:11:43","03:44","SRV","SRV   KS Warta Zawiercie",
,"18:11:45","03:46","RS","RS   KS Warta Zawiercie",
,"18:11:45","03:46","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:11:47","03:49","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:11:47","03:49","P","[3 : 6]   P   ZAKSA Kedzierzyn-Kozle",
,"18:12:06","04:07","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:12:06","04:08","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:12:08","04:09","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:12:08","04:09","B POSS","B POSS   KS Warta Zawiercie",
,"18:12:11","04:12","K","K   KS Warta Zawiercie",
,"18:12:11","04:12","P","[4 : 6]   P   KS Warta Zawiercie",
,"18:12:27","04:28","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:12:28","04:29","SRV","SRV   KS Warta Zawiercie",
,"18:12:30","04:31","RS","RS   KS Warta Zawiercie",
,"18:12:30","04:31","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:12:34","04:35","B POSS","B POSS   KS Warta Zawiercie",
,"18:12:37","04:38","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:12:41","04:42","B POSS","B POSS   KS Warta Zawiercie",
,"18:12:44","04:45","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:12:53","04:54","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:12:53","04:54","P","[4 : 7]   P   ZAKSA Kedzierzyn-Kozle",
,"18:13:11","05:12","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:13:12","05:13","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:13:14","05:15","S ERR","S ERR   ZAKSA Kedzierzyn-Kozle",
,"18:13:14","05:15","P","[5 : 7]   P   KS Warta Zawiercie",
,"18:13:36","05:37","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:13:37","05:38","SRV","SRV   KS Warta Zawiercie",
,"18:13:40","05:41","S ERR","S ERR   KS Warta Zawiercie",
,"18:13:40","05:41","P","[5 : 8]   P   ZAKSA Kedzierzyn-Kozle",
,"18:13:59","06:00","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:14:00","06:01","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:14:01","06:02","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:14:01","06:02","B POSS","B POSS   KS Warta Zawiercie",
,"18:14:08","06:10","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:14:08","06:10","P","[5 : 9]   P   ZAKSA Kedzierzyn-Kozle",
,"18:14:27","06:28","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:14:28","06:29","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:14:30","06:31","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:14:30","06:31","B POSS","B POSS   KS Warta Zawiercie",
,"18:14:35","06:36","B","B   ZAKSA Kedzierzyn-Kozle",
,"18:14:35","06:36","P","[5 : 10]   P   ZAKSA Kedzierzyn-Kozle",
,"18:14:59","07:00","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:15:00","07:02","TIME","TIME",
,"18:15:01","07:03","TIME","TIME   KS Warta Zawiercie",
,"18:15:50","07:52","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:15:53","07:54","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:15:53","07:54","B POSS","B POSS   KS Warta Zawiercie",
,"18:15:56","07:57","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:15:59","08:00","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:15:59","08:00","P","[5 : 11]   P   ZAKSA Kedzierzyn-Kozle",
,"18:16:25","08:26","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:16:26","08:27","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:16:28","08:29","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:16:28","08:29","B POSS","B POSS   KS Warta Zawiercie",
,"18:16:32","08:33","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:16:36","08:37","B POSS","B POSS   KS Warta Zawiercie",
,"18:16:41","08:42","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:16:44","08:45","ERR","ERR   ZAKSA Kedzierzyn-Kozle",
,"18:16:44","08:45","P","[6 : 11]   P   KS Warta Zawiercie",
,"18:17:00","09:01","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:17:01","09:03","SRV","SRV   KS Warta Zawiercie",
,"18:17:03","09:04","RS","RS   KS Warta Zawiercie",
,"18:17:03","09:04","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:17:09","09:10","B POSS","B POSS   KS Warta Zawiercie",
,"18:17:13","09:14","K","K   KS Warta Zawiercie",
,"18:17:13","09:14","P","[7 : 11]   P   KS Warta Zawiercie",
,"18:17:32","09:33","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:17:33","09:34","SRV","SRV   KS Warta Zawiercie",
,"18:17:34","09:35","S ERR","S ERR   KS Warta Zawiercie",
,"18:17:34","09:35","P","[7 : 12]   P   ZAKSA Kedzierzyn-Kozle",
,"18:17:53","09:54","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:17:53","09:55","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:17:55","09:57","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:17:56","09:57","B POSS","B POSS   KS Warta Zawiercie",
,"18:17:59","10:00","K","K   KS Warta Zawiercie",
,"18:17:59","10:00","P","[8 : 12]   P   KS Warta Zawiercie",
,"18:18:20","10:21","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"18:18:21","10:22","SRV","SRV   KS Warta Zawiercie",
,"18:18:23","10:24","RS","RS   KS Warta Zawiercie",
,"18:18:23","10:24","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:18:26","10:27","K","K   ZAKSA Kedzierzyn-Kozle",
