"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880084","Turkey","Efeler Ligi","01.10.2017 - 11:00","Ziraat Bankasi Spor Kulubu","Torul Genclik",
"Statistics","Ziraat Bankasi Spor Kulubu","Type","Torul Genclik",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"6","Aces","4",
,"10","Service errors","8",
,"47","Kills","26",
,"7","Blocks","5",
,"5","Errors","4",
,"3","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:23:14","00:00","Game conditions changed","Game conditions changed",
,"10:23:15","00:00","Players warming up","Players warming up",
,"10:42:08","00:00","Jersey colours updated","Jersey colours updated",
,"10:42:08","00:00","Jersey colours updated","Jersey colours updated",
,"10:43:58","00:00","Coin flipping","Coin flipping",
,"10:44:43","00:00","Warm up at the net","Warm up at the net",
,"10:56:41","00:00","Players lined up","Players lined up",
,"10:58:10","00:00","Players intro","Players intro",
,"10:59:29","00:00","Game about to start","Game about to start",
,"10:59:30","00:00","Start SRV","Start SRV   Torul Genclik",
,"11:00:16","00:00","Start 1st Set","Start 1st Set",
,"11:00:16","00:00","SRV","SRV   Torul Genclik",
,"11:00:18","00:02","RS","RS   Torul Genclik",
,"11:00:19","00:03","B POSS","B POSS   Ziraat Bankasi Spor Kulubu",
,"11:00:23","00:07","B POSS","B POSS   Torul Genclik",
,"11:00:28","00:12","K","K   Torul Genclik",
,"11:00:28","00:12","P","[0 : 1]   P   Torul Genclik",
,"11:00:46","00:30","Pt Conf","Pt Conf   Torul Genclik",
,"11:00:46","00:30","SRV","SRV   Torul Genclik",
,"11:00:48","00:32","RS","RS   Torul Genclik",
,"11:00:48","00:32","B POSS","B POSS   Ziraat Bankasi Spor Kulubu",
,"11:00:50","00:34","B POSS","B POSS   Torul Genclik",
,"11:00:55","00:39","B POSS","B POSS   Ziraat Bankasi Spor Kulubu",
,"11:00:59","00:43","K","K   Ziraat Bankasi Spor Kulubu",
,"11:00:59","00:43","P","[1 : 1]   P   Ziraat Bankasi Spor Kulubu",
,"11:01:20","01:04","Pt Conf","Pt Conf   Ziraat Bankasi Spor Kulubu",
,"11:01:22","01:06","SRV","SRV   Ziraat Bankasi Spor Kulubu",
,"11:01:25","01:09","RS","RS   Ziraat Bankasi Spor Kulubu",
,"11:01:26","01:10","B POSS","B POSS   Torul Genclik",
,"11:01:29","01:13","B POSS","B POSS   Ziraat Bankasi Spor Kulubu",
,"11:01:34","01:18","K","K   Ziraat Bankasi Spor Kulubu",
,"11:01:34","01:18","P","[2 : 1]   P   Ziraat Bankasi Spor Kulubu",
,"11:01:54","01:38","Pt Conf","Pt Conf   Ziraat Bankasi Spor Kulubu",
,"11:01:56","01:40","SRV","SRV   Ziraat Bankasi Spor Kulubu",
,"11:01:58","01:42","RS","RS   Ziraat Bankasi Spor Kulubu",
,"11:01:59","01:43","B POSS","B POSS   Torul Genclik",
,"11:02:02","01:46","B POSS","B POSS   Ziraat Bankasi Spor Kulubu",
,"11:02:05","01:49","B POSS","B POSS   Torul Genclik",
,"11:02:10","01:54","B","B   Ziraat Bankasi Spor Kulubu",
,"11:02:10","01:54","P","[3 : 1]   P   Ziraat Bankasi Spor Kulubu",
,"11:02:30","02:14","Pt Conf","Pt Conf   Ziraat Bankasi Spor Kulubu",
,"11:02:32","02:16","SRV","SRV   Ziraat Bankasi Spor Kulubu",
,"11:02:34","02:18","S ERR","S ERR   Ziraat Bankasi Spor Kulubu",
,"11:02:34","02:18","P","[3 : 2]   P   Torul Genclik",
,"11:02:51","02:35","Pt Conf","Pt Conf   Torul Genclik",
,"11:02:53","02:37","SRV","SRV   Torul Genclik",
,"11:02:55","02:39","RS","RS   Torul Genclik",
,"11:02:56","02:40","B POSS","B POSS   Ziraat Bankasi Spor Kulubu",
,"11:03:01","02:45","K","K   Ziraat Bankasi Spor Kulubu",
,"11:03:01","02:45","P","[4 : 2]   P   Ziraat Bankasi Spor Kulubu",
,"11:03:20","03:04","Pt Conf","Pt Conf   Ziraat Bankasi Spor Kulubu",
