"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880083","Turkey","Efeler Ligi","01.10.2017 - 12:30","Inegol Belediye","Kula Belediye",
"Statistics","Inegol Belediye","Type","Kula Belediye",
,"3","Score","1",
,"98","Points","94",
,"3","Sets","1",
,"8","Aces","6",
,"17","Service errors","21",
,"46","Kills","46",
,"7","Blocks","10",
,"4","Errors","8",
,"10","Outs","8",
,"0","Penalty Points","1",
,"0","Points (unknown method)","0",
,"1","Penalties","0",
,"1","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:43:27","00:00","Game conditions changed","Game conditions changed",
,"11:43:29","00:00","Players warming up","Players warming up",
,"11:45:09","00:00","Jersey colours updated","Jersey colours updated",
,"11:45:09","00:00","Jersey colours updated","Jersey colours updated",
,"12:12:15","00:00","Jersey colours updated","Jersey colours updated",
,"12:12:16","00:00","Jersey colours updated","Jersey colours updated",
,"12:13:43","00:00","Warm up at the net","Warm up at the net",
,"12:25:43","00:00","Players lined up","Players lined up",
,"12:26:53","00:00","Players intro","Players intro",
,"12:28:20","00:00","Game about to start","Game about to start",
,"12:28:40","00:00","Coin flipping","Coin flipping",
,"12:29:11","00:00","Start SRV","Start SRV   Kula Belediye",
,"12:29:27","00:00","Start SRV","Start SRV   Kula Belediye",
,"12:29:30","00:00","Start 1st Set","Start 1st Set",
,"12:29:30","00:00","SRV","SRV   Kula Belediye",
,"12:29:35","00:05","S ERR","S ERR   Kula Belediye",
,"12:29:35","00:05","P","[1 : 0]   P   Inegol Belediye",
,"12:29:56","00:26","Pt Conf","Pt Conf   Inegol Belediye",
,"12:29:57","00:27","SRV","SRV   Inegol Belediye",
,"12:29:58","00:28","RS","RS   Inegol Belediye",
,"12:29:59","00:28","B POSS","B POSS   Kula Belediye",
,"12:30:03","00:32","B","B   Inegol Belediye",
,"12:30:03","00:32","P","[2 : 0]   P   Inegol Belediye",
,"12:30:22","00:51","Pt Conf","Pt Conf   Inegol Belediye",
,"12:30:23","00:52","SRV","SRV   Inegol Belediye",
,"12:30:24","00:54","RS","RS   Inegol Belediye",
,"12:30:24","00:54","B POSS","B POSS   Kula Belediye",
,"12:30:27","00:57","K","K   Kula Belediye",
,"12:30:27","00:57","P","[2 : 1]   P   Kula Belediye",
,"12:30:49","01:18","Pt Conf","Pt Conf   Kula Belediye",
,"12:30:51","01:20","SRV","SRV   Kula Belediye",
,"12:30:54","01:23","RS","RS   Kula Belediye",
,"12:30:54","01:23","B POSS","B POSS   Inegol Belediye",
,"12:31:01","01:30","K","K   Kula Belediye",
,"12:31:01","01:30","P","[2 : 2]   P   Kula Belediye",
,"12:31:26","01:56","Pt Conf","Pt Conf   Kula Belediye",
,"12:31:28","01:57","SRV","SRV   Kula Belediye",
,"12:31:30","01:59","RS","RS   Kula Belediye",
,"12:31:30","01:59","B POSS","B POSS   Inegol Belediye",
,"12:31:34","02:04","K","K   Kula Belediye",
,"12:31:34","02:04","P","[2 : 3]   P   Kula Belediye",
,"12:31:51","02:20","Correct statistics","Correct statistics   (K Kula Belediye <=> ERR Inegol Belediye)",
,"12:31:51","02:20","ERR","ERR   Inegol Belediye",
,"12:31:58","02:27","Pt Conf","Pt Conf   Kula Belediye",
,"12:31:59","02:29","SRV","SRV   Kula Belediye",
,"12:32:01","02:30","RS","RS   Kula Belediye",
,"12:32:01","02:30","B POSS","B POSS   Inegol Belediye",
,"12:32:14","02:43","B POSS","B POSS   Kula Belediye",
,"12:32:14","02:44","B POSS","B POSS   Inegol Belediye",
,"12:32:17","02:47","K","K   Inegol Belediye",
,"12:32:17","02:47","P","[3 : 3]   P   Inegol Belediye",
,"12:32:45","03:15","Pt Conf","Pt Conf   Inegol Belediye",
,"12:32:47","03:16","SRV","SRV   Inegol Belediye",
,"12:32:49","03:18","RS","RS   Inegol Belediye",
,"12:32:49","03:18","B POSS","B POSS   Kula Belediye",
,"12:32:51","03:21","K","K   Kula Belediye",
,"12:32:51","03:21","P","[3 : 4]   P   Kula Belediye",
,"12:33:13","03:43","Pt Conf","Pt Conf   Kula Belediye",
,"12:33:15","03:44","SRV","SRV   Kula Belediye",
,"12:33:16","03:46","RS","RS   Kula Belediye",
,"12:33:16","03:46","B POSS","B POSS   Inegol Belediye",
,"12:33:20","03:49","K","K   Inegol Belediye",
,"12:33:20","03:49","P","[4 : 4]   P   Inegol Belediye",
,"12:33:42","04:11","Pt Conf","Pt Conf   Inegol Belediye",
