"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880085","Turkey","Efeler Ligi","01.10.2017 - 13:00","Maliye Milli Piyango Spor Kulubu","Arkas Spor Külübü",
"Statistics","Maliye Milli Piyango Spor Kulubu","Type","Arkas Spor Külübü",
,"0","Score","3",
,"61","Points","75",
,"0","Sets","3",
,"2","Aces","3",
,"11","Service errors","11",
,"37","Kills","38",
,"7","Blocks","11",
,"7","Errors","2",
,"5","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:24:12","00:00","Game conditions changed","Game conditions changed",
,"12:24:13","00:00","Players warming up","Players warming up",
,"12:24:47","00:00","Jersey colours updated","Jersey colours updated",
,"12:24:48","00:00","Jersey colours updated","Jersey colours updated",
,"12:50:39","00:00","Coin flipping","Coin flipping",
,"12:50:53","00:00","Warm up at the net","Warm up at the net",
,"13:01:14","00:00","Players lined up","Players lined up",
,"13:02:44","00:00","Players intro","Players intro",
,"13:04:15","00:00","Game about to start","Game about to start",
,"13:04:16","00:00","Unknown Team to start Service","Unknown Team to start Service",
,"13:04:18","00:00","Start SRV","Start SRV   Maliye Milli Piyango Spor Kulubu",
,"13:05:09","00:00","Start 1st Set","Start 1st Set",
,"13:05:09","00:00","SRV","SRV   Maliye Milli Piyango Spor Kulubu",
,"13:05:10","00:01","RS","RS   Maliye Milli Piyango Spor Kulubu",
,"13:05:11","00:01","B POSS","B POSS   Arkas Spor Külübü",
,"13:05:13","00:04","B POSS","B POSS   Maliye Milli Piyango Spor Kulubu",
,"13:05:17","00:07","B POSS","B POSS   Arkas Spor Külübü",
,"13:05:24","00:15","OUT","OUT   Maliye Milli Piyango Spor Kulubu",
,"13:05:24","00:15","P","[0 : 1]   P   Arkas Spor Külübü",
,"13:05:29","00:20","Correct statistics","Correct statistics   (OUT Maliye Milli Piyango Spor Kulubu <=> ERR Maliye Milli Piyango Spor Kulubu)",
,"13:05:29","00:20","ERR","ERR   Maliye Milli Piyango Spor Kulubu",
,"13:05:51","00:41","Pt Conf","Pt Conf   Arkas Spor Külübü",
,"13:05:51","00:42","SRV","SRV   Arkas Spor Külübü",
,"13:05:54","00:44","RS","RS   Arkas Spor Külübü",
,"13:05:54","00:45","B POSS","B POSS   Maliye Milli Piyango Spor Kulubu",
,"13:05:57","00:47","K","K   Maliye Milli Piyango Spor Kulubu",
,"13:05:57","00:47","P","[1 : 1]   P   Maliye Milli Piyango Spor Kulubu",
,"13:06:14","01:05","Pt Conf","Pt Conf   Maliye Milli Piyango Spor Kulubu",
,"13:06:15","01:06","SRV","SRV   Maliye Milli Piyango Spor Kulubu",
,"13:06:17","01:08","RS","RS   Maliye Milli Piyango Spor Kulubu",
,"13:06:18","01:08","B POSS","B POSS   Arkas Spor Külübü",
,"13:06:27","01:18","B POSS","B POSS   Maliye Milli Piyango Spor Kulubu",
,"13:06:35","01:25","B POSS","B POSS   Arkas Spor Külübü",
,"13:06:45","01:36","B POSS","B POSS   Maliye Milli Piyango Spor Kulubu",
,"13:06:55","01:46","K","K   Arkas Spor Külübü",
,"13:06:55","01:46","P","[1 : 2]   P   Arkas Spor Külübü",
,"13:06:56","01:47","Correct statistics","Correct statistics   (K Arkas Spor Külübü <=> ERR Maliye Milli Piyango Spor Kulubu)",
,"13:06:56","01:47","ERR","ERR   Maliye Milli Piyango Spor Kulubu",
,"13:07:16","02:07","Pt Conf","Pt Conf   Arkas Spor Külübü",
,"13:07:18","02:08","SRV","SRV   Arkas Spor Külübü",
,"13:07:20","02:11","S ERR","S ERR   Arkas Spor Külübü",
,"13:07:20","02:11","P","[2 : 2]   P   Maliye Milli Piyango Spor Kulubu",
,"13:07:40","02:30","Pt Conf","Pt Conf   Maliye Milli Piyango Spor Kulubu",
,"13:07:41","02:32","SRV","SRV   Maliye Milli Piyango Spor Kulubu",
,"13:07:44","02:34","A","A   Maliye Milli Piyango Spor Kulubu",
,"13:07:44","02:34","P","[3 : 2]   P   Maliye Milli Piyango Spor Kulubu",
