"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880086","Turkey","Efeler Ligi","01.10.2017 - 14:00","Galatasaray Spor Kulubu","Fenerbahce SK",
"Statistics","Galatasaray Spor Kulubu","Type","Fenerbahce SK",
,"0","Score","3",
,"65","Points","75",
,"0","Sets","3",
,"3","Aces","3",
,"9","Service errors","16",
,"31","Kills","49",
,"4","Blocks","6",
,"2","Errors","1",
,"6","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:08:11","00:00","Game conditions changed","Game conditions changed",
,"13:49:40","00:00","Players warming up","Players warming up",
,"13:50:11","00:00","Jersey colours updated","Jersey colours updated",
,"13:50:12","00:00","Jersey colours updated","Jersey colours updated",
,"13:50:48","00:00","Jersey colours updated","Jersey colours updated",
,"14:06:03","00:00","Coin flipping","Coin flipping",
,"14:14:28","00:00","Warm up at the net","Warm up at the net",
,"14:27:32","00:00","Players lined up","Players lined up",
,"14:28:36","00:00","Players intro","Players intro",
,"14:30:03","00:00","Game about to start","Game about to start",
,"14:31:00","00:00","Start SRV","Start SRV   Galatasaray Spor Kulubu",
,"14:31:42","00:00","Start 1st Set","Start 1st Set",
,"14:31:42","00:00","SRV","SRV   Galatasaray Spor Kulubu",
,"14:31:54","00:12","RS","RS   Galatasaray Spor Kulubu",
,"14:31:55","00:13","B POSS","B POSS   Fenerbahce SK",
,"14:32:01","00:19","OUT","OUT   Fenerbahce SK",
,"14:32:01","00:19","P","[1 : 0]   P   Galatasaray Spor Kulubu",
,"14:32:17","00:35","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"14:32:18","00:36","SRV","SRV   Galatasaray Spor Kulubu",
,"14:32:22","00:39","RS","RS   Galatasaray Spor Kulubu",
,"14:32:22","00:40","B POSS","B POSS   Fenerbahce SK",
,"14:32:25","00:43","K","K   Fenerbahce SK",
,"14:32:25","00:43","P","[1 : 1]   P   Fenerbahce SK",
,"14:32:45","01:03","Pt Conf","Pt Conf   Fenerbahce SK",
,"14:32:47","01:05","SRV","SRV   Fenerbahce SK",
,"14:32:49","01:07","RS","RS   Fenerbahce SK",
,"14:32:50","01:08","B POSS","B POSS   Galatasaray Spor Kulubu",
,"14:32:53","01:11","K","K   Galatasaray Spor Kulubu",
,"14:32:53","01:11","P","[2 : 1]   P   Galatasaray Spor Kulubu",
,"14:33:11","01:29","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"14:33:12","01:30","SRV","SRV   Galatasaray Spor Kulubu",
,"14:33:17","01:35","A","A   Galatasaray Spor Kulubu",
,"14:33:17","01:35","P","[3 : 1]   P   Galatasaray Spor Kulubu",
,"14:33:34","01:52","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"14:33:35","01:53","SRV","SRV   Galatasaray Spor Kulubu",
,"14:33:38","01:56","RS","RS   Galatasaray Spor Kulubu",
,"14:33:39","01:57","B POSS","B POSS   Fenerbahce SK",
,"14:33:43","02:01","B POSS","B POSS   Galatasaray Spor Kulubu",
,"14:33:45","02:03","B POSS","B POSS   Fenerbahce SK",
,"14:33:52","02:09","K","K   Fenerbahce SK",
,"14:33:52","02:09","P","[3 : 2]   P   Fenerbahce SK",
,"14:34:08","02:26","Pt Conf","Pt Conf   Fenerbahce SK",
,"14:34:16","02:34","SRV","SRV   Fenerbahce SK",
,"14:34:17","02:35","S ERR","S ERR   Fenerbahce SK",
,"14:34:17","02:35","P","[4 : 2]   P   Galatasaray Spor Kulubu",
,"14:34:33","02:51","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"14:34:34","02:52","SRV","SRV   Galatasaray Spor Kulubu",
,"14:34:39","02:57","A","A   Galatasaray Spor Kulubu",
,"14:34:39","02:57","P","[5 : 2]   P   Galatasaray Spor Kulubu",
,"14:34:50","03:07","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"14:34:51","03:09","TIME","TIME",
,"14:34:52","03:10","TIME","TIME   Fenerbahce SK",
,"14:35:40","03:58","SRV","SRV   Galatasaray Spor Kulubu",
,"14:35:43","04:01","RS","RS   Galatasaray Spor Kulubu",
,"14:35:44","04:02","B POSS","B POSS   Fenerbahce SK",
,"14:35:47","04:04","K","K   Fenerbahce SK",
,"14:35:47","04:04","P","[5 : 3]   P   Fenerbahce SK",
,"14:36:00","04:18","Pt Conf","Pt Conf   Fenerbahce SK",
,"14:36:05","04:23","SRV","SRV   Fenerbahce SK",
,"14:36:08","04:26","S ERR","S ERR   Fenerbahce SK",
,"14:36:08","04:26","P","[6 : 3]   P   Galatasaray Spor Kulubu",
,"14:36:22","04:40","Pt Conf","Pt Conf   Galatasaray Spor Kulubu",
,"14:36:33","04:51","SRV","SRV   Galatasaray Spor Kulubu",
,"14:36:35","04:53","S ERR","S ERR   Galatasaray Spor Kulubu",
