"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883972","Brazil","Campeonato Carioca (women)","02.10.2017 - 23:00","Rio de Janeiro Volei Clube (women)","Botafogo FR (women)",
"Statistics","Rio de Janeiro Volei Clube (women)","Type","Botafogo FR (women)",
,"3","Score","0",
,"75","Points","59",
,"3","Sets","0",
,"9","Aces","3",
,"9","Service errors","11",
,"39","Kills","32",
,"9","Blocks","5",
,"6","Errors","4",
,"4","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:08:18","00:00","Game conditions changed","Game conditions changed",
,"22:11:02","00:00","Players warming up","Players warming up",
,"22:32:11","00:00","Jersey colours updated","Jersey colours updated",
,"22:32:12","00:00","Jersey colours updated","Jersey colours updated",
,"22:39:17","00:00","Game conditions changed","Game conditions changed",
,"22:43:47","00:00","Coin flipping","Coin flipping",
,"22:45:11","00:00","Shake hands","Shake hands",
,"22:45:55","00:00","Warm up at the net","Warm up at the net",
,"22:58:29","00:00","Game about to start","Game about to start",
,"22:59:05","00:00","Start SRV","Start SRV   Rio de Janeiro Volei Clube (women)",
,"22:59:18","00:00","Start 1st Set","Start 1st Set",
,"22:59:19","00:00","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"22:59:24","00:06","A","A   Rio de Janeiro Volei Clube (women)",
,"22:59:24","00:06","P","[1 : 0]   P   Rio de Janeiro Volei Clube (women)",
,"22:59:32","00:13","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"22:59:36","00:18","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"22:59:40","00:21","RS","RS   Rio de Janeiro Volei Clube (women)",
,"22:59:41","00:23","B POSS","B POSS   Botafogo FR (women)",
,"22:59:44","00:25","OUT","OUT   Botafogo FR (women)",
,"22:59:44","00:25","P","[2 : 0]   P   Rio de Janeiro Volei Clube (women)",
,"22:59:53","00:34","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"22:59:57","00:38","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"22:59:58","00:40","RS","RS   Rio de Janeiro Volei Clube (women)",
,"22:59:59","00:41","B POSS","B POSS   Botafogo FR (women)",
,"23:00:04","00:45","K","K   Botafogo FR (women)",
,"23:00:04","00:45","P","[2 : 1]   P   Botafogo FR (women)",
,"23:00:15","00:56","Pt Conf","Pt Conf   Botafogo FR (women)",
,"23:00:20","01:01","SRV","SRV   Botafogo FR (women)",
,"23:00:23","01:05","RS","RS   Botafogo FR (women)",
,"23:00:24","01:06","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:00:28","01:09","B POSS","B POSS   Botafogo FR (women)",
,"23:00:32","01:13","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:00:36","01:18","OUT","OUT   Rio de Janeiro Volei Clube (women)",
,"23:00:36","01:18","P","[2 : 2]   P   Botafogo FR (women)",
,"23:00:47","01:28","Pt Conf","Pt Conf   Botafogo FR (women)",
,"23:00:52","01:33","SRV","SRV   Botafogo FR (women)",
,"23:00:56","01:37","S ERR","S ERR   Botafogo FR (women)",
,"23:00:56","01:37","P","[3 : 2]   P   Rio de Janeiro Volei Clube (women)",
,"23:01:04","01:46","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:01:09","01:50","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:01:13","01:54","RS","RS   Rio de Janeiro Volei Clube (women)",
,"23:01:14","01:55","B POSS","B POSS   Botafogo FR (women)",
,"23:01:18","01:59","K","K   Botafogo FR (women)",
,"23:01:18","01:59","P","[3 : 3]   P   Botafogo FR (women)",
,"23:01:31","02:12","Pt Conf","Pt Conf   Botafogo FR (women)",
,"23:01:37","02:18","SRV","SRV   Botafogo FR (women)",
,"23:01:41","02:23","S ERR","S ERR   Botafogo FR (women)",
