"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"872729","Philippines","Premier Volleyball League Collegiate Conference (men)","02.10.2017 - 00:00","FEU Tamaraws (students)","San Beda Red Lions (students)",
"Statistics","FEU Tamaraws (students)","Type","San Beda Red Lions (students)",
,"2","Score","3",
,"104","Points","106",
,"2","Sets","3",
,"2","Aces","8",
,"11","Service errors","16",
,"53","Kills","53",
,"13","Blocks","10",
,"12","Errors","10",
,"12","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:52:13","00:00","Players warming up","Players warming up",
,"23:52:36","00:00","Coin flipping","Coin flipping",
,"23:52:39","00:00","Players lined up","Players lined up",
,"23:52:58","00:00","Shake hands","Shake hands",
,"23:53:06","00:00","Warm up at the net","Warm up at the net",
,"23:54:21","00:00","Game conditions changed","Game conditions changed",
,"23:57:41","00:00","Players intro","Players intro",
,"23:57:55","00:00","Jersey colours updated","Jersey colours updated",
,"23:57:55","00:00","Jersey colours updated","Jersey colours updated",
,"23:58:49","00:00","Game about to start","Game about to start",
,"23:59:17","00:00","Start SRV","Start SRV   San Beda Red Lions (students)",
,"23:59:21","00:00","Start 1st Set","Start 1st Set",
,"23:59:22","00:00","SRV","SRV   San Beda Red Lions (students)",
,"23:59:25","00:03","RS","RS   San Beda Red Lions (students)",
,"23:59:26","00:04","B POSS","B POSS   FEU Tamaraws (students)",
,"23:59:26","00:04","B POSS","B POSS   San Beda Red Lions (students)",
,"23:59:30","00:08","B POSS","B POSS   FEU Tamaraws (students)",
,"23:59:36","00:14","B POSS","B POSS   San Beda Red Lions (students)",
,"23:59:36","00:14","K","K   San Beda Red Lions (students)",
,"23:59:36","00:14","P","[0 : 1]   P   San Beda Red Lions (students)",
,"23:59:49","00:27","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"23:59:49","00:27","SRV","SRV   San Beda Red Lions (students)",
,"23:59:50","00:28","RS","RS   San Beda Red Lions (students)",
,"23:59:51","00:29","B POSS","B POSS   FEU Tamaraws (students)",
,"23:59:54","00:32","B POSS","B POSS   San Beda Red Lions (students)",
,"23:59:55","00:33","K","K   San Beda Red Lions (students)",
,"23:59:55","00:33","P","[0 : 2]   P   San Beda Red Lions (students)",
,"00:00:07","00:45","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:00:08","00:46","SRV","SRV   San Beda Red Lions (students)",
,"00:00:10","00:48","A","A   San Beda Red Lions (students)",
,"00:00:10","00:48","P","[0 : 3]   P   San Beda Red Lions (students)",
,"00:00:24","01:02","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:00:25","01:03","SRV","SRV   San Beda Red Lions (students)",
,"00:00:27","01:05","RS","RS   San Beda Red Lions (students)",
,"00:00:28","01:06","B POSS","B POSS   FEU Tamaraws (students)",
,"00:00:31","01:09","K","K   FEU Tamaraws (students)",
,"00:00:31","01:09","P","[1 : 3]   P   FEU Tamaraws (students)",
,"00:00:44","01:22","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:00:46","01:24","SRV","SRV   FEU Tamaraws (students)",
,"00:00:49","01:27","RS","RS   FEU Tamaraws (students)",
,"00:00:50","01:28","B POSS","B POSS   San Beda Red Lions (students)",
,"00:00:51","01:29","B","B   FEU Tamaraws (students)",
,"00:00:51","01:29","P","[2 : 3]   P   FEU Tamaraws (students)",
,"00:01:06","01:44","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:01:06","01:44","SRV","SRV   FEU Tamaraws (students)",
,"00:01:08","01:46","RS","RS   FEU Tamaraws (students)",
,"00:01:08","01:46","B POSS","B POSS   San Beda Red Lions (students)",
,"00:01:12","01:50","B POSS","B POSS   FEU Tamaraws (students)",
,"00:01:15","01:53","B POSS","B POSS   San Beda Red Lions (students)",
,"00:01:18","01:57","B POSS","B POSS   FEU Tamaraws (students)",
,"00:01:24","02:02","K","K   FEU Tamaraws (students)",
,"00:01:24","02:02","P","[3 : 3]   P   FEU Tamaraws (students)",
,"00:01:37","02:15","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:01:38","02:16","SRV","SRV   FEU Tamaraws (students)",
,"00:01:40","02:18","RS","RS   FEU Tamaraws (students)",
,"00:01:41","02:19","B POSS","B POSS   San Beda Red Lions (students)",
,"00:01:48","02:26","B POSS","B POSS   FEU Tamaraws (students)",
,"00:01:50","02:28","B POSS","B POSS   San Beda Red Lions (students)",
,"00:01:53","02:31","ERR","ERR   San Beda Red Lions (students)",
,"00:01:53","02:31","P","[4 : 3]   P   FEU Tamaraws (students)",
,"00:02:06","02:44","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:02:06","02:44","SRV","SRV   FEU Tamaraws (students)",
,"00:02:09","02:47","RS","RS   FEU Tamaraws (students)",
,"00:02:10","02:48","B POSS","B POSS   San Beda Red Lions (students)",
,"00:02:12","02:50","B POSS","B POSS   FEU Tamaraws (students)",
,"00:02:16","02:54","B","B   San Beda Red Lions (students)",
,"00:02:16","02:54","P","[4 : 4]   P   San Beda Red Lions (students)",
,"00:02:29","03:07","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:02:30","03:08","SRV","SRV   San Beda Red Lions (students)",
,"00:02:33","03:11","RS","RS   San Beda Red Lions (students)",
,"00:02:33","03:11","B POSS","B POSS   FEU Tamaraws (students)",
,"00:02:38","03:16","B POSS","B POSS   San Beda Red Lions (students)",
,"00:02:42","03:20","B POSS","B POSS   FEU Tamaraws (students)",
,"00:02:49","03:27","ERR","ERR   San Beda Red Lions (students)",
,"00:02:49","03:27","P","[5 : 4]   P   FEU Tamaraws (students)",
,"00:02:59","03:37","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:02:59","03:37","SRV","SRV   FEU Tamaraws (students)",
,"00:03:02","03:41","RS","RS   FEU Tamaraws (students)",
,"00:03:03","03:41","B POSS","B POSS   San Beda Red Lions (students)",
,"00:03:06","03:44","OUT","OUT   San Beda Red Lions (students)",
,"00:03:06","03:44","P","[6 : 4]   P   FEU Tamaraws (students)",
,"00:03:18","03:56","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:03:18","03:56","SRV","SRV   FEU Tamaraws (students)",
,"00:03:20","03:58","RS","RS   FEU Tamaraws (students)",
,"00:03:21","03:59","B POSS","B POSS   San Beda Red Lions (students)",
,"00:03:23","04:01","K","K   San Beda Red Lions (students)",
,"00:03:23","04:01","P","[6 : 5]   P   San Beda Red Lions (students)",
,"00:03:37","04:15","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:03:37","04:15","SRV","SRV   San Beda Red Lions (students)",
,"00:03:40","04:18","RS","RS   San Beda Red Lions (students)",
,"00:03:40","04:18","B POSS","B POSS   FEU Tamaraws (students)",
,"00:03:46","04:24","B POSS","B POSS   San Beda Red Lions (students)",
,"00:03:50","04:28","B POSS","B POSS   FEU Tamaraws (students)",
,"00:03:53","04:31","B POSS","B POSS   San Beda Red Lions (students)",
,"00:03:55","04:33","B POSS","B POSS   FEU Tamaraws (students)",
,"00:03:59","04:37","K","K   FEU Tamaraws (students)",
,"00:03:59","04:37","P","[7 : 5]   P   FEU Tamaraws (students)",
,"00:04:13","04:51","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:04:14","04:52","SRV","SRV   FEU Tamaraws (students)",
,"00:04:15","04:53","RS","RS   FEU Tamaraws (students)",
,"00:04:16","04:54","B POSS","B POSS   San Beda Red Lions (students)",
,"00:04:17","04:55","K","K   San Beda Red Lions (students)",
,"00:04:17","04:55","P","[7 : 6]   P   San Beda Red Lions (students)",
,"00:04:36","05:14","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:04:36","05:14","SRV","SRV   San Beda Red Lions (students)",
,"00:04:40","05:18","S ERR","S ERR   San Beda Red Lions (students)",
,"00:04:40","05:18","P","[8 : 6]   P   FEU Tamaraws (students)",
,"00:04:44","05:22","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:04:45","05:23","TIME","TIME",
,"00:04:45","05:23","TTO","TTO",
,"00:05:34","06:12","SRV","SRV   FEU Tamaraws (students)",
,"00:05:37","06:15","RS","RS   FEU Tamaraws (students)",
,"00:05:37","06:15","B POSS","B POSS   San Beda Red Lions (students)",
,"00:05:39","06:17","K","K   San Beda Red Lions (students)",
,"00:05:39","06:17","P","[8 : 7]   P   San Beda Red Lions (students)",
,"00:05:56","06:34","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:05:57","06:35","SRV","SRV   San Beda Red Lions (students)",
,"00:05:58","06:36","RS","RS   San Beda Red Lions (students)",
,"00:05:59","06:37","B POSS","B POSS   FEU Tamaraws (students)",
,"00:06:00","06:38","K","K   FEU Tamaraws (students)",
,"00:06:00","06:38","P","[9 : 7]   P   FEU Tamaraws (students)",
,"00:06:18","06:56","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:06:19","06:57","SRV","SRV   FEU Tamaraws (students)",
,"00:06:21","06:59","RS","RS   FEU Tamaraws (students)",
,"00:06:22","07:00","B POSS","B POSS   San Beda Red Lions (students)",
,"00:06:23","07:01","K","K   San Beda Red Lions (students)",
,"00:06:23","07:01","P","[9 : 8]   P   San Beda Red Lions (students)",
,"00:06:36","07:14","Pt Conf","Pt Conf   San Beda Red Lions (students)",
,"00:06:36","07:14","SRV","SRV   San Beda Red Lions (students)",
,"00:06:38","07:16","RS","RS   San Beda Red Lions (students)",
,"00:06:39","07:17","B POSS","B POSS   FEU Tamaraws (students)",
