"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"872730","Philippines","Premier Volleyball League Collegiate Conference (men)","02.10.2017 - 02:00","NU Bulldogs (students)","St. Benilde Blazers (students)",
"Statistics","NU Bulldogs (students)","Type","St. Benilde Blazers (students)",
,"3","Score","2",
,"110","Points","109",
,"3","Sets","2",
,"4","Aces","6",
,"13","Service errors","17",
,"53","Kills","48",
,"12","Blocks","3",
,"15","Errors","13",
,"24","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"01:50:10","00:00","Game conditions changed","Game conditions changed",
,"01:50:25","00:00","Players warming up","Players warming up",
,"01:57:54","00:00","Players lined up","Players lined up",
,"01:58:14","00:00","Shake hands","Shake hands",
,"01:58:18","00:00","Coin flipping","Coin flipping",
,"01:59:04","00:00","Warm up at the net","Warm up at the net",
,"02:07:32","00:00","Jersey colours updated","Jersey colours updated",
,"02:07:33","00:00","Jersey colours updated","Jersey colours updated",
,"02:09:48","00:00","Players intro","Players intro",
,"02:11:07","00:00","Game about to start","Game about to start",
,"02:11:31","00:00","Start SRV","Start SRV   St. Benilde Blazers (students)",
,"02:11:36","00:00","Start 1st Set","Start 1st Set",
,"02:11:38","00:02","SRV","SRV   St. Benilde Blazers (students)",
,"02:11:40","00:04","RS","RS   St. Benilde Blazers (students)",
,"02:11:40","00:04","B POSS","B POSS   NU Bulldogs (students)",
,"02:11:43","00:07","K","K   NU Bulldogs (students)",
,"02:11:43","00:07","P","[1 : 0]   P   NU Bulldogs (students)",
,"02:12:01","00:25","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"02:12:01","00:25","SRV","SRV   NU Bulldogs (students)",
,"02:12:03","00:26","S ERR","S ERR   NU Bulldogs (students)",
,"02:12:03","00:26","P","[1 : 1]   P   St. Benilde Blazers (students)",
,"02:12:16","00:40","Pt Conf","Pt Conf   St. Benilde Blazers (students)",
,"02:12:17","00:41","SRV","SRV   St. Benilde Blazers (students)",
,"02:12:19","00:43","RS","RS   St. Benilde Blazers (students)",
,"02:12:21","00:44","B POSS","B POSS   NU Bulldogs (students)",
,"02:12:21","00:45","K","K   NU Bulldogs (students)",
,"02:12:21","00:45","P","[2 : 1]   P   NU Bulldogs (students)",
,"02:12:35","00:59","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"02:12:39","01:03","SRV","SRV   NU Bulldogs (students)",
,"02:12:39","01:03","RS","RS   NU Bulldogs (students)",
,"02:12:39","01:03","B POSS","B POSS   St. Benilde Blazers (students)",
,"02:12:42","01:05","B POSS","B POSS   NU Bulldogs (students)",
,"02:12:43","01:07","K","K   NU Bulldogs (students)",
,"02:12:43","01:07","P","[3 : 1]   P   NU Bulldogs (students)",
,"02:12:58","01:22","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"02:12:59","01:23","SRV","SRV   NU Bulldogs (students)",
,"02:13:00","01:24","RS","RS   NU Bulldogs (students)",
,"02:13:00","01:24","B POSS","B POSS   St. Benilde Blazers (students)",
,"02:13:04","01:28","OUT","OUT   St. Benilde Blazers (students)",
,"02:13:04","01:28","P","[4 : 1]   P   NU Bulldogs (students)",
,"02:13:19","01:43","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"02:13:20","01:44","SRV","SRV   NU Bulldogs (students)",
,"02:13:21","01:45","RS","RS   NU Bulldogs (students)",
,"02:13:21","01:45","B POSS","B POSS   St. Benilde Blazers (students)",
,"02:13:29","01:53","K","K   St. Benilde Blazers (students)",
