"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"872732","Philippines","Premier Volleyball League Collegiate Conference (women)","02.10.2017 - 08:00","Lyceum Lady Pirates (women/students)","FEU Lady Tamaraws (women/students)",
"Statistics","Lyceum Lady Pirates (women/students)","Type","FEU Lady Tamaraws (women/students)",
,"1","Score","3",
,"83","Points","96",
,"1","Sets","3",
,"11","Aces","15",
,"8","Service errors","8",
,"41","Kills","41",
,"2","Blocks","9",
,"11","Errors","12",
,"12","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"07:24:05","00:00","Game conditions changed","Game conditions changed",
,"07:24:06","00:00","Players warming up","Players warming up",
,"08:09:50","00:00","Jersey colours updated","Jersey colours updated",
,"08:09:50","00:00","Jersey colours updated","Jersey colours updated",
,"08:12:29","00:00","Players lined up","Players lined up",
,"08:13:49","00:00","Warm up at the net","Warm up at the net",
,"08:26:43","00:00","Players intro","Players intro",
,"08:27:58","00:00","Game about to start","Game about to start",
,"08:28:29","00:00","Start SRV","Start SRV   FEU Lady Tamaraws (women/students)",
,"08:28:52","00:00","Start 1st Set","Start 1st Set",
,"08:28:52","00:00","SRV","SRV   FEU Lady Tamaraws (women/students)",
,"08:28:55","00:03","RS","RS   FEU Lady Tamaraws (women/students)",
,"08:28:56","00:03","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:28:59","00:07","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:29:03","00:10","K","K   FEU Lady Tamaraws (women/students)",
,"08:29:03","00:10","P","[0 : 1]   P   FEU Lady Tamaraws (women/students)",
,"08:29:16","00:23","Pt Conf","Pt Conf   FEU Lady Tamaraws (women/students)",
,"08:29:17","00:24","SRV","SRV   FEU Lady Tamaraws (women/students)",
,"08:29:20","00:27","RS","RS   FEU Lady Tamaraws (women/students)",
,"08:29:20","00:27","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:29:23","00:30","K","K   Lyceum Lady Pirates (women/students)",
,"08:29:23","00:30","P","[1 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:29:34","00:42","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:29:38","00:46","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:29:41","00:48","A","A   Lyceum Lady Pirates (women/students)",
,"08:29:41","00:48","P","[2 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:29:53","01:00","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:29:55","01:03","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:29:58","01:06","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:29:59","01:06","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:30:02","01:10","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:30:06","01:13","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:30:10","01:17","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:30:14","01:21","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:30:18","01:25","ERR","ERR   FEU Lady Tamaraws (women/students)",
,"08:30:18","01:25","P","[3 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:30:29","01:36","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:30:32","01:40","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:30:35","01:43","A","A   Lyceum Lady Pirates (women/students)",
,"08:30:35","01:43","P","[4 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:30:48","01:55","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:30:51","01:58","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:30:54","02:01","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:30:54","02:01","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:31:02","02:09","K","K   Lyceum Lady Pirates (women/students)",
,"08:31:02","02:09","P","[5 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:31:04","02:12","Correct statistics","Correct statistics   (K Lyceum Lady Pirates (women/students) <=> B Lyceum Lady Pirates (women/students))",
,"08:31:04","02:12","B","B   Lyceum Lady Pirates (women/students)",
,"08:31:09","02:16","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:31:12","02:19","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:31:14","02:21","A","A   Lyceum Lady Pirates (women/students)",
,"08:31:14","02:21","P","[6 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:31:19","02:26","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:31:20","02:27","TIME","TIME",
,"08:31:21","02:28","TIME","TIME   FEU Lady Tamaraws (women/students)",
,"08:32:20","03:28","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:32:23","03:30","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:32:23","03:30","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:32:27","03:34","ERR","ERR   FEU Lady Tamaraws (women/students)",
,"08:32:27","03:34","P","[7 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:32:39","03:46","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:32:42","03:49","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:32:45","03:52","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:32:45","03:52","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:32:49","03:56","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:32:53","04:00","K","K   Lyceum Lady Pirates (women/students)",
,"08:32:53","04:00","P","[8 : 1]   P   Lyceum Lady Pirates (women/students)",
,"08:32:55","04:03","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:32:56","04:03","TIME","TIME",
,"08:32:57","04:04","TTO","TTO",
,"08:34:15","05:22","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:34:17","05:24","S ERR","S ERR   Lyceum Lady Pirates (women/students)",
,"08:34:17","05:24","P","[8 : 2]   P   FEU Lady Tamaraws (women/students)",
,"08:34:27","05:34","Pt Conf","Pt Conf   FEU Lady Tamaraws (women/students)",
,"08:34:28","05:36","SRV","SRV   FEU Lady Tamaraws (women/students)",
,"08:34:32","05:39","RS","RS   FEU Lady Tamaraws (women/students)",
,"08:34:32","05:39","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:34:36","05:43","K","K   Lyceum Lady Pirates (women/students)",
,"08:34:36","05:43","P","[9 : 2]   P   Lyceum Lady Pirates (women/students)",
,"08:34:48","05:55","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:34:51","05:58","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:34:55","06:02","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:34:55","06:02","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:34:58","06:05","K","K   FEU Lady Tamaraws (women/students)",
,"08:34:58","06:05","P","[9 : 3]   P   FEU Lady Tamaraws (women/students)",
,"08:35:10","06:18","Pt Conf","Pt Conf   FEU Lady Tamaraws (women/students)",
,"08:35:16","06:23","SRV","SRV   FEU Lady Tamaraws (women/students)",
,"08:35:19","06:26","RS","RS   FEU Lady Tamaraws (women/students)",
,"08:35:19","06:26","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:35:22","06:29","K","K   Lyceum Lady Pirates (women/students)",
,"08:35:22","06:29","P","[10 : 3]   P   Lyceum Lady Pirates (women/students)",
,"08:35:33","06:40","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:35:37","06:44","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:35:40","06:48","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:35:41","06:48","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:35:45","06:52","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:35:49","06:56","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:35:54","07:01","OUT","OUT   FEU Lady Tamaraws (women/students)",
,"08:35:54","07:01","P","[11 : 3]   P   Lyceum Lady Pirates (women/students)",
,"08:36:05","07:12","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:36:07","07:14","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:36:10","07:17","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:36:10","07:17","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:36:15","07:22","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:36:19","07:26","K","K   Lyceum Lady Pirates (women/students)",
,"08:36:19","07:26","P","[12 : 3]   P   Lyceum Lady Pirates (women/students)",
,"08:36:33","07:40","Pt Conf","Pt Conf   Lyceum Lady Pirates (women/students)",
,"08:36:34","07:41","SRV","SRV   Lyceum Lady Pirates (women/students)",
,"08:36:37","07:44","RS","RS   Lyceum Lady Pirates (women/students)",
,"08:36:37","07:44","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:36:40","07:47","B POSS","B POSS   Lyceum Lady Pirates (women/students)",
,"08:36:44","07:51","B POSS","B POSS   FEU Lady Tamaraws (women/students)",
,"08:36:49","07:56","OUT","OUT   FEU Lady Tamaraws (women/students)",
