"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883578","Russia","Vischaya Liga A (men)","02.10.2017 - 13:00","VC Prikamye","VC Neftyanik Orenburg",
"Statistics","VC Prikamye","Type","VC Neftyanik Orenburg",
,"3","Score","0",
,"75","Points","68",
,"3","Sets","0",
,"8","Aces","6",
,"13","Service errors","11",
,"41","Kills","33",
,"7","Blocks","2",
,"8","Errors","2",
,"6","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:17:01","00:00","Game conditions changed","Game conditions changed",
,"12:17:03","00:00","Players warming up","Players warming up",
,"12:42:37","00:00","Coin flipping","Coin flipping",
,"12:42:38","00:00","Warm up at the net","Warm up at the net",
,"12:43:18","00:00","Jersey colours updated","Jersey colours updated",
,"12:43:18","00:00","Jersey colours updated","Jersey colours updated",
,"12:55:20","00:00","Players lined up","Players lined up",
,"12:55:35","00:00","National anthem singing","National anthem singing",
,"12:56:58","00:00","Shake hands","Shake hands",
,"12:58:12","00:00","Game conditions changed","Game conditions changed",
,"12:59:34","00:00","Game about to start","Game about to start",
,"13:00:00","00:00","Start SRV","Start SRV   VC Prikamye",
,"13:00:12","00:00","Start 1st Set","Start 1st Set",
,"13:00:12","00:00","SRV","SRV   VC Prikamye",
,"13:00:15","00:02","RS","RS   VC Prikamye",
,"13:00:15","00:03","B POSS","B POSS   VC Neftyanik Orenburg",
,"13:00:20","00:08","B POSS","B POSS   VC Prikamye",
,"13:00:21","00:09","B POSS","B POSS   VC Neftyanik Orenburg",
,"13:00:24","00:11","K","K   VC Neftyanik Orenburg",
,"13:00:24","00:11","P","[0 : 1]   P   VC Neftyanik Orenburg",
,"13:00:37","00:24","Pt Conf","Pt Conf   VC Neftyanik Orenburg",
,"13:00:37","00:25","SRV","SRV   VC Neftyanik Orenburg",
,"13:00:44","00:31","S ERR","S ERR   VC Neftyanik Orenburg",
,"13:00:44","00:31","P","[1 : 1]   P   VC Prikamye",
,"13:00:55","00:42","Pt Conf","Pt Conf   VC Prikamye",
,"13:01:01","00:48","SRV","SRV   VC Prikamye",
,"13:01:05","00:52","RS","RS   VC Prikamye",
,"13:01:05","00:52","B POSS","B POSS   VC Neftyanik Orenburg",
,"13:01:10","00:57","K","K   VC Neftyanik Orenburg",
,"13:01:10","00:57","P","[1 : 2]   P   VC Neftyanik Orenburg",
,"13:01:22","01:09","Pt Conf","Pt Conf   VC Neftyanik Orenburg",
,"13:01:23","01:10","SRV","SRV   VC Neftyanik Orenburg",
