"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883775","Vietnam","Premier League U20 (men)","02.10.2017 - 04:30","Vinh Long U20","TP Ho Chi Minh U20",
"Statistics","Vinh Long U20","Type","TP Ho Chi Minh U20",
,"1","Score","3",
,"78","Points","96",
,"1","Sets","3",
,"4","Aces","11",
,"5","Service errors","6",
,"45","Kills","58",
,"7","Blocks","4",
,"7","Errors","6",
,"6","Outs","7",
,"0","Penalty Points","0",
,"3","Points (unknown method)","5",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:50:04","00:00","Game conditions changed","Game conditions changed",
,"03:50:05","00:00","Players warming up","Players warming up",
,"04:09:14","00:00","Coin flipping","Coin flipping",
,"04:09:37","00:00","Jersey colours updated","Jersey colours updated",
,"04:09:38","00:00","Jersey colours updated","Jersey colours updated",
,"04:14:36","00:00","Warm up at the net","Warm up at the net",
,"04:27:54","00:00","Players intro","Players intro",
,"04:29:12","00:00","Game about to start","Game about to start",
,"04:29:17","00:00","Start SRV","Start SRV   Vinh Long U20",
,"04:29:20","00:00","Start 1st Set","Start 1st Set",
,"04:29:21","00:00","SRV","SRV   Vinh Long U20",
,"04:29:23","00:03","RS","RS   Vinh Long U20",
,"04:29:24","00:04","B POSS","B POSS   TP Ho Chi Minh U20",
,"04:29:25","00:05","K","K   TP Ho Chi Minh U20",
,"04:29:25","00:05","P","[0 : 1]   P   TP Ho Chi Minh U20",
,"04:29:44","00:23","Pt Conf","Pt Conf   TP Ho Chi Minh U20",
,"04:29:45","00:24","SRV","SRV   TP Ho Chi Minh U20",
,"04:29:46","00:26","RS","RS   TP Ho Chi Minh U20",
,"04:29:47","00:26","B POSS","B POSS   Vinh Long U20",
,"04:29:50","00:30","B POSS","B POSS   TP Ho Chi Minh U20",
,"04:29:51","00:31","OUT","OUT   Vinh Long U20",
,"04:29:51","00:31","P","[0 : 2]   P   TP Ho Chi Minh U20",
,"04:30:07","00:47","Pt Conf","Pt Conf   TP Ho Chi Minh U20",
,"04:30:08","00:48","SRV","SRV   TP Ho Chi Minh U20",
,"04:30:12","00:51","RS","RS   TP Ho Chi Minh U20",
,"04:30:13","00:52","B POSS","B POSS   Vinh Long U20",
,"04:30:19","00:59","B POSS","B POSS   TP Ho Chi Minh U20",
,"04:30:24","01:03","B","B   Vinh Long U20",
,"04:30:24","01:03","P","[1 : 2]   P   Vinh Long U20",
