"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883777","Vietnam","Premier League U20 (men)","02.10.2017 - 12:00","Long An U20","The Cong BD15 U20",
"Statistics","Long An U20","Type","The Cong BD15 U20",
,"0","Score","3",
,"69","Points","76",
,"0","Sets","3",
,"5","Aces","5",
,"10","Service errors","4",
,"50","Kills","54",
,"6","Blocks","2",
,"1","Errors","1",
,"4","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:22:20","00:00","Players warming up","Players warming up",
,"11:22:22","00:00","Game conditions changed","Game conditions changed",
,"12:26:26","00:00","Coin flipping","Coin flipping",
,"12:26:37","00:00","Jersey colours updated","Jersey colours updated",
,"12:26:39","00:00","Jersey colours updated","Jersey colours updated",
,"12:40:53","00:00","Warm up at the net","Warm up at the net",
,"12:52:40","00:00","Players intro","Players intro",
,"12:54:05","00:00","Game about to start","Game about to start",
,"12:54:14","00:00","Start SRV","Start SRV   Long An U20",
,"12:54:18","00:00","Start 1st Set","Start 1st Set",
,"12:54:19","00:00","SRV","SRV   Long An U20",
,"12:54:23","00:05","RS","RS   Long An U20",
,"12:54:24","00:06","B POSS","B POSS   The Cong BD15 U20",
,"12:54:27","00:09","K","K   The Cong BD15 U20",
,"12:54:27","00:09","P","[0 : 1]   P   The Cong BD15 U20",
,"12:54:47","00:28","Pt Conf","Pt Conf   The Cong BD15 U20",
,"12:54:48","00:29","SRV","SRV   The Cong BD15 U20",
,"12:54:49","00:31","RS","RS   The Cong BD15 U20",
,"12:54:50","00:32","B POSS","B POSS   Long An U20",
,"12:54:54","00:36","K","K   Long An U20",
,"12:54:54","00:36","P","[1 : 1]   P   Long An U20",
,"12:55:12","00:53","Pt Conf","Pt Conf   Long An U20",
,"12:55:13","00:55","SRV","SRV   Long An U20",
,"12:55:15","00:56","RS","RS   Long An U20",
,"12:55:16","00:57","B POSS","B POSS   The Cong BD15 U20",
,"12:55:19","01:00","K","K   The Cong BD15 U20",
,"12:55:19","01:00","P","[1 : 2]   P   The Cong BD15 U20",
,"12:55:45","01:27","Pt Conf","Pt Conf   The Cong BD15 U20",
,"12:55:47","01:28","SRV","SRV   The Cong BD15 U20",
,"12:55:48","01:29","RS","RS   The Cong BD15 U20",
,"12:55:49","01:30","B POSS","B POSS   Long An U20",
,"12:56:01","01:43","K","K   Long An U20",
,"12:56:01","01:43","P","[2 : 2]   P   Long An U20",
,"12:56:17","01:59","Pt Conf","Pt Conf   Long An U20",
,"12:56:19","02:01","SRV","SRV   Long An U20",
,"12:56:21","02:02","RS","RS   Long An U20",
,"12:56:22","02:03","B POSS","B POSS   The Cong BD15 U20",
,"12:56:24","02:06","K","K   The Cong BD15 U20",
,"12:56:24","02:06","P","[2 : 3]   P   The Cong BD15 U20",
,"12:56:43","02:25","Pt Conf","Pt Conf   The Cong BD15 U20",
,"12:56:44","02:26","SRV","SRV   The Cong BD15 U20",
,"12:56:46","02:28","RS","RS   The Cong BD15 U20",
,"12:56:47","02:29","B POSS","B POSS   Long An U20",
,"12:56:49","02:31","ERR","ERR   Long An U20",
,"12:56:49","02:31","P","[2 : 4]   P   The Cong BD15 U20",
,"12:57:12","02:53","Pt Conf","Pt Conf   The Cong BD15 U20",
,"12:57:13","02:55","SRV","SRV   The Cong BD15 U20",
,"12:57:16","02:58","RS","RS   The Cong BD15 U20",
,"12:57:17","02:59","B POSS","B POSS   Long An U20",
,"12:57:24","03:06","K","K   The Cong BD15 U20",
,"12:57:24","03:06","P","[2 : 5]   P   The Cong BD15 U20",
,"12:57:43","03:24","Pt Conf","Pt Conf   The Cong BD15 U20",
,"12:57:44","03:25","SRV","SRV   The Cong BD15 U20",
