"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884111","Argentina","Liga de Honor (women)","03.10.2017 - 00:30","Ferro Carril Oeste (women)","Sholem (women)",
"Statistics","Ferro Carril Oeste (women)","Type","Sholem (women)",
,"3","Score","1",
,"102","Points","80",
,"3","Sets","1",
,"2","Aces","5",
,"2","Service errors","6",
,"52","Kills","45",
,"15","Blocks","9",
,"9","Errors","13",
,"10","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:46:28","00:00","Game conditions changed","Game conditions changed",
,"00:02:11","00:00","Players warming up","Players warming up",
,"00:10:27","00:00","Jersey colours updated","Jersey colours updated",
,"00:10:29","00:00","Jersey colours updated","Jersey colours updated",
,"00:10:36","00:00","Jersey colours updated","Jersey colours updated",
,"00:16:33","00:00","Coin flipping","Coin flipping",
,"00:17:09","00:00","Warm up at the net","Warm up at the net",
,"00:26:27","00:00","Players intro","Players intro",
,"00:28:40","00:00","Players lined up","Players lined up",
,"00:29:08","00:00","Game about to start","Game about to start",
,"00:29:34","00:00","Start SRV","Start SRV   Sholem (women)",
,"00:30:05","00:00","Start 1st Set","Start 1st Set",
,"00:30:06","00:01","SRV","SRV   Sholem (women)",
,"00:30:08","00:03","RS","RS   Sholem (women)",
,"00:30:09","00:04","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:30:11","00:06","B POSS","B POSS   Sholem (women)",
,"00:30:15","00:10","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:30:19","00:14","B POSS","B POSS   Sholem (women)",
,"00:30:23","00:18","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:30:27","00:22","K","K   Ferro Carril Oeste (women)",
,"00:30:27","00:22","P","[1 : 0]   P   Ferro Carril Oeste (women)",
,"00:30:47","00:42","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:30:50","00:45","SRV","SRV   Ferro Carril Oeste (women)",
,"00:30:52","00:47","RS","RS   Ferro Carril Oeste (women)",
,"00:30:53","00:48","B POSS","B POSS   Sholem (women)",
,"00:30:56","00:51","ERR","ERR   Sholem (women)",
,"00:30:56","00:51","P","[2 : 0]   P   Ferro Carril Oeste (women)",
,"00:31:10","01:05","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:31:12","01:06","SRV","SRV   Ferro Carril Oeste (women)",
,"00:31:14","01:08","RS","RS   Ferro Carril Oeste (women)",
,"00:31:14","01:09","B POSS","B POSS   Sholem (women)",
,"00:31:17","01:12","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:31:21","01:16","B POSS","B POSS   Sholem (women)",
,"00:31:26","01:21","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:31:31","01:26","K","K   Ferro Carril Oeste (women)",
,"00:31:31","01:26","P","[3 : 0]   P   Ferro Carril Oeste (women)",
,"00:31:50","01:44","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:31:53","01:48","SRV","SRV   Ferro Carril Oeste (women)",
,"00:31:55","01:49","RS","RS   Ferro Carril Oeste (women)",
,"00:31:56","01:50","B POSS","B POSS   Sholem (women)",
,"00:31:58","01:53","OUT","OUT   Sholem (women)",
,"00:31:58","01:53","P","[4 : 0]   P   Ferro Carril Oeste (women)",
,"00:32:06","02:01","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:32:08","02:02","SRV","SRV   Ferro Carril Oeste (women)",
,"00:32:09","02:04","S ERR","S ERR   Ferro Carril Oeste (women)",
,"00:32:09","02:04","P","[4 : 1]   P   Sholem (women)",
,"00:32:20","02:15","Pt Conf","Pt Conf   Sholem (women)",
,"00:32:23","02:18","SRV","SRV   Sholem (women)",
,"00:32:25","02:20","RS","RS   Sholem (women)",
,"00:32:26","02:21","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:32:30","02:24","B POSS","B POSS   Sholem (women)",
,"00:32:43","02:38","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:32:47","02:42","B POSS","B POSS   Sholem (women)",
,"00:32:51","02:45","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:32:55","02:49","K","K   Ferro Carril Oeste (women)",
,"00:32:55","02:49","P","[5 : 1]   P   Ferro Carril Oeste (women)",
,"00:33:07","03:02","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:33:09","03:04","SRV","SRV   Ferro Carril Oeste (women)",
,"00:33:11","03:06","RS","RS   Ferro Carril Oeste (women)",
,"00:33:12","03:07","B POSS","B POSS   Sholem (women)",
,"00:33:15","03:10","K","K   Sholem (women)",
,"00:33:15","03:10","P","[5 : 2]   P   Sholem (women)",
,"00:33:28","03:23","Pt Conf","Pt Conf   Sholem (women)",
,"00:33:34","03:28","SRV","SRV   Sholem (women)",
,"00:33:36","03:31","RS","RS   Sholem (women)",
,"00:33:37","03:32","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:33:41","03:35","K","K   Ferro Carril Oeste (women)",
,"00:33:41","03:35","P","[6 : 2]   P   Ferro Carril Oeste (women)",
,"00:33:58","03:52","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:34:01","03:56","SRV","SRV   Ferro Carril Oeste (women)",
,"00:34:03","03:58","RS","RS   Ferro Carril Oeste (women)",
,"00:34:04","03:59","B POSS","B POSS   Sholem (women)",
,"00:34:08","04:02","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:34:11","04:06","K","K   Ferro Carril Oeste (women)",
,"00:34:11","04:06","P","[7 : 2]   P   Ferro Carril Oeste (women)",
,"00:34:27","04:22","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:34:31","04:26","SRV","SRV   Ferro Carril Oeste (women)",
,"00:34:33","04:28","RS","RS   Ferro Carril Oeste (women)",
,"00:34:34","04:29","B POSS","B POSS   Sholem (women)",
,"00:34:37","04:31","B","B   Ferro Carril Oeste (women)",
,"00:34:37","04:31","P","[8 : 2]   P   Ferro Carril Oeste (women)",
,"00:34:49","04:43","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:34:50","04:45","TIME","TIME",
,"00:34:51","04:46","TTO","TTO",
,"00:35:56","05:51","SRV","SRV   Ferro Carril Oeste (women)",
,"00:36:00","05:55","A","A   Ferro Carril Oeste (women)",
,"00:36:00","05:55","P","[9 : 2]   P   Ferro Carril Oeste (women)",
,"00:36:12","06:06","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:36:14","06:09","SRV","SRV   Ferro Carril Oeste (women)",
,"00:36:17","06:12","RS","RS   Ferro Carril Oeste (women)",
