"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883973","Brazil","Campeonato Carioca (women)","03.10.2017 - 22:00","Fluminense Football Club (women)","Universo do Volei (women)",
"Statistics","Fluminense Football Club (women)","Type","Universo do Volei (women)",
,"3","Score","0",
,"75","Points","42",
,"3","Sets","0",
,"7","Aces","2",
,"9","Service errors","6",
,"46","Kills","19",
,"7","Blocks","3",
,"4","Errors","5",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:07:41","00:00","Game conditions changed","Game conditions changed",
,"21:27:43","00:00","Players warming up","Players warming up",
,"21:42:41","00:00","Jersey colours updated","Jersey colours updated",
,"21:42:41","00:00","Jersey colours updated","Jersey colours updated",
,"21:44:59","00:00","Game conditions changed","Game conditions changed",
,"21:45:07","00:00","Players intro","Players intro",
,"21:45:08","00:00","Players lined up","Players lined up",
,"21:45:51","00:00","Coin flipping","Coin flipping",
,"21:45:56","00:00","Warm up at the net","Warm up at the net",
,"21:58:48","00:00","Game about to start","Game about to start",
,"21:59:14","00:00","Start SRV","Start SRV   Universo do Volei (women)",
,"21:59:29","00:00","Start 1st Set","Start 1st Set",
,"21:59:30","00:00","SRV","SRV   Universo do Volei (women)",
,"21:59:31","00:02","RS","RS   Universo do Volei (women)",
,"21:59:32","00:03","B POSS","B POSS   Fluminense Football Club (women)",
,"21:59:34","00:04","K","K   Fluminense Football Club (women)",
,"21:59:34","00:04","P","[1 : 0]   P   Fluminense Football Club (women)",
,"21:59:46","00:16","Pt Conf","Pt Conf   Fluminense Football Club (women)",
,"21:59:53","00:24","SRV","SRV   Fluminense Football Club (women)",
,"21:59:57","00:27","RS","RS   Fluminense Football Club (women)",
,"21:59:57","00:28","B POSS","B POSS   Universo do Volei (women)",
,"21:59:59","00:30","B","B   Fluminense Football Club (women)",
,"21:59:59","00:30","P","[2 : 0]   P   Fluminense Football Club (women)",
,"22:00:11","00:41","Pt Conf","Pt Conf   Fluminense Football Club (women)",
,"22:00:18","00:48","SRV","SRV   Fluminense Football Club (women)",
,"22:00:21","00:51","RS","RS   Fluminense Football Club (women)",
