"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883942","Friendly","Plovdiv Cup (women)","03.10.2017 - 12:30","Olympiakos SC Piraeus (women)","CSM Bucuresti (women)",
"Statistics","Olympiakos SC Piraeus (women)","Type","CSM Bucuresti (women)",
,"3","Score","1",
,"100","Points","88",
,"3","Sets","1",
,"6","Aces","6",
,"5","Service errors","13",
,"55","Kills","46",
,"9","Blocks","11",
,"11","Errors","5",
,"9","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:05:54","00:00","Game conditions changed","Game conditions changed",
,"12:05:56","00:00","Players warming up","Players warming up",
,"12:06:35","00:00","Jersey colours updated","Jersey colours updated",
,"12:06:35","00:00","Jersey colours updated","Jersey colours updated",
,"12:12:47","00:00","Coin flipping","Coin flipping",
,"12:13:10","00:00","Warm up at the net","Warm up at the net",
,"12:26:32","00:00","Players lined up","Players lined up",
,"12:27:21","00:00","Shake hands","Shake hands",
,"12:28:19","00:00","Players intro","Players intro",
,"12:30:23","00:00","Game about to start","Game about to start",
,"12:30:45","00:00","Start SRV","Start SRV   CSM Bucuresti (women)",
,"12:31:11","00:00","Start 1st Set","Start 1st Set",
,"12:31:11","00:00","SRV","SRV   CSM Bucuresti (women)",
,"12:31:18","00:07","RS","RS   CSM Bucuresti (women)",
,"12:31:19","00:07","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:31:21","00:10","K","K   Olympiakos SC Piraeus (women)",
,"12:31:21","00:10","P","[1 : 0]   P   Olympiakos SC Piraeus (women)",
,"12:31:34","00:22","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:31:35","00:23","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:31:41","00:29","RS","RS   Olympiakos SC Piraeus (women)",
,"12:31:41","00:29","B POSS","B POSS   CSM Bucuresti (women)",
,"12:31:44","00:33","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:31:48","00:36","B POSS","B POSS   CSM Bucuresti (women)",
,"12:31:51","00:39","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:31:54","00:42","B POSS","B POSS   CSM Bucuresti (women)",
,"12:31:58","00:46","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:31:58","00:46","Rally over 5 possession changes","Rally over 5 possession changes",
,"12:32:04","00:52","OUT","OUT   Olympiakos SC Piraeus (women)",
,"12:32:04","00:52","P","[1 : 1]   P   CSM Bucuresti (women)",
,"12:32:18","01:06","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:32:19","01:07","SRV","SRV   CSM Bucuresti (women)",
,"12:32:24","01:12","RS","RS   CSM Bucuresti (women)",
,"12:32:25","01:13","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:32:28","01:16","B POSS","B POSS   CSM Bucuresti (women)",
,"12:32:33","01:22","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:32:36","01:24","B POSS","B POSS   CSM Bucuresti (women)",
,"12:32:40","01:28","K","K   CSM Bucuresti (women)",
,"12:32:40","01:28","P","[1 : 2]   P   CSM Bucuresti (women)",
,"12:32:54","01:42","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:32:55","01:43","SRV","SRV   CSM Bucuresti (women)",
,"12:33:00","01:48","RS","RS   CSM Bucuresti (women)",
,"12:33:00","01:49","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:33:04","01:53","OUT","OUT   Olympiakos SC Piraeus (women)",
,"12:33:04","01:53","P","[1 : 3]   P   CSM Bucuresti (women)",
,"12:33:19","02:07","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:33:20","02:08","SRV","SRV   CSM Bucuresti (women)",
,"12:33:25","02:13","RS","RS   CSM Bucuresti (women)",
,"12:33:26","02:14","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:33:27","02:15","K","K   Olympiakos SC Piraeus (women)",
,"12:33:27","02:15","P","[2 : 3]   P   Olympiakos SC Piraeus (women)",
,"12:33:41","02:29","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:33:42","02:30","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:33:48","02:36","RS","RS   Olympiakos SC Piraeus (women)",
,"12:33:48","02:36","B POSS","B POSS   CSM Bucuresti (women)",
,"12:33:50","02:38","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:33:52","02:40","B POSS","B POSS   CSM Bucuresti (women)",
,"12:33:58","02:46","K","K   CSM Bucuresti (women)",
,"12:33:58","02:46","P","[2 : 4]   P   CSM Bucuresti (women)",
,"12:34:10","02:59","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:34:11","02:59","SRV","SRV   CSM Bucuresti (women)",
,"12:34:16","03:04","RS","RS   CSM Bucuresti (women)",
,"12:34:17","03:05","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:34:20","03:08","B POSS","B POSS   CSM Bucuresti (women)",
,"12:34:23","03:11","B","B   Olympiakos SC Piraeus (women)",
,"12:34:23","03:11","P","[3 : 4]   P   Olympiakos SC Piraeus (women)",
,"12:34:35","03:23","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:34:35","03:24","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:34:43","03:31","S ERR","S ERR   Olympiakos SC Piraeus (women)",
,"12:34:43","03:31","P","[3 : 5]   P   CSM Bucuresti (women)",
,"12:34:58","03:46","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:34:58","03:46","SRV","SRV   CSM Bucuresti (women)",
,"12:35:03","03:52","RS","RS   CSM Bucuresti (women)",
,"12:35:04","03:52","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:35:09","03:57","B","B   CSM Bucuresti (women)",
,"12:35:09","03:57","P","[3 : 6]   P   CSM Bucuresti (women)",
,"12:35:22","04:10","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:35:24","04:12","SRV","SRV   CSM Bucuresti (women)",
,"12:35:27","04:16","RS","RS   CSM Bucuresti (women)",
,"12:35:28","04:16","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:35:32","04:20","K","K   Olympiakos SC Piraeus (women)",
,"12:35:32","04:20","P","[4 : 6]   P   Olympiakos SC Piraeus (women)",
,"12:35:50","04:38","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:35:50","04:39","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:35:53","04:41","RS","RS   Olympiakos SC Piraeus (women)",
,"12:35:53","04:41","B POSS","B POSS   CSM Bucuresti (women)",
,"12:35:57","04:45","K","K   CSM Bucuresti (women)",
,"12:35:57","04:45","P","[4 : 7]   P   CSM Bucuresti (women)",
,"12:36:09","04:58","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:36:10","04:58","SRV","SRV   CSM Bucuresti (women)",
,"12:36:15","05:04","RS","RS   CSM Bucuresti (women)",
,"12:36:16","05:04","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:36:19","05:07","B POSS","B POSS   CSM Bucuresti (women)",
,"12:36:25","05:13","ERR","ERR   Olympiakos SC Piraeus (women)",
,"12:36:25","05:13","P","[4 : 8]   P   CSM Bucuresti (women)",
,"12:36:33","05:21","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:36:33","05:22","TIME","TIME",
,"12:36:34","05:22","TTO","TTO",
,"12:37:41","06:29","SRV","SRV   CSM Bucuresti (women)",
,"12:37:47","06:36","RS","RS   CSM Bucuresti (women)",
,"12:37:48","06:36","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:37:52","06:40","B POSS","B POSS   CSM Bucuresti (women)",
,"12:37:55","06:44","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:37:59","06:47","OUT","OUT   Olympiakos SC Piraeus (women)",
,"12:37:59","06:47","P","[4 : 9]   P   CSM Bucuresti (women)",
,"12:38:10","06:58","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:38:11","06:59","SRV","SRV   CSM Bucuresti (women)",
,"12:38:18","07:06","RS","RS   CSM Bucuresti (women)",
,"12:38:18","07:07","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:38:24","07:13","B POSS","B POSS   CSM Bucuresti (women)",
,"12:38:28","07:16","ERR","ERR   CSM Bucuresti (women)",
,"12:38:28","07:16","P","[5 : 9]   P   Olympiakos SC Piraeus (women)",
,"12:38:41","07:29","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:38:41","07:30","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:38:47","07:35","RS","RS   Olympiakos SC Piraeus (women)",
,"12:38:48","07:36","B POSS","B POSS   CSM Bucuresti (women)",
,"12:38:52","07:40","OUT","OUT   CSM Bucuresti (women)",
,"12:38:52","07:40","P","[6 : 9]   P   Olympiakos SC Piraeus (women)",
,"12:39:03","07:51","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:39:04","07:52","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:39:10","07:58","S ERR","S ERR   Olympiakos SC Piraeus (women)",
,"12:39:10","07:58","P","[6 : 10]   P   CSM Bucuresti (women)",
,"12:39:22","08:10","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:39:23","08:11","SRV","SRV   CSM Bucuresti (women)",
,"12:39:28","08:16","RS","RS   CSM Bucuresti (women)",
,"12:39:28","08:17","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:39:35","08:23","K","K   Olympiakos SC Piraeus (women)",
,"12:39:35","08:23","P","[7 : 10]   P   Olympiakos SC Piraeus (women)",
,"12:39:48","08:36","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:39:48","08:37","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:39:54","08:42","RS","RS   Olympiakos SC Piraeus (women)",
,"12:39:54","08:42","B POSS","B POSS   CSM Bucuresti (women)",
,"12:39:58","08:46","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:40:02","08:51","B POSS","B POSS   CSM Bucuresti (women)",
,"12:40:10","08:58","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:40:13","09:01","B POSS","B POSS   CSM Bucuresti (women)",
,"12:40:34","09:23","Danger","Danger",
,"12:40:34","09:23","Scout offline","Scout offline",
,"12:41:15","10:04","Updating score","Updating score",
,"12:41:19","10:08","K","K   Olympiakos SC Piraeus (women)",
,"12:41:19","10:08","P","[8 : 10]   P   Olympiakos SC Piraeus (women)",
,"12:41:29","10:17","K","K   CSM Bucuresti (women)",
,"12:41:29","10:17","P","[8 : 11]   P   CSM Bucuresti (women)",
,"12:41:33","10:22","ERR","ERR   Olympiakos SC Piraeus (women)",
,"12:41:33","10:22","P","[8 : 12]   P   CSM Bucuresti (women)",
,"12:41:37","10:26","S ERR","S ERR   CSM Bucuresti (women)",
,"12:41:37","10:26","P","[9 : 12]   P   Olympiakos SC Piraeus (women)",
,"12:41:50","10:38","K","K   CSM Bucuresti (women)",
,"12:41:50","10:38","P","[9 : 13]   P   CSM Bucuresti (women)",
,"12:41:57","10:45","Score updated","Score updated",
,"12:42:00","10:48","SRV","SRV   CSM Bucuresti (women)",
,"12:42:07","10:55","RS","RS   CSM Bucuresti (women)",
,"12:42:07","10:56","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:42:11","10:59","ERR","ERR   Olympiakos SC Piraeus (women)",
,"12:42:11","10:59","P","[9 : 14]   P   CSM Bucuresti (women)",
,"12:42:23","11:11","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:42:23","11:12","TIME","TIME",
,"12:42:24","11:12","TIME","TIME   Olympiakos SC Piraeus (women)",
,"12:43:13","12:02","SRV","SRV   CSM Bucuresti (women)",
,"12:43:17","12:05","S ERR","S ERR   CSM Bucuresti (women)",
,"12:43:17","12:05","P","[10 : 14]   P   Olympiakos SC Piraeus (women)",
,"12:43:28","12:17","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:43:31","12:19","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:43:36","12:24","RS","RS   Olympiakos SC Piraeus (women)",
,"12:43:36","12:24","B POSS","B POSS   CSM Bucuresti (women)",
,"12:43:39","12:27","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:43:43","12:31","B POSS","B POSS   CSM Bucuresti (women)",
,"12:43:47","12:35","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:43:50","12:38","ERR","ERR   Olympiakos SC Piraeus (women)",
,"12:43:50","12:38","P","[10 : 15]   P   CSM Bucuresti (women)",
,"12:44:05","12:54","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:44:06","12:54","SRV","SRV   CSM Bucuresti (women)",
,"12:44:09","12:57","RS","RS   CSM Bucuresti (women)",
,"12:44:09","12:58","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:44:12","13:01","B POSS","B POSS   CSM Bucuresti (women)",
,"12:44:18","13:06","OUT","OUT   CSM Bucuresti (women)",
,"12:44:18","13:06","P","[11 : 15]   P   Olympiakos SC Piraeus (women)",
,"12:44:29","13:17","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:44:30","13:18","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:44:38","13:26","RS","RS   Olympiakos SC Piraeus (women)",
,"12:44:38","13:26","B POSS","B POSS   CSM Bucuresti (women)",
,"12:44:41","13:29","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:44:49","13:37","K","K   Olympiakos SC Piraeus (women)",
,"12:44:49","13:37","P","[12 : 15]   P   Olympiakos SC Piraeus (women)",
,"12:44:58","13:47","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:44:59","13:47","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:45:06","13:54","S ERR","S ERR   Olympiakos SC Piraeus (women)",
,"12:45:06","13:54","P","[12 : 16]   P   CSM Bucuresti (women)",
,"12:45:11","14:00","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:45:12","14:00","TIME","TIME",
,"12:45:13","14:01","TTO","TTO",
,"12:46:26","15:14","SRV","SRV   CSM Bucuresti (women)",
,"12:46:30","15:18","RS","RS   CSM Bucuresti (women)",
,"12:46:30","15:18","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:46:34","15:22","K","K   Olympiakos SC Piraeus (women)",
,"12:46:34","15:22","P","[13 : 16]   P   Olympiakos SC Piraeus (women)",
,"12:46:50","15:38","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:46:50","15:38","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:46:56","15:44","RS","RS   Olympiakos SC Piraeus (women)",
,"12:46:56","15:44","B POSS","B POSS   CSM Bucuresti (women)",
,"12:46:58","15:47","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:47:01","15:50","K","K   Olympiakos SC Piraeus (women)",
,"12:47:01","15:50","P","[14 : 16]   P   Olympiakos SC Piraeus (women)",
,"12:47:14","16:02","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:47:14","16:03","TIME","TIME",
,"12:47:15","16:03","TIME","TIME   CSM Bucuresti (women)",
,"12:47:55","16:43","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:47:58","16:47","RS","RS   Olympiakos SC Piraeus (women)",
,"12:47:59","16:47","B POSS","B POSS   CSM Bucuresti (women)",
,"12:48:02","16:50","K","K   CSM Bucuresti (women)",
,"12:48:02","16:50","P","[14 : 17]   P   CSM Bucuresti (women)",
,"12:48:17","17:05","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:48:17","17:06","SRV","SRV   CSM Bucuresti (women)",
,"12:48:21","17:10","RS","RS   CSM Bucuresti (women)",
,"12:48:22","17:10","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:48:26","17:14","B POSS","B POSS   CSM Bucuresti (women)",
,"12:48:30","17:18","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:48:37","17:26","K","K   Olympiakos SC Piraeus (women)",
,"12:48:37","17:26","P","[15 : 17]   P   Olympiakos SC Piraeus (women)",
,"12:48:51","17:39","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:48:51","17:39","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:48:58","17:46","RS","RS   Olympiakos SC Piraeus (women)",
,"12:48:59","17:47","B POSS","B POSS   CSM Bucuresti (women)",
,"12:49:00","17:48","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:49:03","17:51","B POSS","B POSS   CSM Bucuresti (women)",
,"12:49:06","17:54","K","K   CSM Bucuresti (women)",
,"12:49:06","17:54","P","[15 : 18]   P   CSM Bucuresti (women)",
,"12:49:22","18:10","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:49:22","18:11","SRV","SRV   CSM Bucuresti (women)",
,"12:49:27","18:15","RS","RS   CSM Bucuresti (women)",
,"12:49:27","18:16","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:49:30","18:18","ERR","ERR   Olympiakos SC Piraeus (women)",
,"12:49:30","18:18","P","[15 : 19]   P   CSM Bucuresti (women)",
,"12:49:44","18:32","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:49:44","18:32","SRV","SRV   CSM Bucuresti (women)",
,"12:49:49","18:37","RS","RS   CSM Bucuresti (women)",
,"12:49:49","18:37","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:49:53","18:41","B POSS","B POSS   CSM Bucuresti (women)",
,"12:49:57","18:46","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:50:01","18:49","K","K   Olympiakos SC Piraeus (women)",
,"12:50:01","18:49","P","[16 : 19]   P   Olympiakos SC Piraeus (women)",
,"12:50:17","19:05","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:50:17","19:06","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:50:23","19:11","RS","RS   Olympiakos SC Piraeus (women)",
,"12:50:23","19:11","B POSS","B POSS   CSM Bucuresti (women)",
,"12:50:28","19:16","K","K   CSM Bucuresti (women)",
,"12:50:28","19:16","P","[16 : 20]   P   CSM Bucuresti (women)",
,"12:50:46","19:34","Pt Conf","Pt Conf   CSM Bucuresti (women)",
