"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883944","Friendly","Plovdiv Cup (women)","03.10.2017 - 15:00","Maritza Plovdiv (women)","CS Dinamo Bucuresti (women)",
"Statistics","Maritza Plovdiv (women)","Type","CS Dinamo Bucuresti (women)",
,"3","Score","2",
,"98","Points","92",
,"3","Sets","2",
,"5","Aces","6",
,"12","Service errors","9",
,"60","Kills","50",
,"12","Blocks","7",
,"7","Errors","7",
,"10","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:25:52","00:00","Game conditions changed","Game conditions changed",
,"14:25:53","00:00","Players warming up","Players warming up",
,"15:45:18","00:00","Coin flipping","Coin flipping",
,"15:48:37","00:00","Warm up at the net","Warm up at the net",
,"15:49:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:49:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:58:48","00:00","Players lined up","Players lined up",
,"15:59:27","00:00","Shake hands","Shake hands",
,"16:00:10","00:00","Players intro","Players intro",
,"16:01:46","00:00","Game about to start","Game about to start",
,"16:02:31","00:00","Start SRV","Start SRV   CS Dinamo Bucuresti (women)",
,"16:02:48","00:00","Start 1st Set","Start 1st Set",
,"16:02:48","00:00","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:02:53","00:05","RS","RS   CS Dinamo Bucuresti (women)",
,"16:02:54","00:05","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:02:57","00:08","K","K   Maritza Plovdiv (women)",
,"16:02:57","00:08","P","[1 : 0]   P   Maritza Plovdiv (women)",
,"16:03:11","00:23","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:03:12","00:23","SRV","SRV   Maritza Plovdiv (women)",
,"16:03:17","00:29","RS","RS   Maritza Plovdiv (women)",
,"16:03:18","00:30","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:03:22","00:33","K","K   CS Dinamo Bucuresti (women)",
,"16:03:22","00:33","P","[1 : 1]   P   CS Dinamo Bucuresti (women)",
,"16:03:36","00:48","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:03:37","00:48","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:03:42","00:54","RS","RS   CS Dinamo Bucuresti (women)",
,"16:03:43","00:54","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:03:49","01:01","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:04:00","01:11","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:04:05","01:16","K","K   Maritza Plovdiv (women)",
,"16:04:05","01:16","P","[2 : 1]   P   Maritza Plovdiv (women)",
,"16:04:27","01:38","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:04:27","01:39","SRV","SRV   Maritza Plovdiv (women)",
,"16:04:33","01:44","RS","RS   Maritza Plovdiv (women)",
,"16:04:33","01:45","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:04:37","01:48","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:04:42","01:53","K","K   Maritza Plovdiv (women)",
,"16:04:42","01:53","P","[3 : 1]   P   Maritza Plovdiv (women)",
,"16:04:58","02:10","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:04:58","02:10","SRV","SRV   Maritza Plovdiv (women)",
,"16:05:05","02:16","S ERR","S ERR   Maritza Plovdiv (women)",
,"16:05:05","02:16","P","[3 : 2]   P   CS Dinamo Bucuresti (women)",
,"16:05:19","02:30","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:05:19","02:31","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:05:24","02:36","RS","RS   CS Dinamo Bucuresti (women)",
,"16:05:25","02:36","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:05:28","02:40","K","K   Maritza Plovdiv (women)",
,"16:05:28","02:40","P","[4 : 2]   P   Maritza Plovdiv (women)",
,"16:05:42","02:54","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:05:42","02:54","SRV","SRV   Maritza Plovdiv (women)",
,"16:05:47","02:59","RS","RS   Maritza Plovdiv (women)",
,"16:05:47","02:59","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:05:52","03:04","K","K   CS Dinamo Bucuresti (women)",
,"16:05:52","03:04","P","[4 : 3]   P   CS Dinamo Bucuresti (women)",
,"16:06:08","03:20","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:06:08","03:20","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:06:14","03:26","RS","RS   CS Dinamo Bucuresti (women)",
,"16:06:15","03:27","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:06:17","03:28","K","K   Maritza Plovdiv (women)",
,"16:06:17","03:28","P","[5 : 3]   P   Maritza Plovdiv (women)",
,"16:06:33","03:44","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:06:33","03:45","SRV","SRV   Maritza Plovdiv (women)",
,"16:06:37","03:49","RS","RS   Maritza Plovdiv (women)",
,"16:06:38","03:49","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:06:45","03:57","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:06:50","04:02","K","K   Maritza Plovdiv (women)",
,"16:06:50","04:02","P","[6 : 3]   P   Maritza Plovdiv (women)",
,"16:07:05","04:17","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:07:05","04:17","SRV","SRV   Maritza Plovdiv (women)",
,"16:07:10","04:22","RS","RS   Maritza Plovdiv (women)",
,"16:07:11","04:22","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:07:17","04:29","K","K   CS Dinamo Bucuresti (women)",
,"16:07:17","04:29","P","[6 : 4]   P   CS Dinamo Bucuresti (women)",
,"16:07:30","04:42","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:07:30","04:42","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:07:34","04:46","A","A   CS Dinamo Bucuresti (women)",
,"16:07:34","04:46","P","[6 : 5]   P   CS Dinamo Bucuresti (women)",
,"16:07:47","04:59","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:07:48","04:59","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:07:51","05:03","RS","RS   CS Dinamo Bucuresti (women)",
,"16:07:51","05:03","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:07:59","05:10","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:08:02","05:14","ERR","ERR   Maritza Plovdiv (women)",
,"16:08:02","05:14","P","[6 : 6]   P   CS Dinamo Bucuresti (women)",
,"16:08:15","05:27","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:08:16","05:27","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:08:19","05:31","RS","RS   CS Dinamo Bucuresti (women)",
,"16:08:20","05:31","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:08:24","05:36","OUT","OUT   Maritza Plovdiv (women)",
,"16:08:24","05:36","P","[6 : 7]   P   CS Dinamo Bucuresti (women)",
,"16:08:37","05:49","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:08:38","05:49","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:08:42","05:53","RS","RS   CS Dinamo Bucuresti (women)",
,"16:08:42","05:54","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:08:45","05:57","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:08:48","06:00","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:08:54","06:06","K","K   Maritza Plovdiv (women)",
,"16:08:54","06:06","P","[7 : 7]   P   Maritza Plovdiv (women)",
,"16:09:10","06:22","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:09:11","06:23","SRV","SRV   Maritza Plovdiv (women)",
,"16:09:15","06:27","RS","RS   Maritza Plovdiv (women)",
,"16:09:16","06:27","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:09:20","06:32","K","K   CS Dinamo Bucuresti (women)",
,"16:09:20","06:32","P","[7 : 8]   P   CS Dinamo Bucuresti (women)",
,"16:09:30","06:41","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:09:30","06:42","TIME","TIME",
,"16:09:31","06:43","TTO","TTO",
,"16:10:39","07:50","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:10:48","07:59","RS","RS   CS Dinamo Bucuresti (women)",
,"16:10:48","08:00","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:10:50","08:02","B","B   CS Dinamo Bucuresti (women)",
,"16:10:50","08:02","P","[7 : 9]   P   CS Dinamo Bucuresti (women)",
,"16:11:04","08:15","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:11:04","08:16","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:11:11","08:23","RS","RS   CS Dinamo Bucuresti (women)",
,"16:11:12","08:23","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:11:18","08:30","B","B   CS Dinamo Bucuresti (women)",
,"16:11:18","08:30","P","[7 : 10]   P   CS Dinamo Bucuresti (women)",
,"16:11:36","08:47","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:11:36","08:48","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:11:41","08:52","RS","RS   CS Dinamo Bucuresti (women)",
,"16:11:41","08:53","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:11:51","09:03","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:11:57","09:08","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:12:02","09:14","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:12:04","09:16","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:12:08","09:20","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:12:08","09:20","Rally over 5 possession changes","Rally over 5 possession changes",
,"16:12:17","09:29","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:12:19","09:30","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:12:23","09:34","K","K   CS Dinamo Bucuresti (women)",
,"16:12:23","09:34","P","[7 : 11]   P   CS Dinamo Bucuresti (women)",
,"16:12:36","09:48","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:12:37","09:48","TIME","TIME",
,"16:12:37","09:49","TIME","TIME   Maritza Plovdiv (women)",
,"16:13:21","10:33","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:13:27","10:39","RS","RS   CS Dinamo Bucuresti (women)",
,"16:13:28","10:39","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:13:29","10:40","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:13:31","10:43","K","K   CS Dinamo Bucuresti (women)",
,"16:13:31","10:43","P","[7 : 12]   P   CS Dinamo Bucuresti (women)",
,"16:13:44","10:56","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:13:45","10:57","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:13:50","11:01","RS","RS   CS Dinamo Bucuresti (women)",
,"16:13:50","11:02","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:13:54","11:05","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:13:58","11:10","K","K   CS Dinamo Bucuresti (women)",
,"16:13:58","11:10","P","[7 : 13]   P   CS Dinamo Bucuresti (women)",
,"16:14:16","11:28","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:14:17","11:28","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:14:24","11:35","RS","RS   CS Dinamo Bucuresti (women)",
,"16:14:24","11:36","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:14:31","11:42","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:14:36","11:48","K","K   CS Dinamo Bucuresti (women)",
,"16:14:36","11:48","P","[7 : 14]   P   CS Dinamo Bucuresti (women)",
,"16:14:46","11:57","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:14:46","11:58","TIME","TIME",
,"16:14:47","11:59","TIME","TIME   Maritza Plovdiv (women)",
,"16:15:37","12:49","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:15:45","12:56","RS","RS   CS Dinamo Bucuresti (women)",
,"16:15:45","12:57","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:15:47","12:58","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:15:52","13:04","B","B   Maritza Plovdiv (women)",
,"16:15:52","13:04","P","[8 : 14]   P   Maritza Plovdiv (women)",
,"16:16:08","13:19","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:16:08","13:20","SRV","SRV   Maritza Plovdiv (women)",
,"16:16:14","13:26","RS","RS   Maritza Plovdiv (women)",
,"16:16:15","13:26","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:16:15","13:26","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:16:21","13:33","OUT","OUT   Maritza Plovdiv (women)",
,"16:16:21","13:33","P","[8 : 15]   P   CS Dinamo Bucuresti (women)",
,"16:16:32","13:44","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:16:33","13:44","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:16:35","13:47","RS","RS   CS Dinamo Bucuresti (women)",
,"16:16:36","13:47","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:16:39","13:50","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:16:41","13:53","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:16:45","13:56","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:16:49","14:01","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:16:53","14:04","K","K   Maritza Plovdiv (women)",
,"16:16:53","14:04","P","[9 : 15]   P   Maritza Plovdiv (women)",
,"16:17:09","14:21","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:17:10","14:22","SRV","SRV   Maritza Plovdiv (women)",
,"16:17:15","14:26","RS","RS   Maritza Plovdiv (women)",
,"16:17:15","14:27","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:17:18","14:30","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:17:25","14:37","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:17:29","14:40","K","K   CS Dinamo Bucuresti (women)",
,"16:17:29","14:40","P","[9 : 16]   P   CS Dinamo Bucuresti (women)",
,"16:17:36","14:48","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:17:37","14:49","TIME","TIME",
,"16:17:38","14:49","TTO","TTO",
,"16:18:49","16:00","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:18:55","16:07","RS","RS   CS Dinamo Bucuresti (women)",
,"16:18:56","16:08","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:18:57","16:09","K","K   Maritza Plovdiv (women)",
,"16:18:57","16:09","P","[10 : 16]   P   Maritza Plovdiv (women)",
,"16:19:16","16:27","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:19:16","16:28","SRV","SRV   Maritza Plovdiv (women)",
,"16:19:22","16:33","RS","RS   Maritza Plovdiv (women)",
,"16:19:22","16:34","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:19:29","16:40","ERR","ERR   CS Dinamo Bucuresti (women)",
,"16:19:29","16:40","P","[11 : 16]   P   Maritza Plovdiv (women)",
,"16:19:43","16:55","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:19:43","16:55","SRV","SRV   Maritza Plovdiv (women)",
,"16:19:46","16:58","S ERR","S ERR   Maritza Plovdiv (women)",
,"16:19:46","16:58","P","[11 : 17]   P   CS Dinamo Bucuresti (women)",
,"16:20:02","17:14","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:20:03","17:14","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:20:07","17:18","RS","RS   CS Dinamo Bucuresti (women)",
,"16:20:07","17:19","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:20:12","17:23","K","K   Maritza Plovdiv (women)",
,"16:20:12","17:23","P","[12 : 17]   P   Maritza Plovdiv (women)",
,"16:20:44","17:56","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"16:20:45","17:56","SRV","SRV   Maritza Plovdiv (women)",
,"16:20:53","18:04","RS","RS   Maritza Plovdiv (women)",
,"16:20:53","18:05","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"16:20:58","18:10","K","K   CS Dinamo Bucuresti (women)",
,"16:20:58","18:10","P","[12 : 18]   P   CS Dinamo Bucuresti (women)",
,"16:21:11","18:22","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"16:21:11","18:23","SRV","SRV   CS Dinamo Bucuresti (women)",
,"16:21:18","18:30","RS","RS   CS Dinamo Bucuresti (women)",
,"16:21:19","18:30","B POSS","B POSS   Maritza Plovdiv (women)",
,"16:21:21","18:33","B POSS","B POSS   CS Dinamo Bucuresti (women)",
