"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883783","Vietnam","Premier League U20 (men)","03.10.2017 - 04:30","Cong An TP HCM U20","VLXD Binh Duong U20",
"Statistics","Cong An TP HCM U20","Type","VLXD Binh Duong U20",
,"0","Score","3",
,"53","Points","75",
,"0","Sets","3",
,"3","Aces","5",
,"2","Service errors","7",
,"34","Kills","52",
,"2","Blocks","2",
,"6","Errors","2",
,"8","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:58:49","00:00","Game conditions changed","Game conditions changed",
,"03:58:57","00:00","Players warming up","Players warming up",
,"04:34:04","00:00","Jersey colours updated","Jersey colours updated",
,"04:34:05","00:00","Jersey colours updated","Jersey colours updated",
,"04:36:02","00:00","Coin flipping","Coin flipping",
,"04:37:49","00:00","Players lined up","Players lined up",
,"04:37:51","00:00","Shake hands","Shake hands",
,"04:47:40","00:00","Warm up at the net","Warm up at the net",
,"05:03:00","00:00","Players intro","Players intro",
,"05:04:12","00:00","Game about to start","Game about to start",
,"05:04:22","00:00","Start SRV","Start SRV   VLXD Binh Duong U20",
,"05:04:23","00:00","Start 1st Set","Start 1st Set",
,"05:04:23","00:00","SRV","SRV   VLXD Binh Duong U20",
,"05:04:26","00:02","RS","RS   VLXD Binh Duong U20",
,"05:04:27","00:03","B POSS","B POSS   Cong An TP HCM U20",
,"05:04:31","00:08","K","K   Cong An TP HCM U20",
,"05:04:31","00:08","P","[1 : 0]   P   Cong An TP HCM U20",
,"05:04:51","00:28","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:04:53","00:29","SRV","SRV   Cong An TP HCM U20",
,"05:04:55","00:31","RS","RS   Cong An TP HCM U20",
,"05:04:55","00:32","B POSS","B POSS   VLXD Binh Duong U20",
,"05:05:01","00:38","K","K   Cong An TP HCM U20",
,"05:05:01","00:38","P","[2 : 0]   P   Cong An TP HCM U20",
,"05:05:22","00:58","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:05:22","00:58","SRV","SRV   Cong An TP HCM U20",
,"05:05:24","01:00","RS","RS   Cong An TP HCM U20",
,"05:05:25","01:01","B POSS","B POSS   VLXD Binh Duong U20",
,"05:05:33","01:09","K","K   Cong An TP HCM U20",
,"05:05:33","01:09","P","[3 : 0]   P   Cong An TP HCM U20",
,"05:05:57","01:33","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:05:58","01:34","SRV","SRV   Cong An TP HCM U20",
,"05:05:59","01:35","RS","RS   Cong An TP HCM U20",
,"05:06:00","01:36","B POSS","B POSS   VLXD Binh Duong U20",
,"05:06:02","01:38","ERR","ERR   Cong An TP HCM U20",
,"05:06:02","01:38","P","[3 : 1]   P   VLXD Binh Duong U20",
,"05:06:29","02:05","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:06:30","02:06","SRV","SRV   VLXD Binh Duong U20",
,"05:06:31","02:08","RS","RS   VLXD Binh Duong U20",
,"05:06:31","02:08","B POSS","B POSS   Cong An TP HCM U20",
,"05:06:32","02:09","OUT","OUT   Cong An TP HCM U20",
,"05:06:32","02:09","P","[3 : 2]   P   VLXD Binh Duong U20",
,"05:06:47","02:24","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:06:48","02:25","SRV","SRV   VLXD Binh Duong U20",
,"05:06:50","02:27","RS","RS   VLXD Binh Duong U20",
,"05:06:51","02:28","B POSS","B POSS   Cong An TP HCM U20",
,"05:06:53","02:29","K","K   Cong An TP HCM U20",
,"05:06:53","02:29","P","[4 : 2]   P   Cong An TP HCM U20",
,"05:07:10","02:46","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:07:12","02:48","SRV","SRV   Cong An TP HCM U20",
,"05:07:12","02:48","RS","RS   Cong An TP HCM U20",
,"05:07:12","02:48","B POSS","B POSS   VLXD Binh Duong U20",
,"05:07:13","02:50","K","K   VLXD Binh Duong U20",
,"05:07:13","02:50","P","[4 : 3]   P   VLXD Binh Duong U20",
,"05:07:32","03:09","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:07:33","03:10","SRV","SRV   VLXD Binh Duong U20",
,"05:07:35","03:12","RS","RS   VLXD Binh Duong U20",
,"05:07:36","03:13","B POSS","B POSS   Cong An TP HCM U20",
,"05:07:38","03:14","K","K   Cong An TP HCM U20",
,"05:07:38","03:14","P","[5 : 3]   P   Cong An TP HCM U20",
,"05:07:52","03:29","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:07:53","03:30","SRV","SRV   Cong An TP HCM U20",
,"05:07:54","03:31","RS","RS   Cong An TP HCM U20",
,"05:07:55","03:32","B POSS","B POSS   VLXD Binh Duong U20",
,"05:07:56","03:33","K","K   VLXD Binh Duong U20",
,"05:07:56","03:33","P","[5 : 4]   P   VLXD Binh Duong U20",
,"05:08:23","04:00","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:08:23","04:00","SRV","SRV   VLXD Binh Duong U20",
,"05:08:23","04:00","RS","RS   VLXD Binh Duong U20",
,"05:08:23","04:00","B POSS","B POSS   Cong An TP HCM U20",
,"05:08:23","04:00","K","K   VLXD Binh Duong U20",
,"05:08:23","04:00","P","[5 : 5]   P   VLXD Binh Duong U20",
,"05:08:43","04:20","Danger","Danger",
,"05:08:43","04:20","Scout offline","Scout offline",
,"05:09:15","04:51","Updating score","Updating score",
,"05:09:18","04:54","K","K   VLXD Binh Duong U20",
,"05:09:18","04:54","P","[5 : 6]   P   VLXD Binh Duong U20",
,"05:09:21","04:57","K","K   Cong An TP HCM U20",
,"05:09:21","04:57","P","[6 : 6]   P   Cong An TP HCM U20",
,"05:09:29","05:05","A","A   Cong An TP HCM U20",
,"05:09:29","05:05","P","[7 : 6]   P   Cong An TP HCM U20",
,"05:09:32","05:09","Score updated","Score updated",
,"05:09:43","05:20","SRV","SRV   Cong An TP HCM U20",
,"05:09:45","05:21","RS","RS   Cong An TP HCM U20",
,"05:09:46","05:22","B POSS","B POSS   VLXD Binh Duong U20",
,"05:09:47","05:23","K","K   VLXD Binh Duong U20",
,"05:09:47","05:23","P","[7 : 7]   P   VLXD Binh Duong U20",
,"05:09:59","05:35","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:10:03","05:40","SRV","SRV   VLXD Binh Duong U20",
,"05:10:05","05:41","RS","RS   VLXD Binh Duong U20",
,"05:10:05","05:42","B POSS","B POSS   Cong An TP HCM U20",
,"05:10:09","05:45","K","K   Cong An TP HCM U20",
,"05:10:09","05:45","P","[8 : 7]   P   Cong An TP HCM U20",
,"05:10:25","06:01","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:10:25","06:01","SRV","SRV   Cong An TP HCM U20",
,"05:10:26","06:02","RS","RS   Cong An TP HCM U20",
,"05:10:26","06:02","B POSS","B POSS   VLXD Binh Duong U20",
,"05:10:33","06:09","K","K   VLXD Binh Duong U20",
,"05:10:33","06:09","P","[8 : 8]   P   VLXD Binh Duong U20",
,"05:10:50","06:26","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:10:51","06:28","SRV","SRV   VLXD Binh Duong U20",
,"05:10:53","06:29","RS","RS   VLXD Binh Duong U20",
,"05:10:54","06:30","B POSS","B POSS   Cong An TP HCM U20",
,"05:11:08","06:45","K","K   Cong An TP HCM U20",
,"05:11:08","06:45","P","[9 : 8]   P   Cong An TP HCM U20",
,"05:11:28","07:05","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:11:28","07:05","SRV","SRV   Cong An TP HCM U20",
,"05:11:30","07:07","RS","RS   Cong An TP HCM U20",
,"05:11:31","07:07","B POSS","B POSS   VLXD Binh Duong U20",
,"05:11:35","07:11","K","K   VLXD Binh Duong U20",
,"05:11:35","07:11","P","[9 : 9]   P   VLXD Binh Duong U20",
,"05:11:51","07:27","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:11:53","07:29","SRV","SRV   VLXD Binh Duong U20",
,"05:11:54","07:31","RS","RS   VLXD Binh Duong U20",
,"05:11:55","07:32","B POSS","B POSS   Cong An TP HCM U20",
,"05:11:56","07:32","K","K   Cong An TP HCM U20",
,"05:11:56","07:32","P","[10 : 9]   P   Cong An TP HCM U20",
,"05:12:16","07:53","Danger","Danger",
,"05:12:16","07:53","Scout offline","Scout offline",
,"05:12:55","08:31","Updating score","Updating score",
,"05:12:57","08:33","K","K   Cong An TP HCM U20",
,"05:12:57","08:33","P","[11 : 9]   P   Cong An TP HCM U20",
,"05:13:00","08:36","K","K   VLXD Binh Duong U20",
,"05:13:00","08:36","P","[11 : 10]   P   VLXD Binh Duong U20",
,"05:13:01","08:38","Score updated","Score updated",
,"05:13:03","08:40","SRV","SRV   VLXD Binh Duong U20",
,"05:13:04","08:40","RS","RS   VLXD Binh Duong U20",
,"05:13:04","08:41","B POSS","B POSS   Cong An TP HCM U20",
,"05:13:08","08:45","B","B   VLXD Binh Duong U20",
,"05:13:08","08:45","P","[11 : 11]   P   VLXD Binh Duong U20",
,"05:13:23","09:00","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:13:26","09:02","SRV","SRV   VLXD Binh Duong U20",
,"05:13:28","09:05","RS","RS   VLXD Binh Duong U20",
,"05:13:29","09:05","B POSS","B POSS   Cong An TP HCM U20",
,"05:13:30","09:07","OUT","OUT   Cong An TP HCM U20",
,"05:13:30","09:07","P","[11 : 12]   P   VLXD Binh Duong U20",
,"05:13:46","09:23","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:13:47","09:24","SRV","SRV   VLXD Binh Duong U20",
,"05:13:49","09:25","RS","RS   VLXD Binh Duong U20",
,"05:13:50","09:26","B POSS","B POSS   Cong An TP HCM U20",
,"05:13:53","09:29","OUT","OUT   Cong An TP HCM U20",
,"05:13:53","09:29","P","[11 : 13]   P   VLXD Binh Duong U20",
,"05:14:05","09:41","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:14:06","09:43","TIME","TIME",
,"05:14:08","09:44","TIME","TIME   Cong An TP HCM U20",
,"05:14:56","10:32","SRV","SRV   VLXD Binh Duong U20",
,"05:14:58","10:35","RS","RS   VLXD Binh Duong U20",
,"05:14:59","10:36","B POSS","B POSS   Cong An TP HCM U20",
,"05:15:03","10:40","OUT","OUT   Cong An TP HCM U20",
,"05:15:03","10:40","P","[11 : 14]   P   VLXD Binh Duong U20",
,"05:15:19","10:55","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:15:21","10:57","SRV","SRV   VLXD Binh Duong U20",
,"05:15:23","11:00","RS","RS   VLXD Binh Duong U20",
,"05:15:24","11:01","B POSS","B POSS   Cong An TP HCM U20",
,"05:15:25","11:02","ERR","ERR   Cong An TP HCM U20",
,"05:15:25","11:02","P","[11 : 15]   P   VLXD Binh Duong U20",
,"05:16:01","11:37","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:16:02","11:38","SRV","SRV   VLXD Binh Duong U20",
,"05:16:05","11:41","RS","RS   VLXD Binh Duong U20",
,"05:16:06","11:43","B POSS","B POSS   Cong An TP HCM U20",
,"05:16:09","11:45","K","K   Cong An TP HCM U20",
,"05:16:09","11:45","P","[12 : 15]   P   Cong An TP HCM U20",
,"05:16:21","11:57","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:16:22","11:58","SRV","SRV   Cong An TP HCM U20",
,"05:16:24","12:00","RS","RS   Cong An TP HCM U20",
,"05:16:24","12:01","B POSS","B POSS   VLXD Binh Duong U20",
,"05:16:25","12:02","K","K   VLXD Binh Duong U20",
,"05:16:25","12:02","P","[12 : 16]   P   VLXD Binh Duong U20",
,"05:16:43","12:19","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:16:44","12:21","SRV","SRV   VLXD Binh Duong U20",
,"05:16:46","12:23","RS","RS   VLXD Binh Duong U20",
,"05:16:47","12:24","B POSS","B POSS   Cong An TP HCM U20",
,"05:17:03","12:39","K","K   VLXD Binh Duong U20",
,"05:17:03","12:39","P","[12 : 17]   P   VLXD Binh Duong U20",
,"05:17:19","12:56","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:17:20","12:57","SRV","SRV   VLXD Binh Duong U20",
,"05:17:23","13:00","RS","RS   VLXD Binh Duong U20",
,"05:17:24","13:00","B POSS","B POSS   Cong An TP HCM U20",
,"05:17:28","13:04","K","K   VLXD Binh Duong U20",
,"05:17:28","13:04","P","[12 : 18]   P   VLXD Binh Duong U20",
,"05:17:48","13:24","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:17:51","13:27","SRV","SRV   VLXD Binh Duong U20",
,"05:17:54","13:30","RS","RS   VLXD Binh Duong U20",
,"05:17:54","13:31","B POSS","B POSS   Cong An TP HCM U20",
,"05:18:00","13:36","K","K   Cong An TP HCM U20",
,"05:18:00","13:36","P","[13 : 18]   P   Cong An TP HCM U20",
,"05:18:14","13:51","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:18:19","13:55","SRV","SRV   Cong An TP HCM U20",
,"05:18:19","13:55","RS","RS   Cong An TP HCM U20",
,"05:18:19","13:55","B POSS","B POSS   VLXD Binh Duong U20",
,"05:18:19","13:56","K","K   VLXD Binh Duong U20",
,"05:18:19","13:56","P","[13 : 19]   P   VLXD Binh Duong U20",
,"05:18:39","14:15","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:18:40","14:17","SRV","SRV   VLXD Binh Duong U20",
,"05:18:42","14:19","RS","RS   VLXD Binh Duong U20",
,"05:18:43","14:20","B POSS","B POSS   Cong An TP HCM U20",
,"05:18:50","14:26","ERR","ERR   Cong An TP HCM U20",
,"05:18:50","14:26","P","[13 : 20]   P   VLXD Binh Duong U20",
,"05:19:09","14:45","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:19:09","14:45","SRV","SRV   VLXD Binh Duong U20",
,"05:19:11","14:48","A","A   VLXD Binh Duong U20",
,"05:19:11","14:48","P","[13 : 21]   P   VLXD Binh Duong U20",
,"05:19:27","15:04","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:19:28","15:04","SRV","SRV   VLXD Binh Duong U20",
,"05:19:29","15:06","S ERR","S ERR   VLXD Binh Duong U20",
,"05:19:29","15:06","P","[14 : 21]   P   Cong An TP HCM U20",
,"05:19:41","15:18","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:19:43","15:19","SRV","SRV   Cong An TP HCM U20",
,"05:19:44","15:20","RS","RS   Cong An TP HCM U20",
,"05:19:44","15:21","B POSS","B POSS   VLXD Binh Duong U20",
,"05:19:51","15:27","K","K   Cong An TP HCM U20",
,"05:19:51","15:27","P","[15 : 21]   P   Cong An TP HCM U20",
,"05:20:00","15:36","Correct statistics","Correct statistics   (K Cong An TP HCM U20 <=> ERR VLXD Binh Duong U20)",
,"05:20:00","15:36","ERR","ERR   VLXD Binh Duong U20",
,"05:20:15","15:52","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:20:16","15:53","SRV","SRV   Cong An TP HCM U20",
,"05:20:16","15:53","RS","RS   Cong An TP HCM U20",
,"05:20:16","15:53","B POSS","B POSS   VLXD Binh Duong U20",
,"05:20:17","15:53","K","K   VLXD Binh Duong U20",
,"05:20:17","15:53","P","[15 : 22]   P   VLXD Binh Duong U20",
,"05:20:30","16:06","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"05:20:33","16:10","SRV","SRV   VLXD Binh Duong U20",
,"05:20:34","16:11","RS","RS   VLXD Binh Duong U20",
,"05:20:34","16:11","B POSS","B POSS   Cong An TP HCM U20",
,"05:20:39","16:15","K","K   VLXD Binh Duong U20",
,"05:20:39","16:15","P","[15 : 23]   P   VLXD Binh Duong U20",
,"05:20:59","16:35","Pt Conf","Pt Conf   VLXD Binh Duong U20",
