"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883780","Vietnam","Premier League U20 (men)","03.10.2017 - 12:00","Bien Phong U20","Quan Doan 4 U20",
"Statistics","Bien Phong U20","Type","Quan Doan 4 U20",
,"3","Score","0",
,"76","Points","65",
,"3","Sets","0",
,"2","Aces","5",
,"8","Service errors","3",
,"57","Kills","40",
,"5","Blocks","4",
,"5","Errors","4",
,"3","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:22:02","00:00","Game conditions changed","Game conditions changed",
,"11:56:12","00:00","Players warming up","Players warming up",
,"11:56:36","00:00","Coin flipping","Coin flipping",
,"11:57:00","00:00","Jersey colours updated","Jersey colours updated",
,"11:57:01","00:00","Jersey colours updated","Jersey colours updated",
,"12:07:34","00:00","Warm up at the net","Warm up at the net",
,"12:15:27","00:00","Players intro","Players intro",
,"12:16:43","00:00","Game about to start","Game about to start",
,"12:16:44","00:00","Start SRV","Start SRV   Quan Doan 4 U20",
,"12:16:53","00:00","Start 1st Set","Start 1st Set",
,"12:16:54","00:01","SRV","SRV   Quan Doan 4 U20",
,"12:16:56","00:02","RS","RS   Quan Doan 4 U20",
,"12:16:56","00:02","B POSS","B POSS   Bien Phong U20",
,"12:16:57","00:03","K","K   Bien Phong U20",
,"12:16:57","00:03","P","[1 : 0]   P   Bien Phong U20",
,"12:17:16","00:23","Pt Conf","Pt Conf   Bien Phong U20",
,"12:17:17","00:24","SRV","SRV   Bien Phong U20",
,"12:17:19","00:25","RS","RS   Bien Phong U20",
,"12:17:20","00:27","B POSS","B POSS   Quan Doan 4 U20",
,"12:17:25","00:31","K","K   Quan Doan 4 U20",
,"12:17:25","00:31","P","[1 : 1]   P   Quan Doan 4 U20",
,"12:17:47","00:54","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:17:48","00:55","SRV","SRV   Quan Doan 4 U20",
,"12:17:50","00:56","RS","RS   Quan Doan 4 U20",
,"12:17:50","00:56","B POSS","B POSS   Bien Phong U20",
,"12:17:54","01:01","K","K   Bien Phong U20",
,"12:17:54","01:01","P","[2 : 1]   P   Bien Phong U20",
,"12:18:13","01:19","Pt Conf","Pt Conf   Bien Phong U20",
,"12:18:14","01:20","SRV","SRV   Bien Phong U20",
,"12:18:15","01:21","RS","RS   Bien Phong U20",
,"12:18:16","01:22","B POSS","B POSS   Quan Doan 4 U20",
,"12:18:34","01:41","K","K   Bien Phong U20",
,"12:18:34","01:41","P","[3 : 1]   P   Bien Phong U20",
,"12:18:48","01:54","Pt Conf","Pt Conf   Bien Phong U20",
,"12:18:49","01:55","SRV","SRV   Bien Phong U20",
,"12:18:52","01:58","A","A   Bien Phong U20",
,"12:18:52","01:58","P","[4 : 1]   P   Bien Phong U20",
,"12:19:09","02:16","Pt Conf","Pt Conf   Bien Phong U20",
,"12:19:10","02:16","SRV","SRV   Bien Phong U20",
,"12:19:12","02:19","RS","RS   Bien Phong U20",
,"12:19:13","02:20","B POSS","B POSS   Quan Doan 4 U20",
,"12:19:21","02:27","K","K   Quan Doan 4 U20",
,"12:19:21","02:27","P","[4 : 2]   P   Quan Doan 4 U20",
,"12:19:39","02:45","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:19:40","02:46","SRV","SRV   Quan Doan 4 U20",
,"12:19:41","02:48","A","A   Quan Doan 4 U20",
,"12:19:41","02:48","P","[4 : 3]   P   Quan Doan 4 U20",
,"12:19:56","03:02","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:19:57","03:03","SRV","SRV   Quan Doan 4 U20",
,"12:19:59","03:05","S ERR","S ERR   Quan Doan 4 U20",
,"12:19:59","03:05","P","[5 : 3]   P   Bien Phong U20",
,"12:20:09","03:16","Pt Conf","Pt Conf   Bien Phong U20",
,"12:20:11","03:17","SRV","SRV   Bien Phong U20",
,"12:20:12","03:18","RS","RS   Bien Phong U20",
,"12:20:13","03:19","B POSS","B POSS   Quan Doan 4 U20",
,"12:20:14","03:20","K","K   Quan Doan 4 U20",
,"12:20:14","03:20","P","[5 : 4]   P   Quan Doan 4 U20",
,"12:20:26","03:32","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:20:27","03:34","SRV","SRV   Quan Doan 4 U20",
,"12:20:29","03:35","RS","RS   Quan Doan 4 U20",
,"12:20:30","03:36","B POSS","B POSS   Bien Phong U20",
,"12:20:42","03:49","K","K   Bien Phong U20",
,"12:20:42","03:49","P","[6 : 4]   P   Bien Phong U20",
,"12:20:48","03:55","Pt Conf","Pt Conf   Bien Phong U20",
,"12:20:53","03:59","SRV","SRV   Bien Phong U20",
,"12:20:54","04:00","RS","RS   Bien Phong U20",
,"12:20:55","04:01","B POSS","B POSS   Quan Doan 4 U20",
,"12:20:56","04:02","B","B   Bien Phong U20",
,"12:20:56","04:02","P","[7 : 4]   P   Bien Phong U20",
,"12:21:19","04:25","Pt Conf","Pt Conf   Bien Phong U20",
,"12:21:20","04:26","SRV","SRV   Bien Phong U20",
,"12:21:21","04:27","RS","RS   Bien Phong U20",
,"12:21:21","04:27","B POSS","B POSS   Quan Doan 4 U20",
,"12:21:22","04:28","K","K   Quan Doan 4 U20",
,"12:21:22","04:28","P","[7 : 5]   P   Quan Doan 4 U20",
,"12:21:33","04:39","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:21:34","04:41","SRV","SRV   Quan Doan 4 U20",
,"12:21:36","04:43","RS","RS   Quan Doan 4 U20",
,"12:21:37","04:44","B POSS","B POSS   Bien Phong U20",
,"12:21:46","04:52","K","K   Bien Phong U20",
,"12:21:46","04:52","P","[8 : 5]   P   Bien Phong U20",
,"12:22:02","05:08","Pt Conf","Pt Conf   Bien Phong U20",
,"12:22:03","05:09","SRV","SRV   Bien Phong U20",
,"12:22:04","05:11","RS","RS   Bien Phong U20",
,"12:22:05","05:12","B POSS","B POSS   Quan Doan 4 U20",
,"12:22:06","05:13","K","K   Quan Doan 4 U20",
,"12:22:06","05:13","P","[8 : 6]   P   Quan Doan 4 U20",
,"12:22:16","05:23","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:22:17","05:23","SRV","SRV   Quan Doan 4 U20",
,"12:22:20","05:26","RS","RS   Quan Doan 4 U20",
,"12:22:21","05:27","B POSS","B POSS   Bien Phong U20",
,"12:22:22","05:28","K","K   Quan Doan 4 U20",
,"12:22:22","05:28","P","[8 : 7]   P   Quan Doan 4 U20",
,"12:22:32","05:39","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:22:33","05:40","SRV","SRV   Quan Doan 4 U20",
,"12:22:38","05:44","RS","RS   Quan Doan 4 U20",
,"12:22:39","05:45","B POSS","B POSS   Bien Phong U20",
,"12:22:49","05:55","K","K   Bien Phong U20",
,"12:22:49","05:55","P","[9 : 7]   P   Bien Phong U20",
,"12:23:02","06:08","Pt Conf","Pt Conf   Bien Phong U20",
,"12:23:03","06:09","SRV","SRV   Bien Phong U20",
,"12:23:06","06:12","RS","RS   Bien Phong U20",
,"12:23:07","06:13","B POSS","B POSS   Quan Doan 4 U20",
,"12:23:26","06:33","K","K   Bien Phong U20",
,"12:23:26","06:33","P","[10 : 7]   P   Bien Phong U20",
,"12:23:40","06:47","Pt Conf","Pt Conf   Bien Phong U20",
,"12:23:42","06:48","SRV","SRV   Bien Phong U20",
,"12:23:43","06:50","RS","RS   Bien Phong U20",
,"12:23:44","06:51","B POSS","B POSS   Quan Doan 4 U20",
,"12:24:06","07:13","K","K   Bien Phong U20",
,"12:24:06","07:13","P","[11 : 7]   P   Bien Phong U20",
,"12:24:18","07:25","Pt Conf","Pt Conf   Bien Phong U20",
,"12:24:19","07:26","SRV","SRV   Bien Phong U20",
,"12:24:21","07:27","RS","RS   Bien Phong U20",
,"12:24:22","07:28","B POSS","B POSS   Quan Doan 4 U20",
,"12:24:24","07:30","K","K   Quan Doan 4 U20",
,"12:24:24","07:30","P","[11 : 8]   P   Quan Doan 4 U20",
,"12:24:37","07:44","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:24:45","07:52","SRV","SRV   Quan Doan 4 U20",
,"12:24:46","07:53","RS","RS   Quan Doan 4 U20",
,"12:24:47","07:53","B POSS","B POSS   Bien Phong U20",
,"12:24:48","07:54","K","K   Bien Phong U20",
,"12:24:48","07:54","P","[12 : 8]   P   Bien Phong U20",
,"12:25:02","08:08","Pt Conf","Pt Conf   Bien Phong U20",
,"12:25:03","08:09","SRV","SRV   Bien Phong U20",
,"12:25:04","08:10","RS","RS   Bien Phong U20",
,"12:25:06","08:12","B POSS","B POSS   Quan Doan 4 U20",
,"12:25:08","08:15","K","K   Quan Doan 4 U20",
,"12:25:08","08:15","P","[12 : 9]   P   Quan Doan 4 U20",
,"12:25:20","08:26","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:25:22","08:28","SRV","SRV   Quan Doan 4 U20",
,"12:25:25","08:31","RS","RS   Quan Doan 4 U20",
,"12:25:26","08:32","B POSS","B POSS   Bien Phong U20",
,"12:25:30","08:36","K","K   Bien Phong U20",
,"12:25:30","08:36","P","[13 : 9]   P   Bien Phong U20",
,"12:25:58","09:05","Pt Conf","Pt Conf   Bien Phong U20",
,"12:25:59","09:06","SRV","SRV   Bien Phong U20",
,"12:26:00","09:07","RS","RS   Bien Phong U20",
,"12:26:02","09:08","B POSS","B POSS   Quan Doan 4 U20",
,"12:26:06","09:13","ERR","ERR   Bien Phong U20",
,"12:26:06","09:13","P","[13 : 10]   P   Quan Doan 4 U20",
,"12:26:19","09:26","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:26:23","09:29","SRV","SRV   Quan Doan 4 U20",
,"12:26:24","09:30","RS","RS   Quan Doan 4 U20",
,"12:26:24","09:30","B POSS","B POSS   Bien Phong U20",
,"12:26:31","09:37","K","K   Quan Doan 4 U20",
,"12:26:31","09:37","P","[13 : 11]   P   Quan Doan 4 U20",
,"12:26:48","09:55","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"12:26:48","09:55","SRV","SRV   Quan Doan 4 U20",
,"12:26:48","09:55","RS","RS   Quan Doan 4 U20",
,"12:26:49","09:55","B POSS","B POSS   Bien Phong U20",
,"12:26:50","09:57","K","K   Bien Phong U20",
,"12:26:50","09:57","P","[14 : 11]   P   Bien Phong U20",
,"12:27:10","10:17","Pt Conf","Pt Conf   Bien Phong U20",
,"12:27:10","10:17","SRV","SRV   Bien Phong U20",
,"12:27:12","10:19","RS","RS   Bien Phong U20",
,"12:27:13","10:20","B POSS","B POSS   Quan Doan 4 U20",
,"12:27:16","10:22","K","K   Quan Doan 4 U20",
,"12:27:16","10:22","P","[14 : 12]   P   Quan Doan 4 U20",
