"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884451","Argentina","Liga de Honor (women)","04.10.2017 - 00:30","Club Banco Provincia (women)","River Plate (women)",
"Statistics","Club Banco Provincia (women)","Type","River Plate (women)",
,"3","Score","0",
,"75","Points","63",
,"3","Sets","0",
,"5","Aces","1",
,"2","Service errors","6",
,"33","Kills","41",
,"8","Blocks","7",
,"6","Errors","16",
,"6","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:48:08","00:00","Game conditions changed","Game conditions changed",
,"23:55:00","00:00","Players warming up","Players warming up",
,"23:57:09","00:00","Jersey colours updated","Jersey colours updated",
,"23:57:12","00:00","Jersey colours updated","Jersey colours updated",
,"23:57:30","00:00","Jersey colours updated","Jersey colours updated",
,"00:15:45","00:00","Coin flipping","Coin flipping",
,"00:15:51","00:00","Warm up at the net","Warm up at the net",
,"00:15:55","00:00","Game conditions changed","Game conditions changed",
,"00:27:00","00:00","Players lined up","Players lined up",
,"00:27:06","00:00","Shake hands","Shake hands",
,"00:28:18","00:00","Players intro","Players intro",
,"00:29:29","00:00","Game about to start","Game about to start",
,"00:30:30","00:00","Start SRV","Start SRV   Club Banco Provincia (women)",
,"00:30:58","00:00","Start 1st Set","Start 1st Set",
,"00:31:00","00:01","SRV","SRV   Club Banco Provincia (women)",
,"00:31:02","00:04","RS","RS   Club Banco Provincia (women)",
,"00:31:02","00:04","B POSS","B POSS   River Plate (women)",
,"00:31:05","00:06","OUT","OUT   River Plate (women)",
,"00:31:05","00:06","P","[1 : 0]   P   Club Banco Provincia (women)",
,"00:31:13","00:14","Pt Conf","Pt Conf   Club Banco Provincia (women)",
,"00:31:17","00:18","SRV","SRV   Club Banco Provincia (women)",
,"00:31:21","00:22","RS","RS   Club Banco Provincia (women)",
,"00:31:21","00:22","B POSS","B POSS   River Plate (women)",
,"00:31:24","00:25","B POSS","B POSS   Club Banco Provincia (women)",
,"00:31:27","00:29","K","K   Club Banco Provincia (women)",
,"00:31:27","00:29","P","[2 : 0]   P   Club Banco Provincia (women)",
,"00:31:39","00:41","Pt Conf","Pt Conf   Club Banco Provincia (women)",
,"00:31:41","00:43","SRV","SRV   Club Banco Provincia (women)",
,"00:31:43","00:44","RS","RS   Club Banco Provincia (women)",
,"00:31:44","00:46","B POSS","B POSS   River Plate (women)",
,"00:31:47","00:48","K","K   River Plate (women)",
,"00:31:47","00:48","P","[2 : 1]   P   River Plate (women)",
,"00:32:09","01:10","Pt Conf","Pt Conf   River Plate (women)",
,"00:32:10","01:11","SRV","SRV   River Plate (women)",
,"00:32:14","01:15","RS","RS   River Plate (women)",
,"00:32:16","01:17","B POSS","B POSS   Club Banco Provincia (women)",
,"00:32:23","01:25","B POSS","B POSS   River Plate (women)",
,"00:32:26","01:27","B POSS","B POSS   Club Banco Provincia (women)",
,"00:32:29","01:31","B POSS","B POSS   River Plate (women)",
,"00:32:34","01:36","B POSS","B POSS   Club Banco Provincia (women)",
,"00:32:38","01:39","B POSS","B POSS   River Plate (women)",
,"00:32:38","01:39","Rally over 5 possession changes","Rally over 5 possession changes",
,"00:32:43","01:44","K","K   River Plate (women)",
,"00:32:43","01:44","P","[2 : 2]   P   River Plate (women)",
,"00:32:55","01:57","Pt Conf","Pt Conf   River Plate (women)",
,"00:32:58","01:59","SRV","SRV   River Plate (women)",
,"00:33:01","02:02","RS","RS   River Plate (women)",
,"00:33:04","02:05","B POSS","B POSS   Club Banco Provincia (women)",
,"00:33:08","02:09","K","K   River Plate (women)",
,"00:33:08","02:09","P","[2 : 3]   P   River Plate (women)",
,"00:33:21","02:22","Pt Conf","Pt Conf   River Plate (women)",
,"00:33:23","02:24","SRV","SRV   River Plate (women)",
,"00:33:25","02:26","RS","RS   River Plate (women)",
,"00:33:27","02:28","B POSS","B POSS   Club Banco Provincia (women)",
,"00:33:34","02:35","K","K   Club Banco Provincia (women)",
,"00:33:34","02:35","P","[3 : 3]   P   Club Banco Provincia (women)",
,"00:33:45","02:46","Pt Conf","Pt Conf   Club Banco Provincia (women)",
,"00:33:47","02:49","SRV","SRV   Club Banco Provincia (women)",
,"00:33:53","02:54","RS","RS   Club Banco Provincia (women)",
,"00:33:53","02:54","B POSS","B POSS   River Plate (women)",
,"00:33:53","02:54","K","K   River Plate (women)",
,"00:33:53","02:54","P","[3 : 4]   P   River Plate (women)",
,"00:34:07","03:08","Pt Conf","Pt Conf   River Plate (women)",
,"00:34:13","03:15","SRV","SRV   River Plate (women)",
,"00:34:15","03:16","RS","RS   River Plate (women)",
,"00:34:16","03:17","B POSS","B POSS   Club Banco Provincia (women)",
,"00:34:21","03:22","ERR","ERR   River Plate (women)",
,"00:34:21","03:22","P","[4 : 4]   P   Club Banco Provincia (women)",
,"00:34:33","03:34","Pt Conf","Pt Conf   Club Banco Provincia (women)",
,"00:34:39","03:40","SRV","SRV   Club Banco Provincia (women)",
,"00:34:42","03:43","RS","RS   Club Banco Provincia (women)",
