"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884450","Brazil","Campeonato Mineiro (men)","04.10.2017 - 23:00","Sada Cruzeiro Volei","UFJF",
"Statistics","Sada Cruzeiro Volei","Type","UFJF",
,"3","Score","1",
,"97","Points","79",
,"3","Sets","1",
,"6","Aces","2",
,"21","Service errors","19",
,"51","Kills","37",
,"13","Blocks","7",
,"7","Errors","4",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:59:56","00:00","Game conditions changed","Game conditions changed",
,"22:03:49","00:00","Players warming up","Players warming up",
,"22:04:12","00:00","Jersey colours updated","Jersey colours updated",
,"22:04:12","00:00","Jersey colours updated","Jersey colours updated",
,"22:04:48","00:00","Jersey colours updated","Jersey colours updated",
,"22:42:11","00:00","Coin flipping","Coin flipping",
,"22:43:01","00:00","Players lined up","Players lined up",
,"22:43:44","00:00","National anthem singing","National anthem singing",
,"22:47:11","00:00","Shake hands","Shake hands",
,"22:47:55","00:00","Warm up at the net","Warm up at the net",
,"22:58:31","00:00","Game conditions changed","Game conditions changed",
,"23:00:13","00:00","Players intro","Players intro",
,"23:01:25","00:00","Game about to start","Game about to start",
,"23:02:03","00:00","Start SRV","Start SRV   UFJF",
,"23:02:08","00:00","Start 1st Set","Start 1st Set",
,"23:02:09","00:00","SRV","SRV   UFJF",
,"23:02:11","00:03","RS","RS   UFJF",
,"23:02:12","00:03","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:02:16","00:07","B POSS","B POSS   UFJF",
,"23:02:20","00:11","K","K   UFJF",
,"23:02:20","00:11","P","[0 : 1]   P   UFJF",
,"23:02:33","00:24","Pt Conf","Pt Conf   UFJF",
,"23:02:40","00:32","SRV","SRV   UFJF",
,"23:02:44","00:35","RS","RS   UFJF",
,"23:02:44","00:35","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:02:47","00:38","K","K   Sada Cruzeiro Volei",
,"23:02:47","00:38","P","[1 : 1]   P   Sada Cruzeiro Volei",
,"23:02:59","00:51","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:03:13","01:04","SRV","SRV   Sada Cruzeiro Volei",
,"23:03:16","01:08","RS","RS   Sada Cruzeiro Volei",
,"23:03:17","01:08","B POSS","B POSS   UFJF",
,"23:03:22","01:13","ERR","ERR   Sada Cruzeiro Volei",
,"23:03:22","01:13","P","[1 : 2]   P   UFJF",
,"23:03:33","01:24","Pt Conf","Pt Conf   UFJF",
,"23:03:43","01:34","SRV","SRV   UFJF",
,"23:03:47","01:38","RS","RS   UFJF",
,"23:03:47","01:38","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:03:51","01:42","OUT","OUT   Sada Cruzeiro Volei",
,"23:03:51","01:42","P","[1 : 3]   P   UFJF",
,"23:04:00","01:51","Pt Conf","Pt Conf   UFJF",
,"23:04:09","02:00","SRV","SRV   UFJF",
,"23:04:12","02:03","RS","RS   UFJF",
,"23:04:12","02:03","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:04:15","02:06","K","K   Sada Cruzeiro Volei",
,"23:04:15","02:06","P","[2 : 3]   P   Sada Cruzeiro Volei",
,"23:04:24","02:15","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:04:33","02:24","SRV","SRV   Sada Cruzeiro Volei",
,"23:04:36","02:27","A","A   Sada Cruzeiro Volei",
,"23:04:36","02:27","P","[3 : 3]   P   Sada Cruzeiro Volei",
,"23:04:45","02:36","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:04:55","02:46","SRV","SRV   Sada Cruzeiro Volei",
,"23:04:58","02:49","RS","RS   Sada Cruzeiro Volei",
,"23:04:58","02:49","B POSS","B POSS   UFJF",
,"23:05:02","02:53","K","K   UFJF",
,"23:05:02","02:53","P","[3 : 4]   P   UFJF",
,"23:05:13","03:04","Pt Conf","Pt Conf   UFJF",
,"23:05:21","03:12","SRV","SRV   UFJF",
,"23:05:23","03:14","S ERR","S ERR   UFJF",
,"23:05:23","03:14","P","[4 : 4]   P   Sada Cruzeiro Volei",
,"23:05:31","03:23","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:05:41","03:32","SRV","SRV   Sada Cruzeiro Volei",
,"23:05:44","03:35","RS","RS   Sada Cruzeiro Volei",
,"23:05:44","03:35","B POSS","B POSS   UFJF",
,"23:05:48","03:39","K","K   UFJF",
,"23:05:48","03:39","P","[4 : 5]   P   UFJF",
,"23:05:57","03:49","Pt Conf","Pt Conf   UFJF",
,"23:06:08","04:00","SRV","SRV   UFJF",
,"23:06:11","04:02","S ERR","S ERR   UFJF",
,"23:06:11","04:02","P","[5 : 5]   P   Sada Cruzeiro Volei",
,"23:06:19","04:11","Pt Conf","Pt Conf   Sada Cruzeiro Volei",
,"23:06:27","04:18","SRV","SRV   Sada Cruzeiro Volei",
,"23:06:29","04:20","RS","RS   Sada Cruzeiro Volei",
,"23:06:30","04:21","B POSS","B POSS   UFJF",
,"23:06:33","04:25","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:06:36","04:27","B POSS","B POSS   UFJF",
,"23:06:40","04:31","K","K   UFJF",
,"23:06:40","04:31","P","[5 : 6]   P   UFJF",
,"23:06:50","04:41","Pt Conf","Pt Conf   UFJF",
,"23:07:02","04:53","SRV","SRV   UFJF",
,"23:07:04","04:55","RS","RS   UFJF",
,"23:07:04","04:55","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:07:07","04:58","K","K   Sada Cruzeiro Volei",
,"23:07:07","04:58","P","[6 : 6]   P   Sada Cruzeiro Volei",
