"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883977","Brazil","Campeonato Paulista (women) - Playoffs","04.10.2017 - 00:30","Volei Bauru (women)","Osasco Volei Clube (women)",
"Statistics","Volei Bauru (women)","Type","Osasco Volei Clube (women)",
,"1","Score","3",
,"80","Points","98",
,"1","Sets","3",
,"0","Aces","6",
,"4","Service errors","7",
,"46","Kills","57",
,"7","Blocks","8",
,"9","Errors","5",
,"14","Outs","15",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:48:52","00:00","Game conditions changed","Game conditions changed",
,"23:56:32","00:00","Players warming up","Players warming up",
,"00:19:31","00:00","Jersey colours updated","Jersey colours updated",
,"00:19:32","00:00","Jersey colours updated","Jersey colours updated",
,"00:42:58","00:00","Players lined up","Players lined up",
,"00:43:02","00:00","National anthem singing","National anthem singing",
,"00:47:44","00:00","Warm up at the net","Warm up at the net",
,"01:01:17","00:00","Players intro","Players intro",
,"01:01:51","00:00","Game about to start","Game about to start",
,"01:03:01","00:00","Start SRV","Start SRV   Volei Bauru (women)",
,"01:03:28","00:00","Start 1st Set","Start 1st Set",
,"01:03:29","00:00","SRV","SRV   Volei Bauru (women)",
,"01:03:32","00:04","RS","RS   Volei Bauru (women)",
,"01:03:33","00:04","B POSS","B POSS   Osasco Volei Clube (women)",
,"01:03:34","00:05","K","K   Osasco Volei Clube (women)",
,"01:03:34","00:05","P","[0 : 1]   P   Osasco Volei Clube (women)",
,"01:03:49","00:20","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"01:03:55","00:26","SRV","SRV   Osasco Volei Clube (women)",
,"01:03:57","00:28","RS","RS   Osasco Volei Clube (women)",
,"01:03:58","00:29","B POSS","B POSS   Volei Bauru (women)",
,"01:04:00","00:31","B POSS","B POSS   Osasco Volei Clube (women)",
,"01:04:05","00:36","K","K   Osasco Volei Clube (women)",
,"01:04:05","00:36","P","[0 : 2]   P   Osasco Volei Clube (women)",
,"01:04:23","00:54","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"01:04:27","00:58","SRV","SRV   Osasco Volei Clube (women)",
,"01:04:30","01:01","RS","RS   Osasco Volei Clube (women)",
,"01:04:31","01:02","B POSS","B POSS   Volei Bauru (women)",
,"01:04:34","01:05","B POSS","B POSS   Osasco Volei Clube (women)",
,"01:04:38","01:09","B POSS","B POSS   Volei Bauru (women)",
,"01:04:41","01:12","B POSS","B POSS   Osasco Volei Clube (women)",
,"01:04:46","01:17","K","K   Osasco Volei Clube (women)",
,"01:04:46","01:17","P","[0 : 3]   P   Osasco Volei Clube (women)",
,"01:05:02","01:33","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"01:05:06","01:38","SRV","SRV   Osasco Volei Clube (women)",
,"01:05:10","01:41","RS","RS   Osasco Volei Clube (women)",
,"01:05:11","01:42","B POSS","B POSS   Volei Bauru (women)",
,"01:05:14","01:45","K","K   Volei Bauru (women)",
,"01:05:14","01:45","P","[1 : 3]   P   Volei Bauru (women)",
,"01:05:28","01:59","Pt Conf","Pt Conf   Volei Bauru (women)",
,"01:05:33","02:04","SRV","SRV   Volei Bauru (women)",
