"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882813","Czech Republic","Czech Cup (men)","04.10.2017 - 16:30","TJ Tesla Brno","VSC Fatra Zlin",
"Statistics","TJ Tesla Brno","Type","VSC Fatra Zlin",
,"0","Score","3",
,"61","Points","77",
,"0","Sets","3",
,"1","Aces","3",
,"13","Service errors","8",
,"30","Kills","42",
,"5","Blocks","5",
,"4","Errors","2",
,"10","Outs","15",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:02:30","00:00","Game conditions changed","Game conditions changed",
,"16:02:33","00:00","Players warming up","Players warming up",
,"16:13:43","00:00","Coin flipping","Coin flipping",
,"16:13:57","00:00","Warm up at the net","Warm up at the net",
,"16:14:26","00:00","Jersey colours updated","Jersey colours updated",
,"16:14:26","00:00","Jersey colours updated","Jersey colours updated",
,"16:25:55","00:00","Players intro","Players intro",
,"16:25:59","00:00","Players lined up","Players lined up",
,"16:26:12","00:00","Shake hands","Shake hands",
,"16:28:15","00:00","Start SRV","Start SRV   TJ Tesla Brno",
,"16:28:23","00:00","Start 1st Set","Start 1st Set",
,"16:28:24","00:00","SRV","SRV   TJ Tesla Brno",
,"16:28:26","00:02","RS","RS   TJ Tesla Brno",
,"16:28:26","00:02","B POSS","B POSS   VSC Fatra Zlin",
,"16:28:31","00:07","K","K   VSC Fatra Zlin",
,"16:28:31","00:07","P","[0 : 1]   P   VSC Fatra Zlin",
,"16:28:41","00:17","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:28:47","00:23","SRV","SRV   VSC Fatra Zlin",
,"16:28:49","00:25","RS","RS   VSC Fatra Zlin",
,"16:28:49","00:25","B POSS","B POSS   TJ Tesla Brno",
,"16:28:51","00:27","B POSS","B POSS   VSC Fatra Zlin",
,"16:28:58","00:34","K","K   VSC Fatra Zlin",
,"16:28:58","00:34","P","[0 : 2]   P   VSC Fatra Zlin",
,"16:29:10","00:46","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:29:15","00:51","SRV","SRV   VSC Fatra Zlin",
,"16:29:18","00:54","RS","RS   VSC Fatra Zlin",
,"16:29:18","00:54","B POSS","B POSS   TJ Tesla Brno",
,"16:29:21","00:57","B POSS","B POSS   VSC Fatra Zlin",
,"16:29:25","01:01","B POSS","B POSS   TJ Tesla Brno",
,"16:29:30","01:06","B POSS","B POSS   VSC Fatra Zlin",
,"16:29:35","01:11","OUT","OUT   VSC Fatra Zlin",
,"16:29:35","01:11","P","[1 : 2]   P   TJ Tesla Brno",
,"16:29:47","01:23","Pt Conf","Pt Conf   TJ Tesla Brno",
,"16:29:54","01:30","SRV","SRV   TJ Tesla Brno",
,"16:29:58","01:34","RS","RS   TJ Tesla Brno",
,"16:29:58","01:34","B POSS","B POSS   VSC Fatra Zlin",
,"16:30:00","01:36","B POSS","B POSS   TJ Tesla Brno",
,"16:30:02","01:38","K","K   VSC Fatra Zlin",
,"16:30:02","01:38","P","[1 : 3]   P   VSC Fatra Zlin",
,"16:30:08","01:44","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:30:17","01:53","SRV","SRV   VSC Fatra Zlin",
,"16:30:19","01:55","RS","RS   VSC Fatra Zlin",
,"16:30:19","01:55","B POSS","B POSS   TJ Tesla Brno",
,"16:30:23","01:59","B POSS","B POSS   VSC Fatra Zlin",
,"16:30:25","02:01","B POSS","B POSS   TJ Tesla Brno",
,"16:30:30","02:06","K","K   TJ Tesla Brno",
,"16:30:30","02:06","P","[2 : 3]   P   TJ Tesla Brno",
,"16:30:41","02:17","Pt Conf","Pt Conf   TJ Tesla Brno",
,"16:30:50","02:26","SRV","SRV   TJ Tesla Brno",
,"16:30:54","02:30","S ERR","S ERR   TJ Tesla Brno",
,"16:30:54","02:30","P","[2 : 4]   P   VSC Fatra Zlin",
,"16:31:02","02:38","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:31:09","02:45","SRV","SRV   VSC Fatra Zlin",
,"16:31:12","02:48","RS","RS   VSC Fatra Zlin",
,"16:31:12","02:48","B POSS","B POSS   TJ Tesla Brno",
,"16:31:16","02:52","B POSS","B POSS   VSC Fatra Zlin",
,"16:31:20","02:56","K","K   VSC Fatra Zlin",
,"16:31:20","02:56","P","[2 : 5]   P   VSC Fatra Zlin",
,"16:31:27","03:03","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:31:35","03:11","SRV","SRV   VSC Fatra Zlin",
,"16:31:39","03:15","RS","RS   VSC Fatra Zlin",
,"16:31:39","03:15","B POSS","B POSS   TJ Tesla Brno",
,"16:31:41","03:17","B POSS","B POSS   VSC Fatra Zlin",
,"16:31:47","03:23","B","B   TJ Tesla Brno",
,"16:31:47","03:23","P","[3 : 5]   P   TJ Tesla Brno",
,"16:31:58","03:34","Pt Conf","Pt Conf   TJ Tesla Brno",
,"16:32:07","03:43","SRV","SRV   TJ Tesla Brno",
,"16:32:11","03:47","S ERR","S ERR   TJ Tesla Brno",
,"16:32:11","03:47","P","[3 : 6]   P   VSC Fatra Zlin",
,"16:32:15","03:51","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:32:27","04:03","SRV","SRV   VSC Fatra Zlin",
,"16:32:30","04:06","RS","RS   VSC Fatra Zlin",
,"16:32:31","04:07","B POSS","B POSS   TJ Tesla Brno",
,"16:32:34","04:10","K","K   TJ Tesla Brno",
,"16:32:34","04:10","P","[4 : 6]   P   TJ Tesla Brno",
,"16:32:40","04:16","Pt Conf","Pt Conf   TJ Tesla Brno",
,"16:32:49","04:25","SRV","SRV   TJ Tesla Brno",
,"16:32:52","04:28","RS","RS   TJ Tesla Brno",
,"16:32:52","04:28","B POSS","B POSS   VSC Fatra Zlin",
,"16:32:56","04:32","OUT","OUT   VSC Fatra Zlin",
,"16:32:56","04:32","P","[5 : 6]   P   TJ Tesla Brno",
,"16:33:03","04:39","Pt Conf","Pt Conf   TJ Tesla Brno",
