"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884415","Friendly","Plovdiv Cup (women)","04.10.2017 - 12:30","CS Dinamo Bucuresti (women)","Olympiakos SC Piraeus (women)",
"Statistics","CS Dinamo Bucuresti (women)","Type","Olympiakos SC Piraeus (women)",
,"0","Score","3",
,"40","Points","75",
,"0","Sets","3",
,"3","Aces","6",
,"4","Service errors","5",
,"16","Kills","39",
,"6","Blocks","13",
,"8","Errors","5",
,"5","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:53:09","00:00","Game conditions changed","Game conditions changed",
,"11:53:11","00:00","Players warming up","Players warming up",
,"12:14:22","00:00","Jersey colours updated","Jersey colours updated",
,"12:14:23","00:00","Jersey colours updated","Jersey colours updated",
,"12:14:23","00:00","Coin flipping","Coin flipping",
,"12:14:57","00:00","Warm up at the net","Warm up at the net",
,"12:27:58","00:00","Players lined up","Players lined up",
,"12:28:24","00:00","Shake hands","Shake hands",
,"12:28:57","00:00","Players intro","Players intro",
,"12:30:45","00:00","Game about to start","Game about to start",
,"12:31:10","00:00","Start SRV","Start SRV   CS Dinamo Bucuresti (women)",
,"12:31:21","00:00","Start 1st Set","Start 1st Set",
,"12:31:21","00:00","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:31:28","00:06","RS","RS   CS Dinamo Bucuresti (women)",
,"12:31:28","00:07","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:31:31","00:10","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:31:35","00:14","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:31:43","00:22","OUT","OUT   Olympiakos SC Piraeus (women)",
,"12:31:43","00:22","P","[1 : 0]   P   CS Dinamo Bucuresti (women)",
,"12:31:54","00:33","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"12:31:55","00:33","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:32:00","00:39","RS","RS   CS Dinamo Bucuresti (women)",
,"12:32:01","00:39","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:32:05","00:44","K","K   Olympiakos SC Piraeus (women)",
,"12:32:05","00:44","P","[1 : 1]   P   Olympiakos SC Piraeus (women)",
,"12:32:23","01:01","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:32:23","01:02","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:32:27","01:05","RS","RS   Olympiakos SC Piraeus (women)",
,"12:32:27","01:06","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:32:30","01:09","B","B   Olympiakos SC Piraeus (women)",
,"12:32:30","01:09","P","[1 : 2]   P   Olympiakos SC Piraeus (women)",
,"12:32:46","01:25","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:32:46","01:25","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:32:51","01:29","RS","RS   Olympiakos SC Piraeus (women)",
,"12:32:51","01:30","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:32:57","01:35","OUT","OUT   CS Dinamo Bucuresti (women)",
,"12:32:57","01:35","P","[1 : 3]   P   Olympiakos SC Piraeus (women)",
,"12:33:09","01:47","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:33:09","01:48","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:33:15","01:54","RS","RS   Olympiakos SC Piraeus (women)",
,"12:33:16","01:54","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:33:18","01:56","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:33:24","02:03","OUT","OUT   Olympiakos SC Piraeus (women)",
,"12:33:24","02:03","P","[2 : 3]   P   CS Dinamo Bucuresti (women)",
,"12:33:34","02:12","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"12:33:34","02:13","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:33:42","02:20","RS","RS   CS Dinamo Bucuresti (women)",
,"12:33:42","02:21","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:33:45","02:24","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:33:49","02:28","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:33:54","02:33","K","K   Olympiakos SC Piraeus (women)",
,"12:33:54","02:33","P","[2 : 4]   P   Olympiakos SC Piraeus (women)",
,"12:34:08","02:47","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:34:08","02:47","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:34:15","02:53","A","A   Olympiakos SC Piraeus (women)",
,"12:34:15","02:53","P","[2 : 5]   P   Olympiakos SC Piraeus (women)",
,"12:34:28","03:07","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:34:28","03:07","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:34:33","03:12","RS","RS   Olympiakos SC Piraeus (women)",
,"12:34:34","03:12","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:34:37","03:15","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"12:34:40","03:19","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:34:48","03:27","OUT","OUT   CS Dinamo Bucuresti (women)",
,"12:34:48","03:27","P","[2 : 6]   P   Olympiakos SC Piraeus (women)",
,"12:34:59","03:38","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:35:00","03:38","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:35:04","03:43","RS","RS   Olympiakos SC Piraeus (women)",
,"12:35:05","03:44","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:35:08","03:46","B","B   Olympiakos SC Piraeus (women)",
,"12:35:08","03:46","P","[2 : 7]   P   Olympiakos SC Piraeus (women)",
,"12:35:21","03:59","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"12:35:21","04:00","SRV","SRV   Olympiakos SC Piraeus (women)",
,"12:35:27","04:06","RS","RS   Olympiakos SC Piraeus (women)",
,"12:35:27","04:06","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:35:31","04:10","K","K   CS Dinamo Bucuresti (women)",
